home_team,away_team,venue,date
Brisbane Lions,Geelong Cats,The Gabba,2026-05-14
Sydney Swans,Collingwood Magpies,SCG,2026-05-15
Gold Coast Suns,Port Adelaide Power,TIO Stadium,2026-05-15
Adelaide Crows,North Melbourne Kangaroos,Adelaide Oval,2026-05-16
Melbourne Demons,Hawthorn Hawks,MCG,2026-05-16
Carlton Blues,Western Bulldogs,Marvel Stadium,2026-05-16
Essendon Bombers,Fremantle Dockers,MCG,2026-05-17
St Kilda Saints,Richmond Tigers,Marvel Stadium,2026-05-17
West Coast Eagles,Greater Western Sydney Giants,Optus Stadium,2026-05-17
