week_ending,round,bets,positive_clv,negative_clv,pct_positive,week_avg_clv_pct,running_avg_clv_pct,week_wins,week_losses,week_pnl,running_pnl
2026-05-05,8,4,2,2,50.0%,+0.62%,+0.62%,1,3,$-78.50,$-78.50
2026-05-12,9,4,3,1,75.0%,+4.00%,+2.31%,3,1,$+82.50,$+4.00
2026-05-19,10,6,3,3,50.0%,-0.86%,+0.95%,0,0,$+49.75,$+53.75
2026-05-25,11,7,4,3,57.1%,+8.14%,+3.35%,0,0,$+13.55,$+67.30
2026-06-01,12,5,1,4,20.0%,-6.81%,+1.39%,0,0,$-32.52,$+34.78
2026-06-08,13,11,4,7,36.4%,-1.78%,+0.45%,3,8,$-128.75,$-93.97
2026-06-15,14,6,3,3,50.0%,+2.66%,+0.76%,4,2,$+89.14,$-4.83
