week_ending,round,bets,positive_clv,negative_clv,pct_positive,week_avg_clv_pct,running_avg_clv_pct,week_wins,week_losses,week_pnl,running_pnl
2026-04-21,8,8,7,1,87.5%,+12.31%,+12.31%,5,3,$+0.00,$+0.00
2026-04-28,9,8,8,0,100.0%,+10.29%,+11.30%,3,5,$+0.00,$+0.00
2026-05-05,10,3,1,2,33.3%,+2.78%,+9.96%,3,0,$+131.50,$+131.50
2026-05-12,11,4,3,1,75.0%,+4.50%,+9.01%,2,2,$-13.00,$+118.50
2026-05-25,12,10,8,2,80.0%,+5.83%,+8.05%,0,0,$+44.73,$+163.23
2026-06-01,13,12,5,7,41.7%,-0.17%,+5.85%,0,0,$-6.18,$+157.05
2026-06-08,14,7,5,2,71.4%,+2.62%,+5.42%,2,5,$-75.55,$+81.50
2026-06-15,15,3,2,1,66.7%,+2.63%,+5.27%,3,0,$+88.25,$+169.75
