week_ending,sport,round,game,market,clv_pct,result
2026-09-06,AFL,FW2,Adelaide v Western Bulldogs,handicap,7.31,win
2026-09-06,AFL,FW2,Sydney v Brisbane,handicap,2.44,win
2026-09-06,AFL,FW2,Fremantle v Hawthorn,total,12.63,loss
