week,match_date,home,away,market,selection,normal_probability,saved_price,ev_pct,engine,status,note
3,2026-08-29,Norwich,Burnley,1X2,Burnley win,0.606288,2.83,71.60,normal,saved_week3_selection,Final matrix qualification requires verification
3,2026-08-28,Wrexham,Birmingham,1X2,Wrexham win,0.564073,2.38,34.20,normal,saved_week3_selection,Final matrix qualification requires verification
3,2026-08-29,Charlton,Preston,1X2,Preston win,0.349750,3.45,20.70,normal,saved_week3_selection,Final matrix qualification requires verification
