race_date,track_slug,race_number,runner_number,runner_name,finish_position,beaten_lengths,last400_seconds
2026-08-29,caulfield,5,1,Belle Cheval,12,10.65,24.69
2026-08-29,caulfield,3,4,Star Of India,12,7.49,24.72
2026-08-29,caulfield,4,3,Elouyou,10,6.46,24.73
2026-08-29,caulfield,4,7,Space Age,15,12.52,24.75
2026-08-29,caulfield,4,10,Dark Journey,16,17.52,24.77
2026-08-29,caulfield,3,10,Darkbonee,13,7.95,24.81
2026-08-29,caulfield,3,6,Machine Gun Gracie,5,3.71,24.87
2026-08-29,caulfield,10,15,Grecian Destiny,11,15.35,24.96
2026-08-29,caulfield,3,13,Sunset Park,14,8.15,24.97
2026-08-29,caulfield,9,1,Middle Earth,8,5.11,25.0
2026-08-29,caulfield,9,5,Royal Supremacy,9,6.61,25.01
2026-08-29,caulfield,9,16,First Chorus,5,2.4,25.08
2026-08-29,caulfield,9,9,Just Folk,2,0.75,25.17
2026-08-29,caulfield,2,12,Autumnheat,10,4.4,25.19
2026-08-29,caulfield,2,2,Makdane,11,6.4,25.19
2026-08-29,caulfield,7,1,Seize The Day,10,9.21,25.2
2026-08-29,caulfield,3,7,Magnaspin,10,7.04,25.29
2026-08-29,caulfield,2,3,Amleto,9,4.38,25.36
2026-08-29,caulfield,9,10,Yellow Jersey,7,4.61,25.42
2026-08-29,caulfield,9,2,Attrition,11,8.61,25.43
2026-08-29,caulfield,3,5,Taramansour,15,11.9,25.47
2026-08-29,caulfield,10,8,Mcgaw,12,18.35,25.56
2026-08-29,caulfield,9,6,Wootton Verni,10,7.86,25.6
2026-08-29,caulfield,9,4,Knight's Choice,12,10.86,25.63
2026-08-29,caulfield,2,7,Raf Attack,12,7.9,25.73
2026-08-29,caulfield,2,9,Angland,13,9.65,25.83
2026-08-29,caulfield,9,12,River Of Stars,13,14.86,26.33
2026-08-29,caulfield,2,6,Station One,14,17.65,27.42
2026-08-29,caulfield,9,8,Soulcombe,14,24.86,28.02
2026-08-29,caulfield,9,11,Okita Soushi,16,28.36,28.35
2026-08-29,caulfield,9,7,Barnavara,15,25.61,28.8
