home,away,sydney_match_date,kickoff_utc,status,data_health_flags,home_fair_odds,draw_fair_odds,away_fair_odds,over25_prob_raw,over25_fair_odds_raw,under25_fair_odds_raw,over25_prob_isotonic,over25_fair_odds_isotonic,under25_fair_odds_isotonic
Fenerbahce,AS Roma,2026-09-11,2026-09-10T16:45:00Z,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,,,,,,,,,,
PSV Eindhoven,Shakhtar Donetsk,2026-09-11,2026-09-10T16:45:00Z,PROVISIONAL_RESEARCH_PRICE,Shakhtar Donetsk: stale_history_last_archive_match_596_days_ago,1.9681123471745263,4.35684578907955,3.811337583707116,0.7531,1.327844907714779,4.050222762251924,0.551111111111111,1.8145161290322585,2.227722772277227
Bayern Munich,Bodo/Glimt,2026-09-11,2026-09-10T19:00:00Z,PROVISIONAL_RESEARCH_PRICE,Bodo/Glimt: thin_history_12_archive_matches,1.2811149176465912,7.901913117584791,10.766781352146014,0.8552,1.1693171188026192,6.906077348066297,0.6198347107438017,1.6133333333333333,2.630434782608696
Como,RB Leipzig,2026-09-11,2026-09-10T19:00:00Z,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,,,,,,,,,,
Manchester United,Sabah FK,2026-09-11,2026-09-10T19:00:00Z,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,,,,,,,,,,
Slavia Prague,Lens,2026-09-11,2026-09-10T19:00:00Z,PROVISIONAL_RESEARCH_PRICE,Lens: stale_history_last_archive_match_1086_days_ago; Lens: thin_history_6_archive_matches; Slavia Prague: thin_history_14_archive_matches,1.8166875496281318,3.779674054466641,5.406149596898129,0.3373,2.9647198339756895,1.508978421608571,0.545016077170418,1.8348082595870208,2.197879858657244
