season,round_number,team_name,games,kicks_pg,handballs_pg,disposals_pg,marks_pg,goals_pg,behinds_pg,goal_assists_pg,inside_50s_pg,rebound_50s_pg,tackles_pg,hitouts_pg,frees_for_pg,frees_ag_pg,clearances_pg,clangers_pg,cp_pg,up_pg,eff_disposals_pg,disposal_eff_pct,cont_marks_pg,marks_i50_pg,one_pct_pg,bounces_pg,centre_cl_pg,stoppage_cl_pg,metres_gained_total,turnovers_pg,intercepts_pg,tackles_i50_pg,goal_conv_pct,kicking_ratio,mg_pg
2026,18,Collingwood Magpies,16.0,215.5,168.8,384.3,102.1,12.2,11.7,8.9,52.2,42.8,59.2,25.9,16.9,16.7,31.9,56.7,120.6,247.6,284.8,74.1,8.6,12.7,42.4,5.4,11.1,20.8,6163.6,64.9,67.4,12.1,0.5105,0.5608,6163.6
2026,18,Essendon Bombers,16.0,204.9,156.5,361.4,95.5,10.2,10.2,7.7,45.4,38.9,48.4,31.1,18.5,18.8,31.5,52.4,117.2,234.3,271.8,75.2,8.2,10.3,33.0,7.7,12.2,19.3,5496.6,63.0,59.6,8.2,0.5,0.567,5496.6
2026,18,Fremantle Dockers,16.0,208.5,164.1,372.6,89.6,14.4,12.4,10.9,53.8,38.6,59.2,40.9,17.9,18.1,34.7,54.2,130.1,234.2,282.9,75.9,9.9,13.6,41.8,11.8,12.9,21.8,6057.4,62.8,65.2,9.9,0.5373,0.5596,6057.4
2026,18,Geelong Cats,16.0,217.9,157.2,375.2,91.1,14.4,12.8,10.2,58.0,38.1,57.8,35.5,20.4,18.1,36.3,55.7,135.1,225.5,271.1,72.3,9.5,13.1,43.6,5.6,13.9,22.4,6434.4,67.2,69.9,11.0,0.5294,0.5809,6434.4
2026,18,Gold Coast Suns,16.0,207.2,165.4,372.6,92.4,13.3,11.2,10.0,55.1,39.5,51.9,42.2,18.8,20.5,32.2,56.4,127.3,234.6,279.9,75.1,7.8,11.1,40.8,9.9,11.9,20.4,6383.2,64.8,67.1,9.2,0.5429,0.5561,6383.2
2026,18,Greater Western Sydney Giants,16.0,212.6,177.4,390.1,89.2,13.4,11.4,9.4,54.1,42.0,59.0,32.5,16.6,20.8,35.7,59.2,135.3,243.7,286.2,73.4,7.7,11.2,48.3,8.8,12.1,23.6,6242.8,67.4,68.2,12.2,0.5403,0.5451,6242.8
2026,18,Hawthorn Hawks,16.0,224.7,160.1,384.8,99.8,14.0,12.7,10.1,56.3,37.8,58.2,45.2,18.9,19.1,37.4,58.0,130.0,242.3,287.0,74.6,10.0,12.8,38.9,8.6,13.0,24.4,6248.3,66.0,68.2,10.8,0.5243,0.5839,6248.3
2026,18,Melbourne Demons,16.0,209.2,144.4,353.6,86.1,14.3,11.3,10.3,57.6,38.6,57.2,41.2,17.7,17.2,37.4,56.2,133.5,208.4,254.6,72.0,9.6,12.0,40.8,10.1,15.0,22.4,6236.2,66.4,67.1,10.8,0.5586,0.5916,6236.2
2026,18,North Melbourne Kangaroos,16.0,213.2,159.7,372.9,100.1,12.2,11.0,8.6,49.4,37.8,55.8,29.4,21.5,21.8,34.8,55.1,121.4,242.8,286.9,76.9,9.2,13.1,37.8,8.9,12.2,22.6,5667.2,59.1,58.7,11.3,0.5259,0.5717,5667.2
2026,18,Port Adelaide Power,16.0,219.5,123.8,343.2,100.0,11.4,12.6,8.9,50.8,36.5,56.5,39.0,19.8,19.9,35.7,58.5,123.6,209.4,244.6,71.3,9.2,13.7,40.6,6.9,12.2,23.5,5945.9,67.2,67.5,9.7,0.475,0.6394,5945.9
2026,18,Richmond Tigers,16.0,191.3,144.4,335.7,85.1,9.4,9.5,6.7,47.2,39.8,48.9,24.1,19.3,18.1,32.0,56.8,119.8,206.7,248.6,74.1,9.0,10.1,40.8,7.6,12.2,19.8,5469.9,67.2,61.1,9.9,0.4974,0.5699,5469.9
2026,18,St Kilda Saints,16.0,226.3,159.8,386.1,100.8,13.1,12.4,9.4,52.2,38.5,54.0,31.5,19.6,17.0,36.9,56.5,129.2,246.3,286.2,74.1,8.7,13.4,43.4,10.1,13.8,23.1,6079.3,65.1,65.2,9.9,0.5137,0.5861,6079.3
2026,18,Sydney Swans,16.0,209.6,182.8,392.4,83.1,16.1,12.7,11.6,61.3,42.6,61.6,40.4,21.3,20.1,36.4,62.8,140.0,239.0,285.6,72.8,10.5,14.1,48.8,15.4,13.7,22.8,6653.1,70.0,74.5,12.9,0.559,0.5341,6653.1
2026,18,West Coast Eagles,16.0,197.0,140.1,337.1,84.7,10.2,11.1,7.3,49.9,37.4,55.7,30.9,20.3,21.0,34.2,57.4,126.0,204.8,245.1,72.7,8.2,9.6,39.6,6.9,12.5,21.7,5626.0,63.6,64.6,10.1,0.4789,0.5844,5626.0
2026,18,Western Bulldogs,16.0,209.4,152.4,361.8,85.7,12.0,10.8,9.2,50.6,40.6,57.8,29.9,19.6,18.9,38.5,54.8,126.9,223.6,263.8,72.9,6.4,10.8,49.9,8.2,13.4,25.1,5917.8,66.7,61.3,10.8,0.5263,0.5788,5917.8
