season,round_number,team_name,games,kicks_pg,handballs_pg,disposals_pg,marks_pg,goals_pg,behinds_pg,goal_assists_pg,inside_50s_pg,rebound_50s_pg,tackles_pg,hitouts_pg,frees_for_pg,frees_ag_pg,clearances_pg,clangers_pg,cp_pg,up_pg,eff_disposals_pg,disposal_eff_pct,cont_marks_pg,marks_i50_pg,one_pct_pg,bounces_pg,centre_cl_pg,stoppage_cl_pg,metres_gained_total,turnovers_pg,intercepts_pg,tackles_i50_pg,goal_conv_pct,kicking_ratio,mg_pg,source_game_rows,source_mix
2024,2,Carlton Blues,2.0,217.0,131.0,348.0,94.5,12.5,11.0,8.0,57.0,43.5,64.0,29.5,22.0,16.5,32.5,55.5,136.0,205.0,,,12.5,10.0,42.0,4.5,,,,,,11.9,0.5319148936170213,0.6235632183908046,,2.0,afl_tables+footywire
2024,2,Collingwood Magpies,2.0,207.0,142.0,349.0,87.5,10.5,12.5,7.0,53.5,35.5,55.5,43.5,22.5,18.5,37.5,61.5,125.0,218.5,,,6.0,9.0,39.5,3.5,,,,,,11.1,0.45652173913043476,0.5931232091690545,,2.0,afl_tables+footywire
2024,2,Essendon Bombers,1.0,205.0,141.0,346.0,92.0,17.0,5.0,15.0,51.0,46.0,61.0,44.0,18.0,11.0,40.0,44.0,116.0,215.0,,,11.0,14.0,37.0,11.0,,,,,,11.3,0.7727272727272727,0.5924855491329479,,1.0,afl_tables+footywire
2024,2,Fremantle Dockers,1.0,227.0,158.0,385.0,99.0,14.0,9.0,8.0,48.0,46.0,67.0,42.0,20.0,21.0,41.0,57.0,125.0,246.0,,,7.0,12.0,35.0,5.0,,,,,,10.7,0.6086956521739131,0.5896103896103896,,1.0,afl_tables+footywire
2024,2,Geelong Cats,1.0,231.0,130.0,361.0,101.0,10.0,16.0,9.0,63.0,34.0,53.0,40.0,14.0,18.0,36.0,61.0,119.0,218.0,,,13.0,15.0,47.0,6.0,,,,,,10.8,0.38461538461538464,0.6398891966759003,,1.0,afl_tables+footywire
2024,2,Gold Coast Suns,2.0,233.5,131.5,365.0,91.0,11.0,13.5,8.0,56.0,38.0,54.5,34.0,18.5,19.5,43.5,63.5,147.5,210.5,,,7.0,13.0,66.0,3.5,,,,,,11.0,0.4489795918367347,0.6397260273972603,,2.0,afl_tables+footywire
2024,2,Greater Western Sydney Giants,2.0,227.5,168.5,396.0,107.0,17.5,12.5,15.0,56.5,40.0,40.5,22.5,15.0,21.0,33.0,65.5,139.5,252.5,,,15.5,19.0,44.5,6.0,,,,,,11.7,0.5833333333333334,0.5744949494949495,,2.0,afl_tables+footywire
2024,2,Hawthorn Hawks,1.0,201.0,138.0,339.0,95.0,11.0,17.0,9.0,57.0,33.0,44.0,35.0,11.0,18.0,31.0,51.0,122.0,212.0,,,12.0,19.0,42.0,9.0,,,,,,11.2,0.39285714285714285,0.5929203539823009,,1.0,afl_tables+footywire
2024,2,Melbourne Demons,2.0,227.5,145.0,372.5,102.0,12.5,11.5,8.0,52.0,48.0,56.0,38.0,21.5,18.0,35.0,61.5,135.5,235.5,,,7.5,8.5,44.5,1.5,,,,,,10.7,0.5208333333333334,0.610738255033557,,2.0,afl_tables+footywire
2024,2,North Melbourne Kangaroos,1.0,205.0,137.0,342.0,89.0,13.0,4.0,11.0,46.0,43.0,47.0,24.0,22.0,14.0,32.0,44.0,113.0,209.0,,,7.0,9.0,44.0,1.0,,,,,,8.4,0.7647058823529411,0.5994152046783626,,1.0,afl_tables+footywire
2024,2,Port Adelaide Power,1.0,242.0,114.0,356.0,121.0,16.0,24.0,13.0,57.0,30.0,44.0,38.0,16.0,18.0,35.0,41.0,110.0,225.0,,,13.0,25.0,34.0,7.0,,,,,,13.2,0.4,0.6797752808988764,,1.0,afl_tables+footywire
2024,2,Richmond Tigers,2.0,191.5,106.0,297.5,70.5,10.5,7.5,6.0,45.5,50.0,50.5,31.5,16.0,20.0,33.0,70.0,127.5,156.0,,,10.0,9.0,44.5,6.5,,,,,,8.8,0.5833333333333334,0.6436974789915967,,2.0,afl_tables+footywire
2024,2,St Kilda Saints,1.0,224.0,120.0,344.0,88.0,9.0,14.0,5.0,44.0,52.0,48.0,36.0,18.0,14.0,39.0,50.0,123.0,202.0,,,8.0,11.0,44.0,3.0,,,,,,11.0,0.391304347826087,0.6511627906976745,,1.0,afl_tables+footywire
2024,2,Sydney Swans,2.0,228.0,131.0,359.0,99.5,13.5,13.0,8.5,58.0,39.5,67.5,36.0,21.0,24.5,37.5,61.0,133.5,217.0,,,8.0,14.0,61.5,6.0,,,,,,9.5,0.5094339622641509,0.6350974930362117,,2.0,afl_tables+footywire
2024,2,West Coast Eagles,1.0,175.0,116.0,291.0,69.0,10.0,10.0,9.0,40.0,40.0,35.0,19.0,18.0,16.0,30.0,47.0,105.0,166.0,,,5.0,8.0,32.0,12.0,,,,,,9.4,0.5,0.6013745704467354,,1.0,afl_tables+footywire
2024,2,Western Bulldogs,1.0,214.0,148.0,362.0,99.0,9.0,10.0,5.0,53.0,35.0,37.0,27.0,15.0,19.0,34.0,63.0,126.0,242.0,,,9.0,13.0,48.0,11.0,,,,,,12.2,0.47368421052631576,0.5911602209944752,,1.0,afl_tables+footywire
