season,round,date,kickoff,venue,home_team,away_team,pred_home_score,pred_away_score,pred_total,fair_home_odds,fair_away_odds,fair_hcap_line,fair_total_line,h2h_home_105,h2h_away_105,hcap_line_105,hcap_price_105,total_line_105,total_price_105,t1_hcap,t2_hcap,t3_hcap,t4_hcap,t5_hcap,t6_hcap,t7_hcap,final_margin,t1_totals,t2_totals,t3_totals,t4_totals,t5_totals,t6_totals,t7_totals,t8_totals,final_total,t5_home_inj_pts,t5_away_inj_pts,home_outs,away_outs,referee,ref_bucket,weather_condition,temp_c,wind_kmh,t1_note,t2_note,t3_note,t4_note,t5_note,t6_note,t7_note,t8_note,explanation,actual_home,actual_away,actual_total,margin_error,total_error,model_version
2026,26,2026-09-11,20:10,Optus Stadium,Fremantle Dockers,Geelong Cats,93.8,90.8,184.7,,,-3.0,184.7,,,,,,,,,,,,0.0,,3.0,,,,,,1.0,,,184.7,,,,,,,,,,,,,,,"SF1. T6 emotional priced for the first time: must_win both sides -> hcp 0.00, totals +1.00. shame_blowout rejected (lost QF by 32, AFL threshold 60+). Darcy star_return rejected. ML margin Fre -4.0, MC -3.8. ML total 161 (rules/ML gap 23.7) - totals NOT bettable.",,,,,,,,,rules-T1-T8+T6-emotional-finals-2026-09-08
2026,26,2026-09-12,19:35,The Gabba,Brisbane Lions,Adelaide Crows,112.2,96.3,208.5,,,-15.8,208.5,,,,,,,,,,,,0.0,,15.8,,,,,,1.0,,,208.5,,,,,,,,,,,,,,,"SF2. T6 must_win both sides -> hcp 0.00, totals +1.00. shame_blowout rejected (lost QF by 53, under the 60+ threshold). ML margin Bris -25.8, MC -23.3. ML total 153 (gap 55.5) - totals NOT bettable.",,,,,,,,,rules-T1-T8+T6-emotional-finals-2026-09-08
