season,round,date,home_team,away_team,model_total,market_close_total,model_selection,actual_home,actual_away,actual_total,result,model_market_gap_points,source_model,source_market
2026,26,2026-09-11,Fremantle Dockers,Geelong Cats,184.7,178.5,Over,120,106,226,win,6.2,AFL_PRICING_R26_2026-09-08_semi_finals.csv,afl historical latest.xlsx
2026,26,2026-09-12,Brisbane Lions,Adelaide Crows,208.5,182.5,Over,144,91,235,win,26.0,AFL_PRICING_R26_2026-09-08_semi_finals.csv,afl historical latest.xlsx
