season,round,week_ending,game,home_team,away_team,elo,t1_margin,t2_hcap,t3_hcap,t4_hcap,t5_hcap,t6_hcap,t7_hcap,final_margin,final_total,home_odds,away_odds
2026,7,2026-04-28,Bulldogs vs Swans,Bulldogs,Swans,+49,+23.7,-7.0,,,,,,+16.7,142.9,1.47,3.11
2026,7,2026-04-28,Tigers vs Demons,Tigers,Demons,-153,-13.0,-7.0,,,,,,-20.0,154.5,3.46,1.41
2026,7,2026-04-28,Hawks vs Suns,Hawks,Suns,+21,+18.3,+3.3,,,,,,+21.6,151.4,1.38,3.64
2026,7,2026-04-28,Bombers vs Magpies,Bombers,Magpies,-185,-11.7,-4.4,,,,,,-16.1,169.5,3.05,1.49
2026,7,2026-04-28,Power vs Cats,Power,Cats,-110,+3.1,-7.0,,,,,,-3.9,143.4,2.19,1.84
2026,7,2026-04-28,Dockers vs Blues,Dockers,Blues,+73,+28.2,+2.9,,,,,,+31.1,145.6,1.24,5.17
2026,7,2026-04-28,Saints vs Eagles,Saints,Eagles,+149,+49.1,+6.5,,,,,,+55.6,168.1,1.07,16.34
2026,7,2026-04-28,Lions vs Crows,Lions,Crows,+76,+39.4,-2.2,,,,,,+37.2,154.0,1.18,6.63
2026,7,2026-04-28,Giants vs Kangaroos,Giants,Kangaroos,+176,+52.3,-1.7,,,,,,+50.6,157.6,1.09,12.50
