home_team,away_team,venue,date
Geelong Cats,St Kilda Saints,GMHBA Stadium,2026-07-16
Sydney Swans,Adelaide Crows,SCG,2026-07-17
Port Adelaide Power,Fremantle Dockers,Adelaide Oval,2026-07-18
North Melbourne Kangaroos,Melbourne Demons,Marvel Stadium,2026-07-18
Collingwood Magpies,Carlton Blues,MCG,2026-07-18
West Coast Eagles,Brisbane Lions,Optus Stadium,2026-07-18
Richmond Tigers,Hawthorn Hawks,MCG,2026-07-19
Gold Coast Suns,Western Bulldogs,People First Stadium,2026-07-19
Essendon Bombers,Greater Western Sydney Giants,Marvel Stadium,2026-07-19
