market,threshold,bets,profit,roi
h2h,0.03,49,-0.5099999999999998,-0.010408163265306145
h2h,0.05,38,4.22,0.11105263157894739
h2h,0.07,31,2.7600000000000002,0.08903225806451612
h2h,0.1,24,6.32,0.26333333333333336
handicap,0.0,65,3.263,0.05020000000000001
handicap,3.0,37,0.8780000000000003,0.023729729729729757
handicap,6.0,16,2.8120000000000003,0.17575000000000002
handicap,10.0,5,0.53,0.10600000000000005
