home_team,away_team,venue,date
Western Bulldogs,Adelaide Crows,Marvel Stadium,2026-06-11
Geelong Cats,Gold Coast Suns,GMHBA Stadium,2026-06-12
Melbourne Demons,Essendon Bombers,MCG,2026-06-13
North Melbourne Kangaroos,West Coast Eagles,Optus Stadium,2026-06-13
Port Adelaide Power,Sydney Swans,Adelaide Oval,2026-06-13
Richmond Tigers,Brisbane Lions,Ninja Stadium,2026-06-14
St Kilda Saints,Greater Western Sydney Giants,Marvel Stadium,2026-06-14
