candidate,brier_delta_vs_rules,ci_low,ci_high
blend_rules_50,-0.021069182706982645,-0.05062715863609087,0.007666972422696649
blend_rules_25,-0.020208842633482174,-0.06175781386352406,0.020180719171874983
blend_rules_75,-0.013981207647550719,-0.03004960163685094,0.0008300478370051487
agreement_gate,-0.012943200535103365,-0.02933210123585928,0.004108864313988115
ml_only,-0.01293895413256956,-0.06508581237226393,0.03891705012048195
market_open,-0.011073725937023651,-0.030574872942324867,0.007029720189027062
walk_forward_meta,-0.0028323242736518353,-0.032002994056452384,0.024647258012141095
rules_only,0.0,0.0,0.0
