candidate,games,rounds,accuracy,brier,log_loss
blend_rules_50,43,5,0.7674418604651163,0.16965249540697674,0.5069746707647009
blend_rules_25,43,5,0.7674418604651163,0.170504757630814,0.5069732075004549
blend_rules_75,43,5,0.7441860465116279,0.1729857919331395,0.5147215446662261
agreement_gate,43,5,0.7441860465116279,0.17314524825581398,0.5144153165539628
ml_only,43,5,0.6976744186046512,0.1755425786046512,0.5142362921016392
walk_forward_meta,43,5,0.7906976744186046,0.1781772358566573,0.5286165671994499
rules_only,43,5,0.7441860465116279,0.18050464720930232,0.5319219404387827
market_open,43,5,0.7441860465116279,0.18106427604651162,0.5394319551017069
