candidate,threshold,bets,profit,roi
blend_rules_50,0.07,44,16.75,0.3806818181818182
agreement_gate,0.07,33,8.350000000000001,0.253030303030303
walk_forward_meta,0.07,19,2.99,0.1573684210526316
blend_rules_75,0.07,31,4.59,0.14806451612903226
ml_only,0.07,63,7.590000000000001,0.12047619047619047
blend_rules_25,0.07,52,4.430000000000001,0.08519230769230772
market_open,0.07,13,0.5300000000000005,0.04076923076923082
rules_only,0.07,44,-3.5300000000000002,-0.0802272727272727
