candidate,threshold,bets,profit,roi
blend_rules_50,0.07,19,9.75,0.5131578947368421
agreement_gate,0.07,14,6.9,0.4928571428571429
market_open,0.07,3,0.7000000000000002,0.2333333333333334
blend_rules_75,0.07,15,3.0999999999999996,0.20666666666666667
walk_forward_meta,0.07,19,2.99,0.1573684210526316
rules_only,0.07,18,2.6899999999999995,0.1494444444444444
ml_only,0.07,30,1.7600000000000002,0.05866666666666667
blend_rules_25,0.07,21,0.6500000000000004,0.03095238095238097
