home_team,away_team,venue,date
Fremantle Dockers,Hawthorn Hawks,Optus Stadium,2026-09-03
Geelong Cats,Carlton Blues,MCG,2026-09-04
Sydney Swans,Brisbane Lions,SCG,2026-09-05
Adelaide Crows,Western Bulldogs,Adelaide Oval,2026-09-05
