Referee,team,games,home_games,pts_pct_with_ref,pts_pct_other_refs,card_pts_vs_team_with_ref,card_pts_vs_team_other_refs,pts_delta,card_delta
O Langford,Derby,19,14,0.526,0.477,0.895,1.819,0.05,-0.925
K Stroud,Leeds,17,6,0.569,0.52,2.176,1.931,0.049,0.246
O Langford,Bristol City,25,13,0.48,0.433,1.84,1.651,0.047,0.189
J Simpson,Birmingham,18,8,0.426,0.383,1.667,1.894,0.043,-0.228
A Davies,Wigan,14,6,0.381,0.341,2.0,1.995,0.04,0.005
D Whitestone,Millwall,15,7,0.511,0.471,1.6,1.739,0.04,-0.139
D Webb,Stoke,15,8,0.444,0.405,1.8,2.038,0.04,-0.238
T Harrington,Preston,17,13,0.49,0.451,1.294,2.02,0.039,-0.726
J Linington,Millwall,19,13,0.474,0.436,2.316,1.771,0.038,0.545
J Linington,Sheffield Weds,16,4,0.479,0.441,1.812,1.922,0.038,-0.11
K Stroud,Hull,16,6,0.458,0.421,2.0,1.688,0.037,0.312
K Stroud,Swansea,22,13,0.515,0.479,1.909,1.764,0.036,0.145
A Woolmer,Preston,13,2,0.487,0.453,1.615,1.848,0.034,-0.233
D Bond,Millwall,13,5,0.487,0.453,1.692,1.731,0.034,-0.039
T Harrington,Blackburn,20,10,0.467,0.434,1.6,1.957,0.033,-0.357
G Eltringham,Sheffield Weds,14,7,0.476,0.446,1.643,1.912,0.03,-0.269
T Robinson,Middlesbrough,19,7,0.544,0.514,2.316,1.802,0.03,0.513
T Harrington,Hull,13,9,0.462,0.433,2.077,1.688,0.028,0.389
S Martin,Bristol City,21,14,0.46,0.434,1.762,1.656,0.026,0.106
D Bond,Nott'm Forest,15,10,0.467,0.441,1.733,2.033,0.026,-0.299
S Martin,Sunderland,11,5,0.455,0.43,1.909,2.191,0.025,-0.282
D Webb,Rotherham,12,7,0.333,0.309,1.833,1.814,0.024,0.019
O Langford,Ipswich,12,6,0.472,0.45,1.333,1.862,0.023,-0.529
S Duncan,Derby,11,7,0.545,0.525,2.0,1.751,0.021,0.249
D England,Derby,11,8,0.485,0.464,2.0,1.861,0.02,0.139
G Ward,Stoke,18,8,0.426,0.406,1.556,1.954,0.02,-0.398
S Martin,Sheffield Weds,21,8,0.46,0.442,1.619,1.934,0.018,-0.315
D Whitestone,QPR,15,10,0.444,0.428,1.267,1.974,0.017,-0.707
K Stroud,Watford,12,5,0.556,0.541,2.75,2.023,0.015,0.727
K Stroud,Reading,20,10,0.417,0.403,2.05,1.746,0.014,0.304
G Ward,Swansea,12,10,0.5,0.486,1.417,1.708,0.014,-0.292
D Webb,Bristol City,17,7,0.451,0.438,1.0,1.715,0.013,-0.715
S Martin,Reading,23,12,0.42,0.408,1.609,1.762,0.013,-0.154
G Eltringham,Blackburn,13,11,0.436,0.426,1.615,1.935,0.01,-0.32
K Stroud,Nott'm Forest,17,8,0.451,0.442,2.294,2.003,0.009,0.291
D Bond,QPR,15,5,0.422,0.414,2.333,2.0,0.009,0.333
K Stroud,Norwich,17,11,0.569,0.561,2.353,1.843,0.008,0.51
A Madley,Derby,16,8,0.5,0.492,1.688,1.824,0.008,-0.136
D Bond,Preston,16,7,0.458,0.453,2.0,1.969,0.006,0.031
K Stroud,Derby,15,10,0.489,0.483,1.6,1.813,0.005,-0.213
S Martin,Norwich,14,6,0.548,0.542,2.071,1.864,0.005,0.207
A Madley,Blackburn,11,5,0.424,0.42,2.0,1.735,0.004,0.265
M Donohue,Birmingham,11,7,0.364,0.36,2.545,1.902,0.003,0.644
T Robinson,Nott'm Forest,18,6,0.444,0.442,2.056,2.016,0.003,0.039
S Martin,Millwall,18,10,0.444,0.442,1.556,1.793,0.003,-0.237
S Martin,Luton,13,6,0.462,0.459,1.692,1.811,0.002,-0.119
J Simpson,Norwich,10,6,0.533,0.531,1.9,1.853,0.002,0.047
M Donohue,Huddersfield,16,7,0.417,0.415,1.5,1.75,0.002,-0.25
D Bond,Norwich,11,5,0.576,0.574,1.545,1.826,0.002,-0.281
G Eltringham,Fulham,10,5,0.567,0.565,1.9,1.805,0.002,0.095
S Hooper,Sheffield Weds,10,6,0.467,0.466,1.3,1.936,0.001,-0.636
D Whitestone,Huddersfield,10,6,0.4,0.4,1.8,1.769,0.0,0.031
J Linington,Stoke,10,4,0.4,0.4,2.3,1.895,0.0,0.405
K Stroud,Millwall,16,12,0.438,0.438,1.438,1.815,0.0,-0.378
D England,Preston,10,3,0.467,0.467,1.8,1.812,-0.001,-0.012
D Webb,Reading,13,4,0.385,0.387,1.462,1.696,-0.002,-0.234
M Donohue,Blackburn,17,4,0.451,0.456,2.882,1.977,-0.005,0.906
J Linington,Huddersfield,18,9,0.426,0.431,2.278,1.743,-0.005,0.534
A Davies,Rotherham,11,4,0.273,0.279,2.091,1.826,-0.007,0.264
G Ward,Preston,16,7,0.438,0.444,2.875,1.935,-0.007,0.94
D Webb,Norwich,10,7,0.567,0.574,1.3,1.864,-0.008,-0.564
O Langford,Wigan,10,5,0.333,0.344,1.8,2.005,-0.011,-0.205
A Davies,Millwall,17,14,0.431,0.442,1.706,1.786,-0.011,-0.08
J Simpson,Derby,13,8,0.462,0.474,2.231,1.793,-0.012,0.438
K Stroud,Ipswich,16,10,0.458,0.471,1.75,1.796,-0.012,-0.046
G Eltringham,Rotherham,12,7,0.278,0.29,1.333,1.823,-0.013,-0.489
D Bond,Rotherham,12,3,0.278,0.29,2.0,1.797,-0.013,0.203
A Woolmer,Blackburn,11,5,0.424,0.437,1.0,1.871,-0.013,-0.871
D Webb,West Brom,15,8,0.511,0.526,1.6,1.835,-0.015,-0.235
T Robinson,Huddersfield,10,4,0.433,0.449,1.9,1.752,-0.015,0.148
D Bond,Huddersfield,12,7,0.417,0.433,1.5,1.835,-0.017,-0.335
O Langford,Huddersfield,13,6,0.41,0.427,2.0,1.803,-0.017,0.197
T Harrington,Norwich,13,3,0.513,0.532,1.615,1.861,-0.019,-0.245
J Simpson,Hull,17,6,0.392,0.412,2.176,1.603,-0.02,0.573
A Woolmer,Luton,10,5,0.467,0.487,1.7,1.741,-0.02,-0.041
A Woolmer,Swansea,14,8,0.476,0.497,2.071,1.694,-0.021,0.377
D Webb,Derby,16,5,0.438,0.459,1.75,1.892,-0.021,-0.142
O Langford,Blackburn,19,15,0.421,0.443,2.053,1.941,-0.022,0.112
S Hooper,Cardiff,10,7,0.5,0.524,1.5,1.718,-0.024,-0.218
M Donohue,Stoke,13,7,0.385,0.409,1.538,1.985,-0.025,-0.446
P Bankes,Leeds,13,7,0.513,0.538,2.308,1.949,-0.025,0.358
J Linington,Swansea,14,8,0.452,0.477,1.286,1.769,-0.025,-0.484
O Langford,Sheffield United,13,7,0.564,0.591,2.0,1.953,-0.027,0.047
J Linington,Bristol City,26,12,0.41,0.437,2.038,1.638,-0.027,0.4
J Simpson,Huddersfield,16,11,0.396,0.424,1.625,1.798,-0.028,-0.173
G Ward,QPR,17,12,0.392,0.421,1.941,2.007,-0.029,-0.065
T Robinson,Luton,11,5,0.455,0.484,2.182,1.838,-0.029,0.344
D England,Blackburn,11,5,0.424,0.453,2.455,1.965,-0.029,0.49
G Eltringham,Norwich,13,3,0.538,0.568,2.462,1.848,-0.029,0.614
A Davies,Nott'm Forest,13,6,0.41,0.441,2.308,1.949,-0.031,0.358
P Bankes,Middlesbrough,14,6,0.5,0.531,2.143,1.833,-0.031,0.31
A Davies,Derby,16,5,0.458,0.491,2.375,1.818,-0.032,0.557
D Webb,Huddersfield,19,13,0.368,0.402,1.474,1.789,-0.033,-0.315
R Jones,Leeds,11,3,0.576,0.611,1.545,1.844,-0.035,-0.298
K Stroud,Fulham,15,9,0.533,0.569,2.067,1.772,-0.036,0.295
S Martin,Blackburn,18,8,0.407,0.443,1.667,1.957,-0.036,-0.29
G Ward,Bristol City,17,9,0.392,0.428,1.353,1.623,-0.036,-0.27
S Martin,Rotherham,15,7,0.244,0.281,1.533,1.843,-0.037,-0.31
G Eltringham,Reading,17,5,0.373,0.41,2.118,1.695,-0.038,0.422
K Stroud,Barnsley,12,8,0.333,0.373,2.167,1.757,-0.04,0.41
S Martin,Birmingham,20,11,0.35,0.39,1.95,1.96,-0.04,-0.01
D Webb,Hull,13,9,0.359,0.399,1.462,1.77,-0.04,-0.309
J Brooks,Bristol City,11,7,0.394,0.435,1.455,1.595,-0.042,-0.141
