Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HY,AY,HR,AR,Season,home_card_pts,away_card_pts
2014-08-30,Wolves,Blackburn,K Stroud,3.0,1.0,H,2.0,5.0,0.0,0.0,2014/15,2.0,5.0
2014-08-30,Wigan,Birmingham,D Webb,4.0,0.0,H,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-08-30,Watford,Huddersfield,N Swarbrick,4.0,2.0,H,2.0,5.0,1.0,0.0,2014/15,4.0,5.0
2014-08-30,Sheffield Weds,Nott'm Forest,G Salisbury,0.0,1.0,A,4.0,3.0,0.0,0.0,2014/15,4.0,3.0
2014-08-30,Norwich,Bournemouth,S Martin,1.0,1.0,D,4.0,1.0,0.0,0.0,2014/15,4.0,1.0
2014-08-30,Millwall,Blackpool,A Woolmer,2.0,1.0,H,3.0,3.0,0.0,0.0,2014/15,3.0,3.0
2014-08-30,Middlesbrough,Reading,D Bond,0.0,1.0,A,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-08-30,Leeds,Bolton,S Hooper,1.0,0.0,H,2.0,0.0,0.0,0.0,2014/15,2.0,0.0
2014-08-30,Fulham,Cardiff,J Adcock,1.0,1.0,D,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-08-30,Derby,Ipswich,E Ilderton,1.0,1.0,D,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-08-30,Brighton,Charlton,K Hill,2.0,2.0,D,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-09-13,Ipswich,Millwall,C Berry,2.0,0.0,H,1.0,0.0,0.0,0.0,2014/15,1.0,0.0
2014-09-13,Huddersfield,Middlesbrough,K Wright,1.0,2.0,A,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-09-13,Charlton,Watford,A Madley,1.0,0.0,H,3.0,4.0,0.0,0.0,2014/15,3.0,4.0
2014-09-13,Cardiff,Norwich,M Haywood,2.0,4.0,A,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-09-13,Reading,Fulham,M Jones,3.0,0.0,H,1.0,3.0,0.0,1.0,2014/15,1.0,5.0
2014-09-13,Brentford,Brighton,S Martin,3.0,2.0,H,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-09-13,Bolton,Sheffield Weds,A Haines,0.0,0.0,D,2.0,0.0,0.0,0.0,2014/15,2.0,0.0
