home_team,away_team,venue,date
Geelong Cats,Brisbane Lions,GMHBA Stadium,2026-07-02
Sydney Swans,Western Bulldogs,SCG,2026-07-03
West Coast Eagles,Adelaide Crows,Optus Stadium,2026-07-03
Hawthorn Hawks,Melbourne Demons,MCG,2026-07-04
Greater Western Sydney Giants,Fremantle Dockers,ENGIE Stadium,2026-07-04
Gold Coast Suns,Collingwood Magpies,People First Stadium,2026-07-04
Richmond Tigers,Carlton Blues,MCG,2026-07-04
Essendon Bombers,St Kilda Saints,Marvel Stadium,2026-07-05
Port Adelaide Power,North Melbourne Kangaroos,Adelaide Oval,2026-07-05
