home_team,away_team,referee
Cronulla Sutherland Sharks,Canterbury Bulldogs,Gerard Sutton
South Sydney Rabbitohs,Dolphins,Adam Gee
Wests Tigers,Manly Warringah Sea Eagles,Grant Atkins
Sydney Roosters,North Queensland Cowboys,Todd Smith
Parramatta Eels,Melbourne Storm,Peter Gough
Gold Coast Titans,Newcastle Knights,Wyatt Raymond
New Zealand Warriors,Brisbane Broncos,Ashley Klein
