match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,home_xg,away_xg,xg_source,sofascore_event_id,mapping_day_difference,mapping_score,_merge,kickoff_utc_parsed
ucl-2024-25-127,2024-25,league_phase,Matchday 8,2025-01-21T00:00:00+00:00,date_only,sporting-clube-de-portugal,bologna-fc-1909,Sporting Clube de Portugal (POR),Bologna FC 1909 (ITA),1,1,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-140,2024-25,league_phase,Matchday 8,2025-01-21T00:00:00+00:00,date_only,juventus-fc,sport-lisboa-e-benfica,Juventus FC (ITA),Sport Lisboa e Benfica (POR),0,2,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-143,2024-25,league_phase,Matchday 8,2025-01-21T00:00:00+00:00,date_only,psv,liverpool-fc,PSV (NED),Liverpool FC (ENG),3,2,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-147,2024-25,knockout_phase_play_off,Matchday 1,2025-01-21T00:00:00+00:00,date_only,juventus-fc,psv,Juventus FC (ITA),PSV (NED),2,1,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-148,2024-25,knockout_phase_play_off,Matchday 1,2025-01-21T00:00:00+00:00,date_only,sporting-clube-de-portugal,borussia-dortmund,Sporting Clube de Portugal (POR),Borussia Dortmund (GER),0,3,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-150,2024-25,knockout_phase_play_off,Matchday 1,2025-01-21T00:00:00+00:00,date_only,as-monaco-fc,sport-lisboa-e-benfica,AS Monaco FC (MCO),Sport Lisboa e Benfica (POR),0,1,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-154,2024-25,knockout_phase_play_off,Matchday 2,2025-01-21T00:00:00+00:00,date_only,sport-lisboa-e-benfica,as-monaco-fc,Sport Lisboa e Benfica (POR),AS Monaco FC (MCO),3,3,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-157,2024-25,knockout_phase_play_off,Matchday 2,2025-01-21T00:00:00+00:00,date_only,borussia-dortmund,sporting-clube-de-portugal,Borussia Dortmund (GER),Sporting Clube de Portugal (POR),0,0,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-160,2024-25,knockout_phase_play_off,Matchday 2,2025-01-21T00:00:00+00:00,date_only,psv,juventus-fc,PSV (NED),Juventus FC (ITA),3,1,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-161,2024-25,knockout_phase,Round of 16,2025-01-21T00:00:00+00:00,date_only,club-brugge-kv,aston-villa-fc,Club Brugge KV (BEL),Aston Villa FC (ENG),1,3,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-163,2024-25,knockout_phase,Round of 16,2025-01-21T00:00:00+00:00,date_only,psv,arsenal-fc,PSV (NED),Arsenal FC (ENG),1,7,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-168,2024-25,knockout_phase,Round of 16,2025-01-21T00:00:00+00:00,date_only,sport-lisboa-e-benfica,fc-barcelona,Sport Lisboa e Benfica (POR),FC Barcelona (ESP),0,1,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-169,2024-25,knockout_phase,Round of 16,2025-01-21T00:00:00+00:00,date_only,fc-barcelona,sport-lisboa-e-benfica,FC Barcelona (ESP),Sport Lisboa e Benfica (POR),3,1,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-176,2024-25,knockout_phase,Round of 16,2025-01-21T00:00:00+00:00,date_only,arsenal-fc,psv,Arsenal FC (ENG),PSV (NED),2,2,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-182,2024-25,knockout_phase,Quarterfinals,2025-01-21T00:00:00+00:00,date_only,borussia-dortmund,fc-barcelona,Borussia Dortmund (GER),FC Barcelona (ESP),3,1,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2024-25-185,2024-25,knockout_phase,Semifinals,2025-01-21T00:00:00+00:00,date_only,arsenal-fc,paris-saint-germain-fc,Arsenal FC (ENG),Paris Saint-Germain FC (FRA),0,1,openfootball,2025-01-21T00:00:00+00:00,,,,,,,left_only,2025-01-21 00:00:00+00:00
ucl-2025-26-004,2025-26,league_phase,Matchday 1,2025-09-16T21:00:00Z,date_only,sport-lisboa-e-benfica,qaraba-a-dam-fk,Sport Lisboa e Benfica (POR),Qarabağ Ağdam FK (AZE),2,3,openfootball,2025-09-16T00:00:00+00:00,,,,,,,left_only,2025-09-16 21:00:00+00:00
ucl-2025-26-061,2025-26,league_phase,Matchday 4,2025-11-04T21:00:00Z,date_only,pae-olympiakos-sfp,psv,PAE Olympiakos SFP (GRE),PSV (NED),1,1,openfootball,2025-09-16T00:00:00+00:00,,,,,,,left_only,2025-11-04 21:00:00+00:00
ucl-2025-26-094,2025-26,league_phase,Matchday 6,2025-12-09T21:00:00Z,date_only,psv,club-atl-tico-de-madrid,PSV (NED),Club Atlético de Madrid (ESP),2,3,openfootball,2025-09-16T00:00:00+00:00,,,,,,,left_only,2025-12-09 21:00:00+00:00
