match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,hk,ak,kickoff_utc_original,date_repair_source
ucl-2024-25-017,2024-25,league_phase,Matchday 1,2024-09-19T19:00:00+00:00,date_only,atalanta-bc,arsenal-fc,Atalanta BC (ITA),Arsenal FC (ENG),0,0,openfootball,2024-09-17T00:00:00+00:00,atalanta,arsenal,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-018,2024-25,league_phase,Matchday 1,2024-09-19T19:00:00+00:00,date_only,club-atl-tico-de-madrid,rb-leipzig,Club Atlético de Madrid (ESP),RB Leipzig (GER),2,1,openfootball,2024-09-17T00:00:00+00:00,atletico-de-madrid,rb-leipzig,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-019,2024-25,league_phase,Matchday 2,2024-10-01T16:45:00+00:00,date_only,vfb-stuttgart,ac-sparta-praha,VfB Stuttgart (GER),AC Sparta Praha (CZE),1,1,openfootball,2024-09-17T00:00:00+00:00,vfb-stuttgart,ac-sparta-praha,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-020,2024-25,league_phase,Matchday 2,2024-10-01T16:45:00+00:00,date_only,fc-red-bull-salzburg,stade-brestois-29,FC Red Bull Salzburg (AUT),Stade Brestois 29 (FRA),0,4,openfootball,2024-09-17T00:00:00+00:00,red-bull-salzburg,stade-brestois-29,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-021,2024-25,league_phase,Matchday 2,2024-10-01T19:00:00+00:00,date_only,k-slovan-bratislava,manchester-city-fc,ŠK Slovan Bratislava (SVK),Manchester City FC (ENG),0,4,openfootball,2024-09-17T00:00:00+00:00,k-slovan-bratislava,manchester-city,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-022,2024-25,league_phase,Matchday 2,2024-10-01T19:00:00+00:00,date_only,borussia-dortmund,celtic-fc,Borussia Dortmund (GER),Celtic FC (SCO),7,1,openfootball,2024-09-17T00:00:00+00:00,borussia-dortmund,celtic,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-023,2024-25,league_phase,Matchday 2,2024-10-01T19:00:00+00:00,date_only,fc-barcelona,bsc-young-boys,FC Barcelona (ESP),BSC Young Boys (SUI),5,0,openfootball,2024-09-17T00:00:00+00:00,barcelona,young-boys,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-024,2024-25,league_phase,Matchday 2,2024-10-01T19:00:00+00:00,date_only,fc-internazionale-milano,fk-crvena-zvezda,FC Internazionale Milano (ITA),FK Crvena Zvezda (SRB),4,0,openfootball,2024-09-17T00:00:00+00:00,internazionale,red-star-belgrade,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-025,2024-25,league_phase,Matchday 2,2024-10-01T19:00:00+00:00,date_only,bayer-04-leverkusen,ac-milan,Bayer 04 Leverkusen (GER),AC Milan (ITA),1,0,openfootball,2024-09-17T00:00:00+00:00,bayer-leverkusen,ac-milan,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-026,2024-25,league_phase,Matchday 2,,date_only,arsenal-fc,paris-saint-germain-fc,Arsenal FC (ENG),Paris Saint-Germain FC (FRA),2,0,openfootball,2024-09-17T00:00:00+00:00,arsenal,paris-saint-germain,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-027,2024-25,league_phase,Matchday 2,,date_only,psv,sporting-clube-de-portugal,PSV (NED),Sporting Clube de Portugal (POR),1,1,openfootball,2024-09-17T00:00:00+00:00,psv,sporting-clube-de-portugal,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-028,2024-25,league_phase,Matchday 2,2024-10-02T16:45:00+00:00,date_only,girona-fc,feyenoord-rotterdam,Girona FC (ESP),Feyenoord Rotterdam (NED),2,3,openfootball,2024-09-17T00:00:00+00:00,girona,feyenoord,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-029,2024-25,league_phase,Matchday 2,2024-10-02T16:45:00+00:00,date_only,fk-shakhtar-donetsk,atalanta-bc,FK Shakhtar Donetsk (UKR),Atalanta BC (ITA),0,3,openfootball,2024-09-17T00:00:00+00:00,shakhtar-donetsk,atalanta,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-030,2024-25,league_phase,Matchday 2,2024-10-02T19:00:00+00:00,date_only,aston-villa-fc,fc-bayern-m-nchen,Aston Villa FC (ENG),FC Bayern München (GER),1,0,openfootball,2024-09-17T00:00:00+00:00,aston-villa,bayern-munchen,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-031,2024-25,league_phase,Matchday 2,2024-10-02T19:00:00+00:00,date_only,sk-sturm-graz,club-brugge-kv,SK Sturm Graz (AUT),Club Brugge KV (BEL),0,1,openfootball,2024-09-17T00:00:00+00:00,sk-sturm-graz,brugge,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-032,2024-25,league_phase,Matchday 2,2024-10-02T19:00:00+00:00,date_only,liverpool-fc,bologna-fc-1909,Liverpool FC (ENG),Bologna FC 1909 (ITA),2,0,openfootball,2024-09-17T00:00:00+00:00,liverpool,bologna,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-033,2024-25,league_phase,Matchday 2,2024-10-02T19:00:00+00:00,date_only,rb-leipzig,juventus-fc,RB Leipzig (GER),Juventus FC (ITA),2,3,openfootball,2024-09-17T00:00:00+00:00,rb-leipzig,juventus,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-034,2024-25,league_phase,Matchday 2,,date_only,sport-lisboa-e-benfica,club-atl-tico-de-madrid,Sport Lisboa e Benfica (POR),Club Atlético de Madrid (ESP),4,0,openfootball,2024-09-17T00:00:00+00:00,sport-lisboa-e-benfica,atletico-de-madrid,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-035,2024-25,league_phase,Matchday 2,2024-10-02T19:00:00+00:00,date_only,gnk-dinamo-zagreb,as-monaco-fc,GNK Dinamo Zagreb (CRO),AS Monaco FC (MCO),2,2,openfootball,2024-09-17T00:00:00+00:00,dinamo-zagreb,as-monaco,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-036,2024-25,league_phase,Matchday 2,2024-10-02T19:00:00+00:00,date_only,lille-osc,real-madrid-cf,Lille OSC (FRA),Real Madrid CF (ESP),1,0,openfootball,2024-09-17T00:00:00+00:00,lille,real-madrid,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-037,2024-25,league_phase,Matchday 3,2024-10-22T16:45:00+00:00,date_only,as-monaco-fc,fk-crvena-zvezda,AS Monaco FC (MCO),FK Crvena Zvezda (SRB),5,1,openfootball,2024-09-17T00:00:00+00:00,as-monaco,red-star-belgrade,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-038,2024-25,league_phase,Matchday 3,2024-10-22T16:45:00+00:00,date_only,ac-milan,club-brugge-kv,AC Milan (ITA),Club Brugge KV (BEL),3,1,openfootball,2024-09-17T00:00:00+00:00,ac-milan,brugge,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-039,2024-25,league_phase,Matchday 3,2024-10-22T19:00:00+00:00,date_only,aston-villa-fc,bologna-fc-1909,Aston Villa FC (ENG),Bologna FC 1909 (ITA),2,0,openfootball,2024-09-17T00:00:00+00:00,aston-villa,bologna,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-040,2024-25,league_phase,Matchday 3,2024-10-22T19:00:00+00:00,date_only,girona-fc,k-slovan-bratislava,Girona FC (ESP),ŠK Slovan Bratislava (SVK),2,0,openfootball,2024-09-17T00:00:00+00:00,girona,k-slovan-bratislava,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-041,2024-25,league_phase,Matchday 3,,date_only,sk-sturm-graz,sporting-clube-de-portugal,SK Sturm Graz (AUT),Sporting Clube de Portugal (POR),0,2,openfootball,2024-09-17T00:00:00+00:00,sk-sturm-graz,sporting-clube-de-portugal,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-042,2024-25,league_phase,Matchday 3,,date_only,paris-saint-germain-fc,psv,Paris Saint-Germain FC (FRA),PSV (NED),1,1,openfootball,2024-09-17T00:00:00+00:00,paris-saint-germain,psv,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-043,2024-25,league_phase,Matchday 3,2024-10-22T19:00:00+00:00,date_only,real-madrid-cf,borussia-dortmund,Real Madrid CF (ESP),Borussia Dortmund (GER),5,2,openfootball,2024-09-17T00:00:00+00:00,real-madrid,borussia-dortmund,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-044,2024-25,league_phase,Matchday 3,2024-10-22T19:00:00+00:00,date_only,arsenal-fc,fk-shakhtar-donetsk,Arsenal FC (ENG),FK Shakhtar Donetsk (UKR),1,0,openfootball,2024-09-17T00:00:00+00:00,arsenal,shakhtar-donetsk,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-045,2024-25,league_phase,Matchday 3,2024-10-22T19:00:00+00:00,date_only,juventus-fc,vfb-stuttgart,Juventus FC (ITA),VfB Stuttgart (GER),0,1,openfootball,2024-09-17T00:00:00+00:00,juventus,vfb-stuttgart,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-046,2024-25,league_phase,Matchday 3,2024-10-23T16:45:00+00:00,date_only,stade-brestois-29,bayer-04-leverkusen,Stade Brestois 29 (FRA),Bayer 04 Leverkusen (GER),1,1,openfootball,2024-09-17T00:00:00+00:00,stade-brestois-29,bayer-leverkusen,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-047,2024-25,league_phase,Matchday 3,2024-10-23T16:45:00+00:00,date_only,atalanta-bc,celtic-fc,Atalanta BC (ITA),Celtic FC (SCO),0,0,openfootball,2024-09-17T00:00:00+00:00,atalanta,celtic,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-048,2024-25,league_phase,Matchday 3,2024-10-23T19:00:00+00:00,date_only,bsc-young-boys,fc-internazionale-milano,BSC Young Boys (SUI),FC Internazionale Milano (ITA),0,1,openfootball,2024-09-17T00:00:00+00:00,young-boys,internazionale,2024-09-17T00:00:00+00:00,sofascore_event
