home_team,away_team,margin_mean,total_mean,home_win_prob,home_fair_odds,away_win_prob,away_fair_odds,home_market_odds,away_market_odds,home_h2h_ev,away_h2h_ev,home_line,home_cover_prob,home_line_ev,away_line,away_cover_prob,away_line_ev,total_line,over_prob,over_ev,under_prob,under_ev,margin_model_gap,total_model_gap
Sydney Swans,Fremantle Dockers,23.32,209.2,0.7326,1.37,0.2674,3.74,2.58,1.55,0.89,-0.5855,11.5,0.8239,0.5654,-11.5,0.1761,-0.6654,185.5,0.7404,0.4067,0.2596,-0.5067,17.2,45.9
Hawthorn Hawks,Brisbane Lions,3.22,196.7,0.5478,1.83,0.4522,2.21,2.12,1.86,0.1613,-0.1589,1.5,0.5684,0.1368,-1.5,0.4316,-0.18,184.5,0.6341,0.2049,0.3659,-0.3049,1.2,49.8
