home_team,away_team,margin_mean,total_mean,home_win_prob,home_fair_odds,away_win_prob,away_fair_odds,home_market_odds,away_market_odds,home_h2h_ev,away_h2h_ev,home_line,home_cover_prob,home_line_ev,away_line,away_cover_prob,away_line_ev,total_line,over_prob,over_ev,under_prob,under_ev,margin_model_gap,total_model_gap
Fremantle Dockers,Geelong Cats,3.75,183.7,0.5281,1.89,0.4719,2.12,1.7,2.2,-0.1023,0.0383,-7.5,0.4577,-0.1304,7.5,0.5423,0.0304,163.5,0.7378,0.4019,0.2622,-0.5019,1.0,22.4
Brisbane Lions,Adelaide Crows,23.3,207.5,0.7391,1.35,0.2609,3.83,1.5,2.6,0.1087,-0.3218,-14.5,0.5806,0.1031,14.5,0.4194,-0.2031,172.5,0.8026,0.525,0.1974,-0.625,10.0,54.9
