home_team,away_team,margin_mean,total_mean,home_win_prob,home_fair_odds,away_win_prob,away_fair_odds,home_market_odds,away_market_odds,home_h2h_ev,away_h2h_ev,home_line,home_cover_prob,home_line_ev,away_line,away_cover_prob,away_line_ev,total_line,over_prob,over_ev,under_prob,under_ev,margin_model_gap,total_model_gap
Sydney Swans,Fremantle Dockers,28.1,209.2,0.7721,1.3,0.2279,4.39,2.58,1.55,0.992,-0.6468,11.5,0.8543,0.6232,-11.5,0.1457,-0.7232,185.5,0.7404,0.4067,0.2596,-0.5067,17.2,45.9
Hawthorn Hawks,Brisbane Lions,8.0,196.7,0.6079,1.65,0.3921,2.55,2.12,1.86,0.2887,-0.2707,1.5,0.6227,0.2455,-1.5,0.3773,-0.2832,184.5,0.6341,0.2049,0.3659,-0.3049,1.2,49.8
