sydney_match_date,kickoff_utc,home,away,normal_status,shadow_status,data_health_flags,blocked_teams,shadow_blockers,normal_home,normal_draw,normal_away,normal_p_over25,normal_over25,normal_under25,normal_p_over25_isotonic,normal_over25_isotonic,normal_under25_isotonic,shadow_home,shadow_draw,shadow_away,shadow_p_over25,shadow_over25,shadow_under25,shadow_p_over25_isotonic,shadow_over25_isotonic,shadow_under25_isotonic,normal_xg_home,normal_xg_away,shadow_xg_home,shadow_xg_away
2026-09-11,2026-09-10T16:45:00Z,Fenerbahce,AS Roma,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,BLOCKED,,Fenerbahce,incomplete_player_features; missing_cross_league_baseline_strength; projected_lineup_unresolved,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,2026-09-10T16:45:00Z,PSV Eindhoven,Shakhtar Donetsk,PROVISIONAL_RESEARCH_PRICE,BLOCKED,Shakhtar Donetsk: stale_history_last_archive_match_596_days_ago,,incomplete_player_features; projected_lineup_unresolved,1.9681123471745263,4.35684578907955,3.811337583707116,0.7531,1.327844907714779,4.050222762251924,0.551111111111111,1.8145161290322585,2.227722772277227,,,,,,,,,,2.356,1.621,,
2026-09-11,2026-09-10T19:00:00Z,Bayern Munich,Bodo/Glimt,PROVISIONAL_RESEARCH_PRICE,RESEARCH_PLAYER_SHADOW,Bodo/Glimt: thin_history_12_archive_matches,,,1.2811149176465912,7.901913117584791,10.766781352146014,0.8552,1.1693171188026192,6.906077348066297,0.6198347107438017,1.6133333333333333,2.630434782608696,1.3167628957864068,7.329725668747699,9.60328088879996,0.8460688795830805,1.1819368660537102,6.496412143896044,0.6027556670006081,1.6590470314051666,2.517342393406858,4.072,0.972,3.952,0.9987632846787922
2026-09-11,2026-09-10T19:00:00Z,Como,RB Leipzig,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,BLOCKED,,Como,missing_cross_league_baseline_strength,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,2026-09-10T19:00:00Z,Manchester United,Sabah FK,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,BLOCKED,,Sabah FK,incomplete_player_features; missing_cross_league_baseline_strength; projected_lineup_unresolved,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,2026-09-10T19:00:00Z,Slavia Prague,Lens,PROVISIONAL_RESEARCH_PRICE,BLOCKED,Lens: stale_history_last_archive_match_1086_days_ago; Lens: thin_history_6_archive_matches; Slavia Prague: thin_history_14_archive_matches,,incomplete_player_features,1.8166875496281318,3.779674054466641,5.406149596898129,0.3373,2.9647198339756895,1.508978421608571,0.545016077170418,1.8348082595870208,2.197879858657244,,,,,,,,,,1.572,0.5,,
