league,match,market,selection,saved_price,opening_odds,closing_odds,vs_open_pct,clv_pct,market_drift_pct,beat_open,beat_close,score,total_goals,result,stake_u,pnl_u
EFL,Stoke v Charlton,1X2,Charlton win,3.48,3.49,3.86,-0.29,-9.84,10.6,False,False,4-0,4,loss,1.0,-1.0
EFL,Millwall v Bolton,1X2,Bolton win,6.0,4.19,3.78,43.2,58.73,-9.79,True,True,4-0,4,loss,1.0,-1.0
EFL,Sheffield United v Norwich,1X2,Sheffield United win (+6 matrix),2.5,2.53,2.56,-1.19,-2.34,1.19,False,False,1-3,4,loss,1.5,-1.5
EFL,Swansea v Wrexham,1X2,Swansea win,2.5,2.17,2.24,15.21,11.61,3.23,True,True,0-0,0,loss,1.0,-1.0
EFL,Birmingham v Wolves,1X2,Birmingham win,2.99,2.87,2.85,4.18,4.91,-0.7,True,True,2-2,4,loss,1.0,-1.0
