home_team,away_team,venue,date
Fremantle Dockers,Sydney Swans,Optus Stadium,2026-07-09
Collingwood Magpies,North Melbourne Kangaroos,Marvel Stadium,2026-07-10
St Kilda Saints,Port Adelaide Power,Marvel Stadium,2026-07-11
Greater Western Sydney Giants,Geelong Cats,ENGIE Stadium,2026-07-11
Carlton Blues,Hawthorn Hawks,MCG,2026-07-11
Adelaide Crows,Gold Coast Suns,Adelaide Oval,2026-07-11
Western Bulldogs,West Coast Eagles,Marvel Stadium,2026-07-12
Melbourne Demons,Richmond Tigers,MCG,2026-07-12
Brisbane Lions,Essendon Bombers,The Gabba,2026-07-12
