home_team,away_team,venue,date
Fremantle Dockers,Geelong Cats,Optus Stadium,2026-06-18
Gold Coast Suns,Hawthorn Hawks,People First Stadium,2026-06-19
Adelaide Crows,Melbourne Demons,Adelaide Oval,2026-06-20
Greater Western Sydney Giants,Carlton Blues,ENGIE Stadium,2026-06-20
Collingwood Magpies,Port Adelaide Power,MCG,2026-06-20
Richmond Tigers,North Melbourne Kangaroos,MCG,2026-06-21
St Kilda Saints,Western Bulldogs,Marvel Stadium,2026-06-21
