season,round,week_ending,date,home_team,away_team,market,rules_model,ml_model,market_open,market_close,rules_vs_open,rules_vs_close,ml_vs_open,ml_vs_close,actual,rules_vs_actual,ml_vs_actual
2026,8,2026-05-05,2026-04-30,Collingwood Magpies,Hawthorn Hawks,h2h,44.0,87.4,28.6,18.7,+15.40,+25.30,+58.80,+68.70,0.5,+43.50,+86.90
2026,8,2026-05-05,2026-04-30,Collingwood Magpies,Hawthorn Hawks,handicap,-5.4,5.3,21.5,27.5,-26.90,-32.90,-16.20,-22.20,0.0,-5.40,+5.30
2026,8,2026-05-05,2026-04-30,Collingwood Magpies,Hawthorn Hawks,total,175.2,172.4,178.5,175.5,-3.30,-0.30,-6.10,-3.10,186.0,-10.80,-13.60
2026,8,2026-05-05,2026-05-01,Adelaide Crows,Port Adelaide Power,h2h,93.9,85.0,66.7,58.3,+27.20,+35.60,+18.30,+26.70,1.0,+92.90,+84.00
2026,8,2026-05-05,2026-05-01,Adelaide Crows,Port Adelaide Power,handicap,55.7,47.3,-11.5,-8.5,+67.20,+64.20,+58.80,+55.80,1.0,+54.70,+46.30
2026,8,2026-05-05,2026-05-01,Adelaide Crows,Port Adelaide Power,total,168.0,164.1,177.5,175.5,-9.50,-7.50,-13.40,-11.40,151.0,+17.00,+13.10
2026,8,2026-05-05,2026-05-01,Western Bulldogs,Fremantle Dockers,h2h,60.0,68.7,27.5,26.5,+32.50,+33.50,+41.20,+42.20,0.0,+60.00,+68.70
2026,8,2026-05-05,2026-05-01,Western Bulldogs,Fremantle Dockers,handicap,9.1,-5.8,20.5,19.5,-11.40,-10.40,-26.30,-25.30,-12.0,+21.10,+6.20
2026,8,2026-05-05,2026-05-01,Western Bulldogs,Fremantle Dockers,total,172.4,166.5,184.5,184.5,-12.10,-12.10,-18.00,-18.00,216.0,-43.60,-49.50
2026,8,2026-05-05,2026-05-02,Carlton Blues,St Kilda Saints,h2h,57.0,75.6,40.0,40.8,+17.00,+16.20,+35.60,+34.80,0.0,+57.00,+75.60
2026,8,2026-05-05,2026-05-02,Carlton Blues,St Kilda Saints,handicap,6.4,0.9,13.5,10.5,-7.10,-4.10,-12.60,-9.60,-39.0,+45.40,+39.90
2026,8,2026-05-05,2026-05-02,Carlton Blues,St Kilda Saints,total,170.9,154.2,180.5,183.5,-9.60,-12.60,-26.30,-29.30,177.0,-6.10,-22.80
2026,8,2026-05-05,2026-05-02,Essendon Bombers,Brisbane Lions,h2h,11.0,51.7,15.3,6.5,-4.30,+4.50,+36.40,+45.20,0.0,+11.00,+51.70
2026,8,2026-05-05,2026-05-02,Essendon Bombers,Brisbane Lions,handicap,-44.1,-14.5,44.5,47.5,-88.60,-91.60,-59.00,-62.00,-64.0,+19.90,+49.50
2026,8,2026-05-05,2026-05-02,Essendon Bombers,Brisbane Lions,total,178.8,161.8,183.5,191.5,-4.70,-12.70,-21.70,-29.70,222.0,-43.20,-60.20
2026,8,2026-05-05,2026-05-02,Geelong Cats,North Melbourne Kangaroos,h2h,95.8,81.6,76.5,76.2,+19.30,+19.60,+5.10,+5.40,1.0,+94.80,+80.60
2026,8,2026-05-05,2026-05-02,Geelong Cats,North Melbourne Kangaroos,handicap,62.3,41.5,,,,,,,49.0,+13.30,-7.50
2026,8,2026-05-05,2026-05-02,Geelong Cats,North Melbourne Kangaroos,total,188.2,158.2,190.5,216.5,-2.30,-28.30,-32.30,-58.30,221.0,-32.80,-62.80
2026,8,2026-05-05,2026-05-02,West Coast Eagles,Richmond Tigers,h2h,70.9,77.7,71.4,73.0,-0.50,-2.10,+6.30,+4.70,0.0,+70.90,+77.70
2026,8,2026-05-05,2026-05-02,West Coast Eagles,Richmond Tigers,handicap,19.9,22.0,-15.5,-19.5,+35.40,+39.40,+37.50,+41.50,-11.0,+30.90,+33.00
2026,8,2026-05-05,2026-05-02,West Coast Eagles,Richmond Tigers,total,136.9,167.8,185.5,183.5,-48.60,-46.60,-17.70,-15.70,187.0,-50.10,-19.20
2026,8,2026-05-05,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,h2h,69.8,78.0,69.2,58.3,+0.60,+11.50,+8.80,+19.70,1.0,+68.80,+77.00
2026,8,2026-05-05,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,handicap,-18.6,26.5,-20.5,-9.5,+1.90,-9.10,+47.00,+36.00,20.0,-38.60,+6.50
2026,8,2026-05-05,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,total,173.4,146.6,187.5,185.5,-14.10,-12.10,-40.90,-38.90,146.0,+27.40,+0.60
2026,8,2026-05-05,2026-05-03,Sydney Swans,Melbourne Demons,h2h,94.3,88.1,85.5,89.3,+8.80,+5.00,+2.60,-1.20,1.0,+93.30,+87.10
2026,8,2026-05-05,2026-05-03,Sydney Swans,Melbourne Demons,handicap,56.8,38.8,-31.5,-37.5,+88.30,+94.30,+70.30,+76.30,17.0,+39.80,+21.80
2026,8,2026-05-05,2026-05-03,Sydney Swans,Melbourne Demons,total,203.2,170.1,186.5,190.5,+16.70,+12.70,-16.40,-20.40,245.0,-41.80,-74.90
