home_team,away_team,venue,date
St Kilda Saints,Hawthorn Hawks,Marvel Stadium,2026-05-28
Carlton Blues,Geelong Cats,Marvel Stadium,2026-05-29
Sydney Swans,Richmond Tigers,SCG,2026-05-30
Brisbane Lions,Fremantle Dockers,The Gabba,2026-05-30
Western Bulldogs,Collingwood Magpies,Marvel Stadium,2026-05-30
Melbourne Demons,Greater Western Sydney Giants,MCG,2026-05-31
West Coast Eagles,Essendon Bombers,Optus Stadium,2026-05-31
