model,season,games,accuracy,log_loss,brier
legacy_primary,2023,216,0.6296296296296297,0.6896541269475291,0.2347821146249771
current_shadow,2023,216,0.6388888888888888,0.6505693305144483,0.22303293645381927
legacy_primary,2024,216,0.6435185185185185,0.6628317049947902,0.23307283222675323
current_shadow,2024,216,0.5879629629629629,0.6522267379623516,0.23026561737060547
legacy_primary,2025,216,0.6712962962962963,0.5823104833974542,0.19932276010513306
current_shadow,2025,216,0.6759259259259259,0.6325661837012725,0.21343357861042023
