fotmob_match_id,date,home_team,away_team,home_formation,away_formation,home_possession,away_possession,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_accurate_crosses,away_accurate_crosses,home_touches_opp_box,away_touches_opp_box,home_final_third_passes,away_final_third_passes,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_starter_count,home_starter_rating_mean,home_lineup_source,away_starter_count,away_starter_rating_mean,away_lineup_source,season
3900951,2022-08-13,Wolves,Fulham,4-2-3-1,4-2-3-1,60.0,40.0,0.89,1.49,7.0,9.0,1.0,3.0,1.0,1.0,4.0,8.0,4 (21%),5 (23%),17.0,14.0,,,5.0,3.0,7.0,14.0,3.0,3.0,11,7.09,,11,6.949090909090909,,2022/23
3900946,2022-08-14,Chelsea,Tottenham,3-4-2-1,3-4-2-1,64.0,36.0,1.58,1.01,16.0,10.0,3.0,5.0,7.0,3.0,11.0,8.0,4 (17%),3 (25%),,,,,8.0,5.0,9.0,9.0,3.0,0.0,11,7.286363636363637,,11,6.947272727272727,,2022/23
3900949,2022-08-14,Nott'm Forest,West Ham,3-4-1-2,4-2-3-1,43.0,57.0,1.36,2.26,13.0,19.0,6.0,5.0,3.0,6.0,10.0,10.0,4 (20%),5 (19%),,,,,6.0,7.0,10.0,11.0,4.0,1.0,11,7.1827272727272735,,11,6.824545454545454,,2022/23
3900947,2022-08-15,Liverpool,Crystal Palace,4-3-3,5-4-1,73.0,27.0,2.07,1.04,24.0,7.0,4.0,3.0,10.0,0.0,16.0,5.0,7 (24%),2 (22%),,,,,4.0,2.0,7.0,8.0,2.0,4.0,11,7.236363636363635,,11,7.217272727272728,,2022/23
3900952,2022-08-20,Bournemouth,Arsenal,3-1-4-2,4-2-3-1,42.0,58.0,0.28,1.32,6.0,14.0,1.0,6.0,0.0,4.0,4.0,11.0,5 (38%),5 (31%),,,,,3.0,4.0,12.0,10.0,2.0,1.0,11,6.073636363636364,,11,7.79,,2022/23
3900953,2022-08-20,Crystal Palace,Aston Villa,4-3-3,4-3-3,51.0,49.0,2.69,0.9,17.0,13.0,9.0,5.0,3.0,2.0,15.0,11.0,4 (40%),6 (35%),,,,,4.0,2.0,16.0,14.0,2.0,1.0,11,7.244545454545454,,11,6.655454545454546,,2022/23
3900954,2022-08-20,Everton,Nott'm Forest,3-4-2-1,3-4-1-2,48.0,52.0,1.51,0.99,19.0,14.0,8.0,5.0,5.0,3.0,9.0,7.0,1 (6%),3 (20%),,,,,6.0,2.0,6.0,9.0,3.0,2.0,11,7.219090909090909,,11,7.096363636363637,,2022/23
3900955,2022-08-20,Fulham,Brentford,4-2-3-1,4-3-3,44.0,56.0,2.54,1.8,18.0,13.0,9.0,5.0,5.0,4.0,13.0,11.0,9 (43%),4 (36%),,,,,6.0,3.0,13.0,7.0,3.0,2.0,11,7.08909090909091,,11,6.750909090909091,,2022/23
3900957,2022-08-20,Leicester,Southampton,4-3-3,4-2-3-1,62.0,38.0,0.29,0.92,6.0,9.0,1.0,3.0,2.0,1.0,4.0,6.0,2 (14%),7 (39%),,,,,2.0,5.0,11.0,15.0,2.0,3.0,11,6.456363636363636,,11,7.342727272727273,,2022/23
3900960,2022-08-20,Tottenham,Wolves,3-4-2-1,5-3-2,50.0,50.0,1.67,0.71,11.0,20.0,4.0,3.0,2.0,9.0,10.0,7.0,6 (27%),7 (37%),,,,,8.0,6.0,10.0,8.0,2.0,2.0,11,7.344545454545455,,11,6.8963636363636365,,2022/23
3900956,2022-08-21,Leeds,Chelsea,4-2-3-1,3-4-1-2,39.0,61.0,2.22,0.88,12.0,14.0,6.0,3.0,2.0,7.0,9.0,9.0,3 (25%),5 (25%),15.0,31.0,,,4.0,6.0,16.0,15.0,0.0,1.0,11,7.720909090909092,,11,6.335454545454545,,2022/23
3900959,2022-08-21,Newcastle,Man City,4-3-3,4-3-3,31.0,69.0,1.81,2.11,12.0,21.0,6.0,10.0,2.0,7.0,10.0,14.0,6 (50%),5 (25%),,,,,5.0,5.0,14.0,7.0,4.0,2.0,11,7.187272727272728,,11,7.296363636363637,,2022/23
3900961,2022-08-21,West Ham,Brighton,4-2-3-1,3-4-2-1,50.0,50.0,0.89,1.71,13.0,11.0,3.0,2.0,7.0,4.0,8.0,9.0,7 (28%),5 (31%),,,,,5.0,4.0,10.0,7.0,2.0,0.0,11,6.54909090909091,,11,7.487272727272727,,2022/23
3900958,2022-08-22,Man United,Liverpool,4-2-3-1,4-3-3,30.0,70.0,1.79,1.35,13.0,17.0,5.0,5.0,4.0,5.0,8.0,15.0,1 (14%),6 (26%),,,,,6.0,8.0,11.0,7.0,3.0,1.0,11,7.525454545454545,,11,6.757272727272727,,2022/23
3900962,2022-08-27,Arsenal,Fulham,4-2-3-1,4-2-3-1,72.0,28.0,2.73,0.83,22.0,11.0,8.0,3.0,10.0,2.0,16.0,9.0,5 (26%),7 (64%),52.0,14.0,,,9.0,2.0,6.0,12.0,2.0,3.0,11,7.443636363636363,,11,6.713636363636363,,2022/23
3900964,2022-08-27,Brentford,Everton,4-3-3,3-4-3,58.0,42.0,2.15,1.07,20.0,14.0,5.0,7.0,5.0,5.0,14.0,8.0,7 (23%),3 (23%),,,,,8.0,5.0,8.0,8.0,2.0,2.0,11,6.928181818181819,,11,7.266363636363637,,2022/23
3900965,2022-08-27,Brighton,Leeds,3-5-1-1,4-2-3-1,43.0,57.0,2.02,1.84,13.0,10.0,4.0,2.0,1.0,5.0,11.0,7.0,5 (42%),2 (17%),,,,,5.0,3.0,10.0,14.0,2.0,3.0,11,7.285454545454545,,11,6.742727272727273,,2022/23
3900966,2022-08-27,Chelsea,Leicester,4-2-2-2,4-1-4-1,45.0,55.0,1.75,2.52,7.0,17.0,4.0,5.0,2.0,5.0,5.0,11.0,3 (25%),5 (15%),,,,,3.0,11.0,10.0,7.0,1.0,2.0,11,7.375454545454545,,11,6.803636363636364,,2022/23
3900967,2022-08-27,Liverpool,Bournemouth,4-3-3,4-2-3-1,69.0,31.0,3.32,0.33,19.0,5.0,12.0,2.0,1.0,1.0,16.0,3.0,11 (55%),2 (40%),,,,,8.0,1.0,6.0,5.0,0.0,1.0,11,8.184545454545455,,11,5.235454545454545,,2022/23
3900968,2022-08-27,Man City,Crystal Palace,4-3-3,5-4-1,74.0,26.0,2.42,0.12,18.0,2.0,5.0,2.0,4.0,0.0,14.0,1.0,12 (41%),1 (20%),,,,,6.0,1.0,14.0,8.0,1.0,2.0,11,7.569090909090908,,11,5.965454545454546,,2022/23
3900970,2022-08-27,Southampton,Man United,4-2-3-1,4-2-3-1,48.0,52.0,1.45,1.4,17.0,11.0,5.0,6.0,2.0,3.0,14.0,9.0,9 (33%),4 (33%),,,,,5.0,3.0,4.0,14.0,0.0,3.0,11,7.048181818181818,,11,7.516363636363637,,2022/23
3900963,2022-08-28,Aston Villa,West Ham,4-3-1-2,3-4-2-1,58.0,42.0,0.49,0.56,9.0,7.0,3.0,2.0,2.0,2.0,5.0,1.0,6 (23%),3 (16%),,,,,3.0,2.0,10.0,10.0,2.0,0.0,11,6.712727272727273,,11,7.173636363636363,,2022/23
3900969,2022-08-28,Nott'm Forest,Tottenham,3-4-2-1,3-4-2-1,55.0,45.0,0.95,2.4,17.0,18.0,1.0,7.0,7.0,4.0,9.0,11.0,5 (21%),4 (40%),,,,,6.0,1.0,11.0,13.0,6.0,1.0,11,7.012727272727273,,11,7.491818181818181,,2022/23
3900971,2022-08-28,Wolves,Newcastle,4-3-3,4-3-3,36.0,64.0,0.71,1.77,10.0,21.0,4.0,6.0,4.0,11.0,5.0,11.0,4 (29%),9 (26%),,,,,4.0,13.0,10.0,11.0,2.0,1.0,11,7.093636363636364,,11,7.060909090909092,,2022/23
3900978,2022-08-30,Crystal Palace,Brentford,4-3-3,4-3-3,49.0,51.0,0.98,1.43,13.0,9.0,4.0,3.0,3.0,1.0,7.0,8.0,2 (20%),4 (18%),,,,,4.0,6.0,11.0,8.0,1.0,2.0,11,7.271818181818182,,11,6.874545454545455,,2022/23
3900974,2022-08-30,Fulham,Brighton,4-2-3-1,5-3-2,39.0,61.0,0.68,1.42,10.0,7.0,3.0,4.0,0.0,0.0,7.0,6.0,2 (25%),3 (18%),,,,,3.0,3.0,9.0,11.0,2.0,1.0,11,7.395454545454545,,11,6.468181818181819,,2022/23
3900975,2022-08-30,Leeds,Everton,4-2-3-1,4-3-3,69.0,31.0,1.01,1.0,14.0,7.0,5.0,2.0,1.0,3.0,10.0,3.0,7 (23%),1 (33%),30.0,10.0,,,10.0,2.0,10.0,9.0,3.0,3.0,11,7.256363636363637,,11,7.048181818181818,,2022/23
3900979,2022-08-30,Southampton,Chelsea,4-2-3-1,4-3-3,32.0,68.0,1.1,1.1,9.0,10.0,7.0,4.0,2.0,4.0,4.0,8.0,2 (13%),4 (24%),,,,,5.0,3.0,15.0,10.0,2.0,1.0,11,7.404545454545455,,11,6.814545454545454,,2022/23
3900972,2022-08-31,Arsenal,Aston Villa,4-2-3-1,4-3-3,59.0,41.0,2.56,0.45,22.0,4.0,9.0,3.0,7.0,0.0,14.0,3.0,3 (15%),2 (13%),,,,,10.0,3.0,10.0,14.0,2.0,3.0,11,7.408181818181817,,11,6.552727272727273,,2022/23
3900973,2022-08-31,Bournemouth,Wolves,4-2-3-1,4-3-3,34.0,66.0,0.42,1.51,5.0,17.0,2.0,4.0,1.0,4.0,4.0,11.0,3 (43%),7 (26%),,,,,2.0,5.0,12.0,12.0,2.0,1.0,11,7.106363636363636,,11,7.264545454545455,,2022/23
3900980,2022-08-31,Liverpool,Newcastle,4-3-3,4-3-3,72.0,28.0,1.5,0.72,23.0,5.0,6.0,2.0,9.0,0.0,16.0,2.0,10 (24%),2 (29%),,,,,13.0,0.0,9.0,10.0,0.0,2.0,11,7.312727272727272,,11,6.98,,2022/23
3900981,2022-08-31,Man City,Nott'm Forest,4-3-3,5-3-2,75.0,25.0,3.32,0.66,17.0,8.0,9.0,1.0,2.0,3.0,12.0,4.0,4 (15%),3 (43%),,,,,10.0,1.0,9.0,7.0,0.0,1.0,11,7.962727272727273,,11,5.490909090909091,,2022/23
3900977,2022-08-31,West Ham,Tottenham,4-2-3-1,3-4-3,38.0,62.0,1.24,0.63,14.0,12.0,4.0,3.0,2.0,7.0,9.0,8.0,3 (13%),6 (33%),,,,,3.0,4.0,10.0,10.0,2.0,5.0,11,7.081818181818182,,11,6.729090909090909,,2022/23
3900976,2022-09-01,Leicester,Man United,4-1-4-1,4-2-3-1,54.0,46.0,0.73,1.55,10.0,9.0,2.0,2.0,3.0,2.0,2.0,7.0,1 (8%),1 (8%),,,,,1.0,3.0,7.0,15.0,1.0,3.0,11,6.925454545454546,,11,7.33909090909091,,2022/23
3900982,2022-09-03,Aston Villa,Man City,4-3-1-2,4-3-3,28.0,72.0,0.34,2.1,3.0,13.0,1.0,4.0,1.0,4.0,2.0,8.0,0 (0%),4 (29%),,,,,1.0,4.0,7.0,6.0,2.0,0.0,11,6.54,,11,7.138181818181818,,2022/23
3900983,2022-09-03,Brentford,Leeds,4-3-3,4-2-3-1,31.0,69.0,2.43,1.92,14.0,17.0,8.0,6.0,1.0,4.0,10.0,9.0,3 (38%),5 (26%),,,,,2.0,6.0,8.0,9.0,2.0,2.0,11,7.340909090909091,,11,6.1890909090909085,,2022/23
3900985,2022-09-03,Chelsea,West Ham,5-3-2,4-2-3-1,68.0,32.0,0.87,1.1,8.0,6.0,3.0,3.0,3.0,1.0,5.0,3.0,2 (9%),2 (17%),,,,,10.0,3.0,6.0,11.0,4.0,2.0,11,7.224545454545455,,11,6.572727272727272,,2022/23
3900986,2022-09-03,Everton,Liverpool,4-3-3,4-3-3,39.0,61.0,1.72,2.19,14.0,23.0,3.0,8.0,5.0,6.0,11.0,20.0,3 (20%),11 (38%),,,,,7.0,9.0,7.0,11.0,2.0,2.0,11,7.178181818181818,,11,7.046363636363637,,2022/23
3900988,2022-09-03,Newcastle,Crystal Palace,4-3-3,4-3-3,52.0,48.0,2.83,1.01,23.0,19.0,6.0,9.0,10.0,6.0,20.0,8.0,11 (31%),3 (25%),,,,,13.0,5.0,19.0,12.0,2.0,2.0,11,7.058181818181819,,11,7.417272727272728,,2022/23
3900989,2022-09-03,Nott'm Forest,Bournemouth,3-4-3,4-4-2,53.0,47.0,1.9,0.78,11.0,8.0,3.0,3.0,5.0,3.0,8.0,6.0,5 (19%),2 (10%),,,,,4.0,6.0,13.0,10.0,2.0,1.0,11,6.537272727272727,,11,7.232727272727273,,2022/23
3900990,2022-09-03,Tottenham,Fulham,3-4-2-1,4-2-3-1,52.0,48.0,2.98,0.73,23.0,9.0,10.0,3.0,6.0,1.0,17.0,6.0,7 (33%),2 (10%),,,,,10.0,3.0,9.0,6.0,3.0,4.0,11,7.697272727272727,,11,6.7,,2022/23
3900991,2022-09-03,Wolves,Southampton,4-3-3,4-2-3-1,51.0,49.0,0.8,1.2,7.0,12.0,2.0,1.0,1.0,4.0,6.0,7.0,2 (13%),5 (19%),,,,,5.0,6.0,10.0,14.0,4.0,2.0,11,7.463636363636363,,11,6.874545454545455,,2022/23
3900984,2022-09-04,Brighton,Leicester,3-5-1-1,4-1-2-1-2,54.0,46.0,2.76,1.45,23.0,6.0,11.0,4.0,7.0,1.0,12.0,5.0,6 (24%),2 (29%),,,,,10.0,1.0,6.0,8.0,1.0,1.0,11,7.586363636363637,,11,6.16,,2022/23
3900987,2022-09-04,Man United,Arsenal,4-2-3-1,4-2-3-1,40.0,60.0,1.55,1.32,10.0,16.0,6.0,3.0,1.0,5.0,7.0,9.0,3 (50%),4 (25%),,,,,2.0,5.0,13.0,9.0,3.0,3.0,11,7.395454545454545,,11,6.51,,2022/23
3901002,2022-09-16,Aston Villa,Southampton,4-3-2-1,4-2-3-1,53.0,47.0,1.5,0.34,11.0,7.0,3.0,1.0,5.0,3.0,6.0,3.0,5 (25%),2 (13%),,,,,6.0,3.0,13.0,13.0,3.0,1.0,11,7.0627272727272725,,11,6.614545454545455,,2022/23
3901009,2022-09-16,Nott'm Forest,Fulham,3-4-1-2,4-2-3-1,41.0,59.0,1.41,0.94,11.0,15.0,3.0,7.0,3.0,5.0,7.0,10.0,3 (21%),7 (32%),10.0,21.0,,,2.0,10.0,11.0,10.0,2.0,4.0,11,6.381818181818182,,11,7.420000000000001,,2022/23
3901008,2022-09-17,Newcastle,Bournemouth,4-3-3,4-2-3-1,72.0,28.0,1.92,0.75,20.0,10.0,7.0,3.0,5.0,2.0,13.0,5.0,7 (21%),0 (0%),,,,,8.0,1.0,10.0,11.0,2.0,2.0,11,7.075454545454545,,11,7.352727272727273,,2022/23
3901010,2022-09-17,Tottenham,Leicester,3-4-2-1,4-1-4-1,44.0,56.0,2.19,1.77,16.0,19.0,11.0,7.0,3.0,5.0,10.0,8.0,5 (31%),3 (27%),,,,,6.0,1.0,9.0,9.0,1.0,2.0,11,7.633636363636364,,11,6.111818181818182,,2022/23
3901011,2022-09-17,Wolves,Man City,4-3-3,4-3-3,41.0,59.0,0.41,1.06,6.0,16.0,1.0,7.0,1.0,4.0,3.0,6.0,2 (20%),4 (33%),,,,,5.0,7.0,7.0,9.0,2.0,1.0,11,6.002727272727273,,11,7.871818181818182,,2022/23
3901003,2022-09-18,Brentford,Arsenal,5-3-2,4-2-3-1,36.0,64.0,0.53,1.52,5.0,13.0,2.0,7.0,0.0,2.0,4.0,8.0,6 (33%),1 (11%),,,,,3.0,3.0,10.0,10.0,0.0,2.0,11,6.342727272727273,,11,7.822727272727272,,2022/23
3901006,2022-09-18,Everton,West Ham,4-3-3,4-2-3-1,54.0,46.0,0.36,1.04,7.0,14.0,2.0,4.0,1.0,7.0,3.0,12.0,4 (18%),7 (21%),,,,,5.0,14.0,8.0,11.0,3.0,1.0,11,7.548181818181818,,11,6.6054545454545455,,2022/23
3901012,2022-10-01,Arsenal,Tottenham,4-2-3-1,3-4-2-1,65.0,35.0,2.38,1.57,22.0,7.0,9.0,3.0,4.0,2.0,11.0,4.0,7 (28%),2 (18%),42.0,13.0,,,5.0,2.0,10.0,10.0,2.0,1.0,11,7.909090909090909,enetpulse,11,6.154545454545455,enetpulse,2022/23
3901013,2022-10-01,Bournemouth,Brentford,4-4-2,4-3-3,42.0,58.0,0.38,0.87,7.0,13.0,1.0,4.0,2.0,4.0,5.0,10.0,4 (20%),6 (33%),12.0,22.0,,,7.0,8.0,11.0,10.0,1.0,2.0,11,6.990909090909091,enetpulse,11,7.090909090909091,enetpulse,2022/23
3901014,2022-10-01,Crystal Palace,Chelsea,4-3-3,4-4-2,36.0,64.0,0.44,1.14,7.0,13.0,3.0,3.0,0.0,3.0,4.0,10.0,2 (18%),4 (44%),14.0,30.0,,,5.0,2.0,11.0,13.0,1.0,3.0,11,6.718181818181819,enetpulse,11,7.336363636363637,enetpulse,2022/23
3901015,2022-10-01,Fulham,Newcastle,4-2-3-1,4-3-3,32.0,68.0,0.47,3.55,3.0,19.0,1.0,10.0,1.0,5.0,2.0,16.0,2 (25%),4 (24%),8.0,51.0,,,1.0,8.0,9.0,10.0,2.0,0.0,11,5.86,enetpulse,11,7.809090909090909,enetpulse,2022/23
3901018,2022-10-01,Liverpool,Brighton,4-3-3,3-5-2,54.0,46.0,1.47,1.37,15.0,6.0,7.0,6.0,2.0,0.0,12.0,6.0,3 (12%),3 (23%),45.0,23.0,,,9.0,2.0,9.0,13.0,1.0,1.0,11,6.790909090909091,enetpulse,11,7.0,enetpulse,2022/23
3901020,2022-10-01,Southampton,Everton,4-4-2,4-3-3,54.0,46.0,1.75,1.96,22.0,12.0,6.0,5.0,7.0,3.0,15.0,6.0,9 (33%),7 (37%),39.0,25.0,,,7.0,6.0,11.0,10.0,2.0,2.0,11,6.6909090909090905,enetpulse,11,7.545454545454546,enetpulse,2022/23
3901021,2022-10-01,West Ham,Wolves,4-2-3-1,3-4-3,39.0,61.0,0.92,0.74,18.0,15.0,5.0,4.0,8.0,4.0,10.0,5.0,2 (29%),4 (14%),20.0,35.0,,,1.0,6.0,8.0,6.0,2.0,2.0,11,7.536363636363637,enetpulse,11,6.445454545454544,enetpulse,2022/23
3901016,2022-10-02,Leeds,Aston Villa,4-2-3-1,4-3-3,44.0,56.0,0.37,2.25,6.0,19.0,1.0,7.0,3.0,4.0,4.0,12.0,2 (20%),5 (23%),16.0,30.0,,,2.0,9.0,23.0,12.0,3.0,2.0,11,6.745454545454546,enetpulse,11,7.327272727272727,enetpulse,2022/23
3901019,2022-10-02,Man City,Man United,4-3-3,4-2-3-1,54.0,46.0,3.3,1.67,22.0,12.0,10.0,8.0,6.0,3.0,17.0,6.0,7 (70%),0 (0%),49.0,14.0,,,5.0,1.0,3.0,9.0,0.0,3.0,11,7.763636363636365,enetpulse,11,5.590909090909091,enetpulse,2022/23
3901017,2022-10-03,Leicester,Nott'm Forest,4-1-4-1,4-2-3-1,52.0,48.0,1.32,1.16,17.0,10.0,7.0,3.0,3.0,2.0,10.0,8.0,4 (24%),4 (31%),23.0,15.0,,,6.0,6.0,13.0,12.0,2.0,4.0,11,7.590909090909091,enetpulse,11,5.9,enetpulse,2022/23
3901023,2022-10-08,Bournemouth,Leicester,4-3-3,4-3-3,44.0,56.0,1.14,1.08,10.0,9.0,4.0,5.0,4.0,2.0,8.0,8.0,3 (14%),2 (20%),26.0,25.0,,,7.0,2.0,8.0,16.0,1.0,2.0,11,7.227272727272727,enetpulse,11,6.854545454545455,enetpulse,2022/23
