season,season_year,date,home_team,away_team,venue,is_final,split,home_elo,away_elo,elo_diff,elo_win_prob,home_rest_days,away_rest_days,rest_diff,home_travel_km,away_travel_km,travel_diff_km,home_win_pct,home_avg_margin,home_last_margin,home_form_games,home_off_big_win,home_off_big_loss,home_win_streak,home_loss_streak,away_win_pct,away_avg_margin,away_last_margin,away_form_games,away_off_big_win,away_off_big_loss,away_win_streak,away_loss_streak,home_ema_win_pct,home_ema_margin,home_opp_adj_margin,away_ema_win_pct,away_ema_margin,away_opp_adj_margin,ema_margin_diff,opp_adj_margin_diff,form_win_pct_diff,form_margin_diff,venue_games,venue_avg_total,venue_home_win_pct,h2h_home_open,h2h_away_open,h2h_home_close,h2h_away_close,mkt_home_prob_open,home_line_open,home_line_close,total_open,total_close,home_score,away_score,home_margin,total_score,home_win
2009,2009,2009-07-04,Western Bulldogs,Hawthorn Hawks,Marvel Stadium,0,train,1544.36,1470.37,73.99,0.69,6,7,-1,1.4,1.4,0.0,1.0,22.0,22,1,0,0,1,0,0.0,-20.0,-20,1,0,0,0,1,1.0,22.0,22.0,0.0,-20.0,-20.0,42.0,42.0,1.0,42.0,2,171.0,1.0,,,,,,,,,,133,45,88,178,1
2009,2009,2009-07-04,Richmond Tigers,Adelaide Crows,People First Stadium,0,train,1460.66,1523.46,-62.81,0.5032,6,7,-1,1343.8,1598.0,-254.2,0.0,-56.0,-56,1,0,1,0,1,1.0,16.0,16,1,0,0,1,0,0.0,-56.0,-56.0,1.0,16.0,15.52,-72.0,-71.52,-1.0,-72.0,0,,,,,,,,,,,,85,102,-17,187,0
2009,2009,2009-07-05,Sydney Swans,North Melbourne Kangaroos,SCG,0,train,1431.57,1455.64,-24.07,0.5586,8,7,1,2.9,712.9,-710.0,0.0,-19.5,-16,2,0,0,0,2,0.0,-22.0,-22,1,0,0,0,1,0.0,-19.0,-19.0,0.0,-22.0,-22.0,3.0,3.0,0.0,2.5,0,,,,,,,,,,,,100,85,15,185,1
2009,2009,2009-07-05,Fremantle Dockers,Carlton Blues,Domain Stadium,0,train,1426.45,1463.87,-37.42,0.5396,8,9,-1,2.4,2723.7,-2721.3,0.0,-51.5,-84,2,0,1,0,2,0.0,-69.0,-69,1,0,1,0,1,0.0,-56.14,-57.58,0.0,-69.0,-70.74,12.86,13.16,0.0,17.5,2,181.5,0.5,,,,,,,,,,100,115,-15,215,0
2009,2009,2009-07-05,St Kilda Saints,Geelong Cats,Marvel Stadium,0,train,1539.34,1572.11,-32.77,0.5463,7,7,0,1.4,63.3,-61.9,1.0,56.0,56,1,1,0,1,0,1.0,26.5,34,2,0,0,2,0,1.0,56.0,56.0,1.0,27.57,27.57,28.43,28.43,0.0,29.5,3,173.3,1.0,,,,,,,,,,91,85,6,176,1
2009,2009,2009-07-10,Western Bulldogs,Collingwood Magpies,Marvel Stadium,0,train,1577.59,1610.75,-33.16,0.5457,6,7,-1,1.4,1.4,0.0,1.0,55.0,88,2,1,0,2,0,1.0,47.33,35,3,0,0,3,0,1.0,59.71,58.72,1.0,47.97,47.95,11.74,10.77,0.0,7.67,4,174.0,1.0,,,,,,,,,,110,111,-1,221,0
2009,2009,2009-07-11,Carlton Blues,Richmond Tigers,MCG,0,train,1499.6,1425.93,73.67,0.6896,6,7,-1,1.9,1.9,0.0,0.5,-27.0,15,2,0,0,1,0,0.0,-36.5,-17,2,0,0,0,2,0.571,-21.0,-22.17,0.0,-33.71,-33.87,12.71,11.7,0.5,9.5,5,204.8,0.8,,,,,,,,,,109,89,20,198,1
2009,2009,2009-07-11,Sydney Swans,Essendon Bombers,SCG,0,train,1460.8,1539.38,-78.59,0.4805,6,8,-2,2.9,712.9,-710.0,0.333,-8.0,15,3,0,0,1,0,0.667,27.33,-35,3,0,0,0,1,0.432,-4.3,-4.49,0.568,18.92,18.15,-23.22,-22.64,-0.333,-35.33,1,185.0,1.0,,,,,,,,,,72,107,-35,179,0
2009,2009,2009-07-11,Adelaide Crows,Fremantle Dockers,AAMI Stadium,0,train,1558.19,1390.72,167.47,0.7922,7,6,1,10.1,2121.8,-2111.8,1.0,16.5,17,2,0,0,2,0,0.0,-39.33,-15,3,0,0,0,3,1.0,16.57,16.11,0.0,-38.35,-39.01,54.92,55.12,1.0,55.83,2,181.0,1.0,,,,,,,,,,130,13,117,143,1
2009,2009,2009-07-11,Brisbane Lions,Geelong Cats,Gabba,0,train,1487.9,1551.03,-63.13,0.5027,7,6,1,2.2,1434.9,-1432.7,0.5,3.5,-48,2,0,1,0,1,0.667,15.67,-6,3,0,0,0,1,0.429,-3.86,-3.91,0.568,13.05,12.99,-16.91,-16.89,-0.167,-12.17,1,167.0,1.0,,,,,,,,,,108,65,43,173,1
