round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
8,2026-04-30,Magpies v Hawks,Magpies,home,0.875,0.22651933701657456,0.6484806629834254,4.2,2.6750000000000003,D,1.1
8,2026-04-30,Magpies v Hawks,Hawks,away,0.125,0.7734806629834253,-0.6484806629834253,1.23,-0.84625,D,-0.385
8,2026-05-01,Bulldogs v Dockers,Bulldogs,home,0.687,0.30155210643015523,0.3854478935698448,3.15,1.16405,L,-1.0
8,2026-05-01,Bulldogs v Dockers,Dockers,away,0.31299999999999994,0.6984478935698448,-0.3854478935698449,1.36,-0.57432,W,0.3600000000000001
8,2026-05-01,Crows v Power,Crows,home,0.85,0.6030150753768844,0.2469849246231156,1.58,0.34299999999999997,W,0.5800000000000001
8,2026-05-01,Crows v Power,Power,away,0.15000000000000002,0.39698492462311563,-0.2469849246231156,2.4,-0.6399999999999999,L,-1.0
8,2026-05-02,Bombers v Lions,Bombers,home,0.517,0.11180773249738768,0.40519226750261234,8.5,3.3945,L,-1.0
8,2026-05-02,Bombers v Lions,Lions,away,0.483,0.8881922675026124,-0.4051922675026124,1.07,-0.48319,W,0.07000000000000006
8,2026-05-02,Eagles v Tigers,Eagles,home,0.777,0.6900452488687784,0.08695475113122164,1.37,0.06449000000000016,L,-1.0
8,2026-05-02,Eagles v Tigers,Tigers,away,0.22299999999999998,0.3099547511312218,-0.08695475113122181,3.05,-0.3198500000000001,W,2.05
8,2026-05-02,Cats v Kangaroos,Cats,home,0.8170000000000001,0.7734806629834253,0.04351933701657473,1.23,0.00490999999999997,W,0.22999999999999998
8,2026-05-02,Cats v Kangaroos,Kangaroos,away,0.18299999999999994,0.22651933701657456,-0.04351933701657462,4.2,-0.23140000000000027,L,-1.0
8,2026-05-02,Blues v Saints,Blues,home,0.757,0.38596491228070173,0.3710350877192983,2.45,0.8546500000000001,L,-1.0
