game_id,season,week,gameday,home_team,away_team,home_score,away_score,schedule_away_spread,total_line,home_rest,away_rest,roof,surface,div_game,spread_line,home_games_in_ewma,home_off_epa,home_off_pass_epa,home_off_rush_epa,home_off_success_rate,home_off_pass_success,home_off_rush_success,home_off_early_down_epa,home_off_explosive_rate,home_off_sack_rate,home_def_epa,home_def_pass_epa,home_def_rush_epa,home_def_success_rate,home_def_pass_success,home_def_rush_success,home_def_early_down_epa,home_def_explosive_rate,home_def_sack_rate,away_games_in_ewma,away_off_epa,away_off_pass_epa,away_off_rush_epa,away_off_success_rate,away_off_pass_success,away_off_rush_success,away_off_early_down_epa,away_off_explosive_rate,away_off_sack_rate,away_def_epa,away_def_pass_epa,away_def_rush_epa,away_def_success_rate,away_def_pass_success,away_def_rush_success,away_def_early_down_epa,away_def_explosive_rate,away_def_sack_rate,margin,total,stats_through_week,feature_timing_rule,dynamic_kickoff_rule,onside_anytime_when_trailing,kickoff_touchback_to_35,regular_season_ot_both_possess,onside_2026_alignment_rule,diff_off_epa,diff_off_pass_epa,diff_off_rush_epa,diff_off_success_rate,diff_off_pass_success,diff_off_rush_success,diff_off_early_down_epa,diff_off_explosive_rate,diff_off_sack_rate,diff_def_epa,diff_def_pass_epa,diff_def_rush_epa,diff_def_success_rate,diff_def_pass_success,diff_def_rush_success,diff_def_early_down_epa,diff_def_explosive_rate,diff_def_sack_rate,h2h_home_close,h2h_away_close,spread_home_close,total_line_close,spread_home_open,total_line_open,h2h_home_open,h2h_away_open
2014_01_MIN_STL,2014,1,2014-09-07,STL,MIN,6.0,34.0,3.0,43.5,7,7,dome,astroplay,0,-3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,40.0,0,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.645,2.4,-3.0,43.5,-4.0,44.0,1.495,2.81
2014_01_SF_DAL,2014,1,2014-09-07,DAL,SF,17.0,28.0,-3.5,49.0,7,7,closed,matrixturf,0,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,45.0,0,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,1.649,3.5,49.0,5.0,51.0,3.1,1.425
2014_01_CAR_TB,2014,1,2014-09-07,TB,CAR,14.0,20.0,5.5,38.5,7,7,outdoors,grass,1,-5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,34.0,0,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.444,3.01,-5.5,38.5,-1.0,39.5,1.826,2.1
2014_01_IND_DEN,2014,1,2014-09-07,DEN,IND,31.0,24.0,8.0,52.5,7,7,outdoors,grass,0,-8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,0,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.263,4.3,-8.0,52.5,-7.0,55.0,1.322,3.73
2014_01_NYG_DET,2014,1,2014-09-08,DET,NYG,35.0,14.0,6.5,45.0,7,7,dome,fieldturf,0,-6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,49.0,0,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.367,3.41,-6.5,45.0,-4.5,46.5,1.48,2.86
2014_01_SD_ARI,2014,1,2014-09-08,ARI,SD,18.0,17.0,3.0,45.5,7,7,closed,grass,0,-3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.649,2.39,-3.0,45.5,-3.5,44.5,1.606,2.49
2014_02_PIT_BAL,2014,2,2014-09-11,BAL,PIT,26.0,6.0,2.5,44.0,4,4,outdoors,sportturf,1,-2.5,1,-0.006298125141053364,-0.008176531371012895,-0.00048401061975005726,0.04693892359078426,0.043640512743864296,0.057148290497917524,-0.014191595071192315,0.0038058586695230486,0.0038058586695230486,0.011020818558936041,0.031478288543221364,-0.022222570165527616,0.04675769222556888,0.0531519065470142,0.03636709395322024,0.020568654438071706,0.0069270655148990935,0.0,1,0.01803696977971786,0.04002881209420291,-0.008504908875695142,0.05284593340077316,0.06546076911579643,0.03762113167574508,0.021874799627364053,0.01363766023245759,0.0051141225871715965,0.019784569437449266,0.014175822738673495,0.025755170761952505,0.04773181081360157,0.04628539230409849,0.04927154664629839,0.026480488262695265,0.010228245174343193,0.0051141225871715965,20.0,32.0,1,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,-0.024335094920771225,-0.04820534346521581,0.008020898255945085,-0.0059070098099889,-0.021820256371932134,0.019527158822172444,-0.03606639469855637,-0.009831801562934542,-0.001308263917648548,-0.008763750878513225,0.01730246580454787,-0.047977740927480125,-0.000974118588032688,0.0068665142429157056,-0.012904452693078147,-0.005911833824623559,-0.0033011796594440996,-0.0051141225871715965,1.666,2.36,-2.5,44.0,-3.0,43.5,1.751,2.2
2014_02_MIA_BUF,2014,2,2014-09-14,BUF,MIA,29.0,10.0,1.0,43.0,7,7,outdoors,a_turf,1,-1.0,1,0.009463010164061092,0.0017484967469535411,0.015186681409011854,0.048489458604293656,0.042691805945084635,0.05279094283531971,0.017828087571802858,0.012122364651073414,0.0020203941085122357,-0.010770014628724034,-0.01445163820441257,-0.0003387478309398498,0.060084763922711705,0.062037983802552175,0.05455064092983036,0.0030887261930201016,0.0015811779979660976,0.003162355995932195,1,-0.003439017596913084,-0.018129534352424155,0.010027289428972068,0.05850358592474561,0.04628539230409849,0.06970359674367213,-0.007957273502838591,0.003162355995932195,0.0015811779979660976,-0.01248118670589738,-0.0230155123809572,0.019121790319282083,0.03409415058114398,0.032730384557898215,0.03818544865088125,0.0024958792074313953,0.0027275320464915185,0.005455064092983037,19.0,39.0,1,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,0.012902027760974176,0.019878031099377698,0.0051593919800397865,-0.010014127320451954,-0.003593586359013856,-0.01691265390835242,0.02578536107464145,0.00896000865514122,0.0004392161105461381,0.0017111720771733462,0.008563874176544632,-0.01946053815022193,0.025990613341567728,0.02930759924465396,0.016365192278949114,0.0005928469855887063,-0.001146354048525421,-0.002292708097050842,1.884,2.02,-1.0,43.0,-1.0,43.5,1.862,2.05
2014_02_DET_CAR,2014,2,2014-09-14,CAR,DET,24.0,7.0,1.0,43.5,7,6,outdoors,grass,0,-1.0,1,0.003542623449748202,0.027028843443566698,-0.02065530018024661,0.04559456555329105,0.05134177969866387,0.03967319340351299,0.0016551891964224409,0.004885132023566898,0.001628377341188966,-0.018670848727169967,-0.02996763689880957,0.006580795421200909,0.043640512743864296,0.04593738183564662,0.038506334773997904,-0.050751125091438636,0.003967319340351299,0.005950979010526949,1,0.0317006231582463,0.06711724486159137,-0.01289808565337343,0.04650218571067506,0.05775950216099686,0.03232630573619577,-0.018265720414550254,0.010731273625540399,0.0017885456042567333,-0.03489182804621174,-0.03506037798592452,-0.03462368041485052,0.03253897880024969,0.03428897429875051,0.02975489505263474,-0.0414855914023512,0.0038281151529705516,0.0038281151529705516,17.0,31.0,1,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,-0.0281579997084981,-0.04008840141802468,-0.007757214526873181,-0.0009076201573840134,-0.006417722462332992,0.007346887667317219,0.019920909610972697,-0.005846141601973501,-0.00016016826306776725,0.016220979319041776,0.0050927410871149485,0.04120447583605143,0.011101533943614607,0.01164840753689611,0.008751439721363163,-0.009265533689087432,0.00013920418738074718,0.002122863857556397,1.884,2.02,-1.0,43.5,-3.0,43.5,1.699,2.29
2014_02_ATL_CIN,2014,2,2014-09-14,CIN,ATL,24.0,10.0,5.5,48.5,7,7,outdoors,fieldturf,0,-5.5,1,0.011020818558936041,0.031478288543221364,-0.022222570165527616,0.04675769222556888,0.0531519065470142,0.03636709395322024,0.020568654438071706,0.0069270655148990935,0.0,-0.006298125141053364,-0.008176531371012895,-0.00048401061975005726,0.04693892359078426,0.043640512743864296,0.057148290497917524,-0.014191595071192315,0.0038058586695230486,0.0038058586695230486,1,0.03178915858479311,0.0437774333603597,0.011169325970818591,0.05775950216099686,0.06343097782538415,0.04800456401825072,0.019538747526334693,0.014439875540249215,0.0016044306155832458,0.020989276403728004,0.023905090437530994,0.016615555353023514,0.05922641015238725,0.06234358963409184,0.05455064092983036,0.013645453955118916,0.0046757692225568885,0.0,14.0,34.0,1,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,-0.020768340025857066,-0.012299144817138334,-0.03339189613634621,-0.01100180993542798,-0.010279071278369953,-0.011637470065030478,0.0010299069117370128,-0.007512810025350121,-0.0016044306155832458,-0.02728740154478137,-0.03208162180854389,-0.01709956597277357,-0.012287486561602987,-0.018703076890227543,0.002597649568087161,-0.027837049026311234,-0.0008699105530338399,0.0038058586695230486,1.413,3.16,-5.5,48.5,-4.0,48.0,1.458,2.95
2014_02_NO_CLE,2014,2,2014-09-14,CLE,NO,26.0,24.0,-4.5,49.5,7,7,outdoors,grass,0,4.5,1,0.019784569437449266,0.014175822738673495,0.025755170761952505,0.04773181081360157,0.04628539230409849,0.04927154664629839,0.026480488262695265,0.010228245174343193,0.0051141225871715965,0.01803696977971786,0.04002881209420291,-0.008504908875695142,0.05284593340077316,0.06546076911579643,0.03762113167574508,0.021874799627364053,0.01363766023245759,0.0051141225871715965,1,0.020989276403728004,0.023905090437530994,0.016615555353023514,0.05922641015238725,0.06234358963409184,0.05455064092983036,0.013645453955118916,0.0046757692225568885,0.0,0.03178915858479311,0.0437774333603597,0.011169325970818591,0.05775950216099686,0.06343097782538415,0.04800456401825072,0.019538747526334693,0.014439875540249215,0.0016044306155832458,2.0,50.0,1,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,-0.0012047069662787374,-0.0097292676988575,0.009139615408928992,-0.011494599338785681,-0.01605819732999335,-0.005279094283531974,0.012835034307576348,0.005552475951786305,0.0051141225871715965,-0.013752188805075248,-0.0037486212661567847,-0.019674234846513733,-0.004913568760223697,0.0020297912904122806,-0.01038343234250564,0.00233605210102936,-0.000802215307791624,0.0035096919715883507,2.97,1.454,4.5,49.5,6.0,47.5,3.27,1.392
2014_02_NE_MIN,2014,2,2014-09-14,MIN,NE,7.0,30.0,-3.5,49.0,7,7,outdoors,fieldturf,0,3.5,1,0.01137879197893349,0.03286472904546872,-0.0071435675611830835,0.04242827627875695,0.04800456401825072,0.03762113167574508,0.024141773474324824,0.006061182325536707,0.0,-0.03448972895278763,-0.048149096938056156,-0.007821439076787185,0.04223275426825576,0.03991510311938807,0.04675769222556888,-0.01272611814508207,0.008798490472553284,0.008798490472553284,1,-0.01248118670589738,-0.0230155123809572,0.019121790319282083,0.03409415058114398,0.032730384557898215,0.03818544865088125,0.0024958792074313953,0.0027275320464915185,0.005455064092983037,-0.003439017596913084,-0.018129534352424155,0.010027289428972068,0.05850358592474561,0.04628539230409849,0.06970359674367213,-0.007957273502838591,0.003162355995932195,0.0015811779979660976,-23.0,37.0,1,week_n_uses_completed_games_through_week_n_minus_1,0,0,0,0,0,0.02385997868483087,0.05588024142642592,-0.026265357880465166,0.008334125697612972,0.015274179460352505,-0.0005643169751361685,0.02164589426689343,0.0033336502790451885,-0.005455064092983037,-0.031050711355874547,-0.030019562585632,-0.017848728505759255,-0.016270831656489848,-0.006370289184710422,-0.02294590451810325,-0.004768844642243478,0.005636134476621089,0.007217312474587186,2.48,1.609,3.5,49.0,3.0,49.0,2.43,1.632
