season,round,date,home_team,away_team,home_score,away_score,actual_margin_home,actual_total,market,signal,selection,model_number,model_home_fair_odds,model_away_fair_odds,open_number,close_number,open_odds,close_odds,clv,result,winner,bookmakers_surveyed
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,h2h,normal,Fremantle Dockers,,1.515,2.943,,,1.49,1.33,0.1203,win,tie,5
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,h2h,ml,Fremantle Dockers,,1.012,87.719,,,1.49,1.33,0.1203,win,tie,5
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,h2h,market,Fremantle Dockers,,,,,,1.49,1.33,0.1203,win,tie,5
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,handicap,normal,Fremantle Dockers,14.9,,,-12.5,-18.5,1.9,1.9,6.0,loss,tie,5
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,handicap,ml,Fremantle Dockers,19.5,,,-12.5,-18.5,1.9,1.9,6.0,loss,tie,5
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,handicap,market,Fremantle Dockers,,,,-12.5,-18.5,1.9,1.9,6.0,loss,tie,5
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,total,normal,over,187.0,,,178.5,177.5,1.87,1.87,-1.0,win,normal,5
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,total,ml,under,149.4,,,178.5,177.5,2.0,2.0,1.0,loss,normal,5
2026,15,2026-06-18,Fremantle Dockers,Geelong Cats,99,90,9.0,189.0,total,market,under,,,,178.5,177.5,2.0,2.0,1.0,loss,normal,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,h2h,normal,Hawthorn Hawks,,2.456,1.687,,,1.73,1.6,0.0812,win,tie,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,h2h,ml,Hawthorn Hawks,,3.146,1.466,,,1.73,1.6,0.0812,win,tie,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,h2h,market,Hawthorn Hawks,,,,,,1.73,1.6,0.0812,win,tie,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,handicap,normal,Hawthorn Hawks,-8.4,,,-2.5,-4.5,1.9,1.9,2.0,win,tie,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,handicap,ml,Hawthorn Hawks,-12.4,,,-2.5,-4.5,1.9,1.9,2.0,win,tie,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,handicap,market,Hawthorn Hawks,,,,-2.5,-4.5,1.9,1.9,2.0,win,tie,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,total,normal,under,175.1,,,182.5,177.5,2.0,2.04,5.0,loss,tie,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,total,ml,under,132.1,,,182.5,177.5,2.0,2.04,5.0,loss,tie,5
2026,15,2026-06-19,Gold Coast Suns,Hawthorn Hawks,97,113,-16.0,210.0,total,market,under,,,,182.5,177.5,2.0,2.04,5.0,loss,tie,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,h2h,normal,Adelaide Crows,,1.233,5.299,,,1.4,1.34,0.0448,win,tie,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,h2h,ml,Adelaide Crows,,1.092,11.905,,,1.4,1.34,0.0448,win,tie,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,h2h,market,Adelaide Crows,,,,,,1.4,1.34,0.0448,win,tie,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,handicap,normal,Adelaide Crows,31.8,,,-15.5,-18.5,1.9,1.9,3.0,win,tie,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,handicap,ml,Adelaide Crows,29.8,,,-15.5,-18.5,1.9,1.9,3.0,win,tie,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,handicap,market,Adelaide Crows,,,,-15.5,-18.5,1.9,1.9,3.0,win,tie,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,total,normal,over,178.9,,,178.5,180.5,1.87,1.87,2.0,loss,ml,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,total,ml,under,157.2,,,178.5,180.5,1.98,1.99,-2.0,win,ml,5
2026,15,2026-06-20,Adelaide Crows,Melbourne Demons,79,62,17.0,141.0,total,market,over,,,,178.5,180.5,1.87,1.87,2.0,loss,ml,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,h2h,normal,Greater Western Sydney Giants,,1.258,4.88,,,1.43,1.29,0.1085,loss,ml,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,h2h,ml,Carlton Blues,,10.341,1.107,,,2.7,3.6,-0.25,win,ml,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,h2h,market,Greater Western Sydney Giants,,,,,,1.43,1.29,0.1085,loss,ml,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,handicap,normal,Greater Western Sydney Giants,29.7,,,-14.5,-21.5,1.9,1.9,7.0,loss,ml,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,handicap,ml,Carlton Blues,-3.1,,,14.5,21.5,1.9,1.9,-7.0,win,ml,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,handicap,market,Greater Western Sydney Giants,,,,-14.5,-21.5,1.9,1.9,7.0,loss,ml,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,total,normal,under,183.8,,,185.5,182.5,2.02,2.04,3.0,win,tie,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,total,ml,under,152.1,,,185.5,182.5,2.02,2.04,3.0,win,tie,5
2026,15,2026-06-20,Greater Western Sydney Giants,Carlton Blues,65,88,-23.0,153.0,total,market,under,,,,185.5,182.5,2.02,2.04,3.0,win,tie,5
2026,15,2026-06-20,Collingwood Magpies,Port Adelaide Power,78,52,26.0,130.0,h2h,normal,Collingwood Magpies,,1.296,4.384,,,1.39,1.55,-0.1032,win,tie,5
