Season,Date,HomeTeam,AwayTeam,Referee,HY,AY,HR,AR,total_yellow_cards,total_red_cards,league_yellow_mean_prior,league_fouls_mean_prior,ref_yellow_mean_prior,ref_fouls_mean_prior,ref_games_prior,home_team_yellow_mean_prior,away_team_yellow_mean_prior,home_cards_drawn_mean_prior,away_cards_drawn_mean_prior,home_fouls_mean_prior,away_fouls_mean_prior,home_team_games_prior,away_team_games_prior,home_yellow_home_mean_prior,away_yellow_away_mean_prior,home_xg_for_prior,away_xg_for_prior,home_xg_against_prior,away_xg_against_prior,home_shots_prior_x,away_shots_prior_x,home_fouls_prior,away_fouls_prior,home_ppda_prior,away_ppda_prior,home_prior_matches,away_prior_matches,home_rest_days,away_rest_days,xg_source_available,match_stats_source_available,home_blocked_shots_prior,home_accurate_crosses_n_prior,home_shots_inside_box_prior,home_touches_opp_box_prior,home_possession_prior,home_shots_prior_y,home_shots_on_target_prior,home_starter_rating_mean_prior,home_starter_count_prior,home_provider_prior_matches,away_blocked_shots_prior,away_accurate_crosses_n_prior,away_shots_inside_box_prior,away_touches_opp_box_prior,away_possession_prior,away_shots_prior_y,away_shots_on_target_prior,away_starter_rating_mean_prior,away_starter_count_prior,away_provider_prior_matches
2022/23,2022-08-13,Arsenal,Leicester,D England,1,1,0,0,2,0,3.1983586839996265,9.958697009025574,3.383826290384436,15.86475817741614,27,1.6312115316562412,1.4249615316562412,1.8187115316562408,1.5843365316562412,9.792781961149036,10.311531961149036,305,305,1.568788563652678,1.6107047313173486,1.8475734,1.20735972,1.2821768,1.5445839,15.8,10.7,9.7,10.0,12.81,10.97,10,10,8.0,6.0,True,True,4.0,2.0,8.0,,44.0,10.0,2.0,7.501818181818183,11.0,1,3.0,3.0,5.0,,55.0,14.0,5.0,7.408181818181817,11.0,1
2022/23,2022-08-13,Aston Villa,Everton,M Oliver,4,1,0,0,5,0,3.1983586839996265,9.958697009025574,3.1426987146717784,20.482499711295908,234,1.8446004375242584,1.6187115316562413,1.8106198549999863,1.6968365316562413,10.741214696930545,10.524031961149038,191,305,1.6453426375454292,1.6705849708383065,1.2097204,1.1093149,1.3187909,1.5868776,13.1,10.0,12.2,8.7,15.77,21.01,10,10,7.0,7.0,True,True,6.0,6.0,4.0,,66.0,15.0,2.0,6.614545454545455,11.0,1,1.0,3.0,7.0,,37.0,8.0,4.0,6.733636363636364,11.0,1
2022/23,2022-08-13,Brentford,Man United,S Attwell,0,4,0,0,4,0,3.1983586839996265,9.958697009025574,3.49610767697835,18.352283634716827,114,1.5738461135184667,1.8155865316562407,1.370142409814763,1.7030865316562414,8.346115325327625,11.314656961149035,39,305,1.5584614744116825,1.9400460486826177,1.7410057,1.1077837,1.2294307999999998,1.6092598000000002,14.8,11.6,7.8,9.9,16.82,16.18,10,10,6.0,6.0,True,True,1.0,1.0,5.0,,45.0,8.0,3.0,6.838181818181818,11.0,1,7.0,7.0,13.0,,63.0,17.0,5.0,6.745454545454546,11.0,1
2022/23,2022-08-13,Brighton,Newcastle,G Scott,2,3,0,0,5,0,3.1983586839996265,9.958697009025574,2.8047370093219546,18.12684258665796,93,1.5096489812135787,1.638254220319139,1.4611052918931902,1.7056301068439617,10.522768094988797,10.321596551658482,191,267,1.6544335466363382,1.6553222306080893,1.7079785,1.3558759,1.1256408,1.4556899,14.4,12.0,10.6,9.6,11.94,15.68,10,10,6.0,7.0,True,True,5.0,6.0,10.0,,37.0,15.0,4.0,7.28,11.0,1,5.0,9.0,16.0,,61.0,23.0,10.0,7.925454545454546,11.0,1
2022/23,2022-08-13,Man City,Bournemouth,D Coote,0,3,0,0,3,0,3.1983586839996265,9.958697009025574,3.435733692553092,19.65922792793233,69,1.512461531656241,1.5436295637378503,1.665586531656241,1.8688722821844523,9.505281961149038,9.066457415377144,305,191,1.3412436534730372,1.4817062739090656,2.669399,1.1028054900000002,0.58484913,1.3819434000000002,19.2,10.0,6.9,11.8,9.34,15.58,10,10,6.0,7.0,True,True,4.0,3.0,9.0,,75.0,14.0,2.0,7.722727272727273,11.0,1,2.0,4.0,6.0,,34.0,7.0,3.0,7.607272727272728,11.0,1
2022/23,2022-08-13,Southampton,Leeds,T Harrington,1,3,0,0,4,0,3.1983586839996265,9.958697009025574,3.105677396428238,11.177408043772834,3,1.5562115316562413,2.032474892717361,1.4874615316562412,1.510735762282578,10.945906961149038,10.69228508225752,305,77,1.4250759888023783,1.8676922666037208,0.9112091999999998,1.242034,2.1942867,1.7406095,10.4,10.6,7.7,13.3,14.56,11.6,10,10,7.0,7.0,True,True,3.0,3.0,6.0,,42.0,10.0,2.0,6.333636363636364,11.0,1,3.0,6.0,7.0,28.0,40.0,12.0,4.0,7.481818181818181,11.0,1
2022/23,2022-08-13,Wolves,Fulham,J Brooks,3,3,0,0,6,0,3.1983586839996265,9.958697009025574,3.4813436931031263,11.378187076746183,4,1.5773076793452214,1.7389966318477956,1.9284981555356973,1.152040110108665,10.051727545045786,10.746632908344475,153,77,1.6152493420878813,1.6601450967924,0.9601334,0.9642938,2.11813,1.6871394,11.1,11.7,8.4,12.3,16.97,10.19,10,10,7.0,7.0,True,True,3.0,9.0,8.0,28.0,60.0,15.0,6.0,7.081818181818182,11.0,1,4.0,4.0,7.0,,33.0,9.0,3.0,7.1,11.0,1
2022/23,2022-08-14,Chelsea,Tottenham,A Taylor,3,0,0,0,3,0,3.228610491760427,9.943481989457409,3.461042660204586,20.44161761263801,239,1.544420558400635,1.710045558400635,1.9725455584006348,1.935045558400635,9.998675359127908,10.679925359127909,305,305,1.4443986747796598,1.8755363993305585,2.0445241,1.9583621,0.79061112,0.7088629,18.9,13.9,10.6,10.4,7.84,14.55,10,10,8.0,8.0,True,True,6.0,6.0,11.0,,63.0,15.0,6.0,7.471818181818182,11.0,1,4.0,6.0,14.0,,58.0,18.0,8.0,7.678181818181818,11.0,1
2022/23,2022-08-14,Nott'm Forest,West Ham,R Jones,4,1,0,0,5,0,3.228610491760427,9.943481989457409,2.9315679644585555,15.158063536175732,23,1.7009111680127,1.591295558400635,1.5134111680127,1.503795558400635,5.536007182558159,9.645550359127908,1,305,1.6143052458802134,1.570147177773672,0.235825,1.0801832,1.8591,1.7447970000000002,5.0,8.9,14.0,8.1,,22.03,1,10,8.0,7.0,True,True,2.0,3.0,4.0,,39.0,5.0,0.0,6.607272727272728,11.0,1,3.0,4.0,5.0,,25.0,6.0,1.0,6.455454545454546,11.0,1
2022/23,2022-08-15,Liverpool,Crystal Palace,P Tierney,2,4,1,0,6,1,3.235728062396689,9.940012631361942,3.3045013088306314,20.457794258337977,129,1.2945873764624225,1.6758373764624224,1.5227123764624224,1.7195873764624223,9.489219046047545,11.286094046047545,305,305,1.1153770087902706,1.7201674279519472,1.976334,1.2775103,0.7687018999999999,0.7809367999999999,18.5,11.2,8.7,12.5,8.52,13.15,10,10,9.0,10.0,True,True,2.0,5.0,9.0,,67.0,11.0,4.0,6.919090909090909,11.0,1,6.0,3.0,9.0,,56.0,10.0,2.0,6.357272727272728,11.0,1
