timestamp,lat,lon,commence_time,temperature,wind_speed,wind_gust,precip_prob,precip_intensity,dew_point,humidity,condition,flags
2026-05-14T00:21:21.199Z,-33.8136,150.9856,2026-05-16T05:00:00Z,20,4,11,15,0,15,76,average,"MILD DEW"
2026-05-14T00:21:21.282Z,-33.8136,150.9856,2026-05-16T09:45:00Z,16,5,10,0,0,15,94,average,"DEW RISK"
2026-05-14T00:21:21.282Z,-27.9697,153.3808,2026-05-17T04:00:00Z,22,14,29,30,0,18,76,average,"MILD DEW"
2026-05-14T00:21:21.741Z,-33.75,150.6942,2026-05-17T08:25:00Z,17,4,8,0,0,14,85,average,"DEW RISK"
2026-05-14T00:21:21.741Z,-36.9021,174.7618,2026-05-17T06:05:00Z,12,7,14,0,0,8,77,average,"MILD DEW"
2026-05-14T00:21:22.339Z,-33.8915,151.2248,2026-05-16T07:30:00Z,19,6,10,15,0,16,83,average,"DEW RISK"
2026-05-14T00:21:22.339Z,-33.8472,151.0631,2026-05-15T10:05:00Z,15,0,1,0,0,14,96,average,"DEW RISK"
2026-05-14T00:21:22.340Z,-33.8136,150.9856,2026-05-16T05:00:00Z,19,1,7,15,0,15,78,average,"MILD DEW"
2026-05-14T00:21:22.378Z,-33.8136,150.9856,2026-05-16T09:45:00Z,16,4,7,0,0,15,95,average,"DEW RISK"
2026-05-14T00:21:22.416Z,-27.9697,153.3808,2026-05-17T04:00:00Z,22,13,29,30,0,17,75,average,"MILD DEW"
2026-05-14T00:21:22.469Z,-33.75,150.6942,2026-05-17T08:25:00Z,17,4,8,0,0,14,85,average,"DEW RISK"
2026-05-14T00:21:22.469Z,-33.8915,151.2248,2026-05-16T07:30:00Z,19,6,10,15,0,16,83,average,"DEW RISK"
2026-05-14T00:21:22.468Z,-34.0398,151.1232,2026-05-15T08:00:00Z,16,5,10,10,0,15,91,average,"DEW RISK"
2026-05-14T00:21:22.468Z,-36.9021,174.7618,2026-05-17T06:05:00Z,12,7,14,0,0,8,77,average,"MILD DEW"
2026-05-14T00:21:22.508Z,-33.8472,151.0631,2026-05-15T10:05:00Z,15,0,1,0,0,14,96,average,"DEW RISK"
2026-05-14T00:21:22.560Z,-33.8136,150.9856,2026-05-16T05:00:00Z,19,1,7,15,0,15,78,average,"MILD DEW"
2026-05-14T00:21:22.592Z,-27.9697,153.3808,2026-05-17T04:00:00Z,22,13,29,30,0,17,75,average,"MILD DEW"
2026-05-14T00:21:22.616Z,-33.8136,150.9856,2026-05-16T09:45:00Z,16,4,7,0,0,15,95,average,"DEW RISK"
2026-05-14T00:21:22.649Z,-33.8915,151.2248,2026-05-16T07:30:00Z,19,6,10,15,0,16,83,average,"DEW RISK"
2026-05-14T00:21:22.690Z,-34.0398,151.1232,2026-05-15T08:00:00Z,16,5,10,10,0,15,91,average,"DEW RISK"
2026-05-14T00:21:22.727Z,-33.8472,151.0631,2026-05-15T10:05:00Z,15,0,1,0,0,14,96,average,"DEW RISK"
2026-05-14T00:21:22.745Z,-33.8136,150.9856,2026-05-16T05:00:00Z,19,1,7,15,0,15,78,average,"MILD DEW"
2026-05-14T00:21:22.767Z,-27.9697,153.3808,2026-05-17T04:00:00Z,22,13,29,30,0,17,75,average,"MILD DEW"
2026-05-14T00:21:22.811Z,-33.8136,150.9856,2026-05-16T09:45:00Z,16,4,7,0,0,15,95,average,"DEW RISK"
2026-05-14T00:21:22.846Z,-34.0398,151.1232,2026-05-15T08:00:00Z,16,5,10,10,0,15,91,average,"DEW RISK"
2026-05-14T00:21:22.955Z,-36.9021,174.7618,2026-05-17T06:05:00Z,12,8,14,0,0,8,77,average,"MILD DEW"
2026-05-14T00:21:22.954Z,-33.75,150.6942,2026-05-17T08:25:00Z,17,4,6,0,0,15,89,average,"DEW RISK"
2026-05-14T00:21:23.045Z,-36.9021,174.7618,2026-05-17T06:05:00Z,12,8,14,0,0,8,77,average,"MILD DEW"
2026-05-14T00:21:23.045Z,-33.75,150.6942,2026-05-17T08:25:00Z,17,4,6,0,0,15,89,average,"DEW RISK"
2026-05-14T00:21:32.410Z,-27.9803,153.3618,2026-05-15T10:10:00Z,16,10,21,10,0,15,93,average,"DEW RISK"
2026-05-14T00:21:32.409Z,-27.4858,153.0381,2026-05-14T09:30:00Z,18,12,26,10,0,15,82,average,"MILD DEW"
2026-05-14T00:21:32.473Z,-34.9156,138.5961,2026-05-16T03:15:20Z,16,10,24,35,0,14,86,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:32.474Z,-37.8166,144.9475,2026-05-16T09:35:00Z,17,8,15,0,0,12,76,average,"MILD DEW"
2026-05-14T00:21:32.473Z,-33.8915,151.2248,2026-05-15T09:30:00Z,17,4,7,0,0,15,89,average,"DEW RISK"
2026-05-14T00:21:32.475Z,-37.82,144.9836,2026-05-16T06:15:46Z,20,9,19,0,0,12,60,good,""
2026-05-14T00:21:32.573Z,-37.8166,144.9475,2026-05-17T03:10:00Z,15,12,23,50,0,14,90,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:32.970Z,-37.8166,144.9475,2026-05-17T05:15:17Z,16,6,14,40,0,14,89,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:33.043Z,-31.9505,115.8891,2026-05-17T08:15:45Z,18,6,16,0,0,12,66,good,""
2026-05-14T00:21:33.431Z,-33.8915,151.2248,2026-05-15T09:30:00Z,17,4,7,0,0,15,89,average,"DEW RISK"
2026-05-14T00:21:33.432Z,-37.8166,144.9475,2026-05-16T09:35:00Z,17,13,25,0,0,13,75,average,"MILD DEW"
2026-05-14T00:21:33.605Z,-34.9156,138.5961,2026-05-16T03:15:20Z,18,8,23,30,0,14,80,average,"MILD DEW"
2026-05-14T00:21:33.647Z,-37.82,144.9836,2026-05-16T06:15:46Z,20,13,27,0,0,12,59,good,""
2026-05-14T00:21:33.648Z,-27.4858,153.0381,2026-05-14T09:30:00Z,17,11,22,15,0,15,86,average,"DEW RISK"
2026-05-14T00:21:33.683Z,-37.8166,144.9475,2026-05-17T03:10:00Z,16,5,12,50,0,14,90,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:33.720Z,-27.9803,153.3618,2026-05-15T10:10:00Z,16,12,25,10,0,14,88,average,"DEW RISK"
2026-05-14T00:21:33.720Z,-37.8166,144.9475,2026-05-17T05:15:17Z,16,6,14,40,0,14,89,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:33.758Z,-31.9505,115.8891,2026-05-17T08:15:45Z,19,6,14,0,0,12,64,good,""
2026-05-14T00:21:33.795Z,-37.8166,144.9475,2026-05-16T09:35:00Z,17,13,25,0,0,13,75,average,"MILD DEW"
2026-05-14T00:21:33.828Z,-33.8915,151.2248,2026-05-15T09:30:00Z,17,4,7,0,0,15,89,average,"DEW RISK"
2026-05-14T00:21:33.829Z,-34.9156,138.5961,2026-05-16T03:15:20Z,18,8,23,30,0,14,80,average,"MILD DEW"
2026-05-14T00:21:33.871Z,-27.4858,153.0381,2026-05-14T09:30:00Z,17,11,22,15,0,15,86,average,"DEW RISK"
2026-05-14T00:21:33.873Z,-37.82,144.9836,2026-05-16T06:15:46Z,20,13,27,0,0,12,59,good,""
2026-05-14T00:21:33.908Z,-37.8166,144.9475,2026-05-17T03:10:00Z,16,5,12,50,0,14,90,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:33.938Z,-27.9803,153.3618,2026-05-15T10:10:00Z,16,12,25,10,0,14,88,average,"DEW RISK"
2026-05-14T00:21:33.978Z,-31.9505,115.8891,2026-05-17T08:15:45Z,19,6,14,0,0,12,64,good,""
2026-05-14T00:21:33.978Z,-37.8166,144.9475,2026-05-17T05:15:17Z,16,6,14,40,0,14,89,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:34.011Z,-37.8166,144.9475,2026-05-16T09:35:00Z,17,13,25,0,0,13,75,average,"MILD DEW"
2026-05-14T00:21:34.049Z,-33.8915,151.2248,2026-05-15T09:30:00Z,17,4,7,0,0,15,89,average,"DEW RISK"
2026-05-14T00:21:34.049Z,-34.9156,138.5961,2026-05-16T03:15:20Z,18,8,23,30,0,14,80,average,"MILD DEW"
2026-05-14T00:21:34.092Z,-27.4858,153.0381,2026-05-14T09:30:00Z,17,11,22,15,0,15,86,average,"DEW RISK"
2026-05-14T00:21:34.126Z,-37.82,144.9836,2026-05-16T06:15:46Z,20,13,27,0,0,12,59,good,""
2026-05-14T00:21:34.162Z,-27.9803,153.3618,2026-05-15T10:10:00Z,16,12,25,10,0,14,88,average,"DEW RISK"
2026-05-14T00:21:34.161Z,-37.8166,144.9475,2026-05-17T03:10:00Z,16,5,12,50,0,14,90,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:34.197Z,-37.8166,144.9475,2026-05-17T05:15:17Z,16,6,14,40,0,14,89,poor,"SHOWERS|DEW RISK"
2026-05-14T00:21:34.196Z,-31.9505,115.8891,2026-05-17T08:15:45Z,19,6,14,0,0,12,64,good,""
2026-05-14T01:52:09.029Z,-27.9803,153.3618,2026-05-15T10:10:00Z,16,12,25,10,0,14,88,average,"DEW RISK"
2026-05-14T01:52:09.533Z,-27.9803,153.3618,2026-05-15T10:10:00Z,16,12,25,10,0,14,88,average,"DEW RISK"
2026-05-14T01:52:14.790Z,-27.9803,153.3618,2026-05-15T10:10:00Z,16,12,25,10,0,14,88,average,"DEW RISK"
2026-05-14T01:52:14.871Z,-27.9803,153.3618,2026-05-15T10:10:00Z,16,12,25,10,0,14,88,average,"DEW RISK"
2026-05-14T01:52:24.584Z,-34.0398,151.1232,2026-05-15T08:00:00Z,16,5,10,10,0,15,91,average,"DEW RISK"
2026-05-14T01:52:24.585Z,-33.8136,150.9856,2026-05-16T05:00:00Z,19,1,7,15,0,15,78,average,"MILD DEW"
2026-05-14T01:52:24.585Z,-33.8472,151.0631,2026-05-15T10:05:00Z,15,0,1,0,0,14,96,average,"DEW RISK"
2026-05-14T01:52:24.585Z,-33.8915,151.2248,2026-05-16T07:30:00Z,19,6,10,15,0,16,83,average,"DEW RISK"
2026-05-14T01:52:24.655Z,-33.8136,150.9856,2026-05-16T09:45:00Z,16,4,7,0,0,15,95,average,"DEW RISK"
2026-05-14T01:52:24.687Z,-27.9697,153.3808,2026-05-17T04:00:00Z,22,13,29,30,0,17,75,average,"MILD DEW"
2026-05-14T01:52:25.062Z,-36.9021,174.7618,2026-05-17T06:05:00Z,12,8,14,0,0,8,77,average,"MILD DEW"
2026-05-14T01:52:25.113Z,-33.75,150.6942,2026-05-17T08:25:00Z,17,4,6,0,0,15,89,average,"DEW RISK"
2026-05-14T01:52:25.640Z,-33.8472,151.0631,2026-05-15T10:05:00Z,15,0,1,0,0,14,96,average,"DEW RISK"
