match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,Date,home_team,away_team,home_xg,away_xg,xg_source,p_home,p_draw,p_away,engine,xbetCloseOver25,xbetCloseUnder25,model_over25,model_under25,market_over25,market_under25,edge_over25,edge_under25,bet,edge,actual_over25,odds,profit
ucl-2025-26-011,2025-26,league_phase,Matchday 1,2025-09-17T21:00:00Z,date_only,paris-saint-germain-fc,atalanta-bc,Paris Saint-Germain FC (FRA),Atalanta BC (ITA),4,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-17 21:00:00+00:00,paris-saint-germain-fc,atalanta-bc,4.0,0.0,goals_fallback,0.594683474962043,0.1775889563403501,0.2277275686976066,shared_xg_dixon_coles,1.5,2.63,0.8675525191893035,0.13244748081069646,0.6368038740920097,0.36319612590799033,0.23074864509729387,-0.23074864509729387,Over,0.23074864509729387,Over,1.5,0.5
ucl-2025-26-012,2025-26,league_phase,Matchday 1,2025-09-17T21:00:00Z,date_only,fc-bayern-m-nchen,chelsea-fc,FC Bayern München (GER),Chelsea FC (ENG),3,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-17 21:00:00+00:00,fc-bayern-m-nchen,chelsea-fc,3.0,1.0,goals_fallback,0.3694144603499684,0.2598911584429145,0.3706943812071167,shared_xg_dixon_coles,1.54,2.53,0.6262392765913007,0.37376072340869926,0.6216216216216216,0.37837837837837845,0.004617654969679141,-0.004617654969679197,Over,0.004617654969679141,Over,1.54,0.54
ucl-2025-26-013,2025-26,league_phase,Matchday 1,2025-09-18T18:45:00Z,date_only,fc-k-benhavn,bayer-04-leverkusen,FC København (DEN),Bayer 04 Leverkusen (GER),2,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-18 18:45:00+00:00,fc-k-benhavn,bayer-04-leverkusen,2.0,2.0,goals_fallback,0.3180823924122914,0.2822823526319681,0.3996352549557405,shared_xg_dixon_coles,2.09,1.81,0.5314424767871174,0.4685575232128826,0.46410256410256406,0.5358974358974359,0.06733991268455336,-0.0673399126845533,Over,0.06733991268455336,Over,2.09,1.0899999999999999
ucl-2025-26-014,2025-26,league_phase,Matchday 1,2025-09-18T18:45:00Z,date_only,club-brugge-kv,as-monaco-fc,Club Brugge KV (BEL),AS Monaco FC (MCO),4,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-18 18:45:00+00:00,club-brugge-kv,as-monaco-fc,4.0,1.0,goals_fallback,0.3433754526334118,0.2407674385892767,0.4158571087773114,shared_xg_dixon_coles,1.58,2.42,0.700171166249783,0.29982883375021696,0.605,0.395,0.09517116624978306,-0.09517116624978306,Over,0.09517116624978306,Over,1.58,0.5800000000000001
ucl-2025-26-015,2025-26,league_phase,Matchday 1,2025-09-18T21:00:00Z,date_only,newcastle-united-fc,fc-barcelona,Newcastle United FC (ENG),FC Barcelona (ESP),1,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-18 21:00:00+00:00,newcastle-united-fc,fc-barcelona,1.0,2.0,goals_fallback,0.3941859098874068,0.2384212398056762,0.3673928503069171,shared_xg_dixon_coles,1.54,2.48,0.7126202559008036,0.2873797440991964,0.6169154228855721,0.38308457711442784,0.09570483301523147,-0.09570483301523142,Over,0.09570483301523147,Over,1.54,0.54
ucl-2025-26-016,2025-26,league_phase,Matchday 1,2025-09-18T21:00:00Z,date_only,manchester-city-fc,ssc-napoli,Manchester City FC (ENG),SSC Napoli (ITA),2,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-18 21:00:00+00:00,manchester-city-fc,ssc-napoli,2.0,0.0,goals_fallback,0.3439382515718517,0.187382294836765,0.4686794535913833,shared_xg_dixon_coles,1.64,2.29,0.8913952513746835,0.10860474862531655,0.5826972010178116,0.4173027989821883,0.3086980503568718,-0.30869805035687176,Over,0.3086980503568718,Under,1.64,-1.0
ucl-2025-26-017,2025-26,league_phase,Matchday 1,2025-09-18T21:00:00Z,date_only,eintracht-frankfurt,galatasaray-sk,Eintracht Frankfurt (GER),Galatasaray SK (TUR),5,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-18 21:00:00+00:00,eintracht-frankfurt,galatasaray-sk,5.0,1.0,goals_fallback,0.1845689652869937,0.2711374042322705,0.5442936304807354,shared_xg_dixon_coles,1.46,2.77,0.47632196165377383,0.5236780383462262,0.6548463356973996,0.3451536643026005,-0.17852437404362576,0.17852437404362564,Under,0.17852437404362564,Over,2.77,-1.0
ucl-2025-26-018,2025-26,league_phase,Matchday 1,2025-09-18T21:00:00Z,date_only,sporting-clube-de-portugal,fk-kairat,Sporting Clube de Portugal (POR),FK Kairat (KAZ),4,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-18 21:00:00+00:00,sporting-clube-de-portugal,fk-kairat,4.0,1.0,goals_fallback,0.7064313401490601,0.1633875392686662,0.1301811205822738,shared_xg_dixon_coles,1.28,3.81,0.7948493028660736,0.20515069713392642,0.7485265225933202,0.25147347740667975,0.04632278027275338,-0.04632278027275333,Over,0.04632278027275338,Over,1.28,0.28
ucl-2025-26-019,2025-26,league_phase,Matchday 2,2025-09-30T18:45:00Z,date_only,atalanta-bc,club-brugge-kv,Atalanta BC (ITA),Club Brugge KV (BEL),2,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 18:45:00+00:00,atalanta-bc,club-brugge-kv,2.0,1.0,goals_fallback,0.5969798939176841,0.2045839451515181,0.1984361609307978,shared_xg_dixon_coles,1.42,2.9,0.7430074330131957,0.2569925669868043,0.6712962962962963,0.32870370370370366,0.07171113671689944,-0.07171113671689938,Over,0.07171113671689944,Over,1.42,0.41999999999999993
ucl-2025-26-020,2025-26,league_phase,Matchday 2,2025-09-30T18:45:00Z,date_only,fk-kairat,real-madrid-cf,FK Kairat (KAZ),Real Madrid CF (ESP),0,5,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 18:45:00+00:00,fk-kairat,real-madrid-cf,0.0,5.0,goals_fallback,0.1270943009523403,0.147009774134568,0.7258959249130914,shared_xg_dixon_coles,1.23,4.21,0.8502643091775126,0.1497356908224874,0.7738970588235294,0.22610294117647062,0.07636725035398317,-0.07636725035398323,Over,0.07636725035398317,Over,1.23,0.22999999999999998
ucl-2025-26-021,2025-26,league_phase,Matchday 2,2025-09-30T21:00:00Z,date_only,galatasaray-sk,liverpool-fc,Galatasaray SK (TUR),Liverpool FC (ENG),1,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 21:00:00+00:00,galatasaray-sk,liverpool-fc,1.0,0.0,goals_fallback,0.0630088767579949,0.0870289299923991,0.8499621932496058,shared_xg_dixon_coles,1.35,3.19,0.9255464253885467,0.0744535746114533,0.7026431718061673,0.29735682819383263,0.2229032535823794,-0.22290325358237933,Over,0.2229032535823794,Under,1.35,-1.0
ucl-2025-26-022,2025-26,league_phase,Matchday 2,2025-09-30T21:00:00Z,date_only,club-atl-tico-de-madrid,eintracht-frankfurt,Club Atlético de Madrid (ESP),Eintracht Frankfurt (GER),5,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 21:00:00+00:00,club-atl-tico-de-madrid,eintracht-frankfurt,5.0,1.0,goals_fallback,0.6695678430004813,0.1481517929596959,0.1822803640398226,shared_xg_dixon_coles,1.35,3.2,0.9178215200823052,0.08217847991769478,0.7032967032967032,0.2967032967032967,0.21452481678560198,-0.21452481678560192,Over,0.21452481678560198,Over,1.35,0.3500000000000001
ucl-2025-26-023,2025-26,league_phase,Matchday 2,2025-09-30T21:00:00Z,date_only,olympique-de-marseille,afc-ajax,Olympique de Marseille (FRA),AFC Ajax (NED),4,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 21:00:00+00:00,olympique-de-marseille,afc-ajax,4.0,0.0,goals_fallback,0.1384532901474368,0.1491856226017647,0.7123610872507984,shared_xg_dixon_coles,1.58,2.38,0.8615713139953428,0.1384286860046572,0.601010101010101,0.39898989898989906,0.2605612129852418,-0.2605612129852419,Over,0.2605612129852418,Over,1.58,0.5800000000000001
ucl-2025-26-024,2025-26,league_phase,Matchday 2,2025-09-30T21:00:00Z,date_only,fk-bod-glimt,tottenham-hotspur-fc,FK Bodø/Glimt (NOR),Tottenham Hotspur FC (ENG),2,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 21:00:00+00:00,fk-bod-glimt,tottenham-hotspur-fc,2.0,2.0,goals_fallback,0.4462744572240893,0.2596148388849505,0.2941107038909601,shared_xg_dixon_coles,1.71,2.21,0.6102692196523298,0.38973078034767017,0.5637755102040817,0.4362244897959184,0.046493709448248155,-0.04649370944824821,Over,0.046493709448248155,Over,1.71,0.71
ucl-2025-26-025,2025-26,league_phase,Matchday 2,2025-09-30T21:00:00Z,date_only,paphos-fc,fc-bayern-m-nchen,Paphos FC (CYP),FC Bayern München (GER),1,5,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 21:00:00+00:00,paphos-fc,fc-bayern-m-nchen,1.0,5.0,goals_fallback,0.1874191403026686,0.216160760296847,0.5964200994004842,shared_xg_dixon_coles,1.27,3.75,0.6847366900101453,0.31526330998985475,0.7470119521912351,0.252988047808765,-0.06227526218108981,0.06227526218108975,Under,0.06227526218108975,Over,3.75,-1.0
ucl-2025-26-026,2025-26,league_phase,Matchday 2,2025-09-30T21:00:00Z,date_only,chelsea-fc,sport-lisboa-e-benfica,Chelsea FC (ENG),Sport Lisboa e Benfica (POR),1,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 21:00:00+00:00,chelsea-fc,sport-lisboa-e-benfica,1.0,0.0,goals_fallback,0.7255866367506822,0.167072347643607,0.1073410156057108,shared_xg_dixon_coles,1.78,2.1,0.7293790720806201,0.27062092791937986,0.5412371134020618,0.45876288659793807,0.18814195867855832,-0.1881419586785582,Over,0.18814195867855832,Under,1.78,-1.0
ucl-2025-26-027,2025-26,league_phase,Matchday 2,2025-09-30T21:00:00Z,date_only,fc-internazionale-milano,sk-slavia-praha,FC Internazionale Milano (ITA),SK Slavia Praha (CZE),3,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-30 21:00:00+00:00,fc-internazionale-milano,sk-slavia-praha,3.0,0.0,goals_fallback,0.7561747938019766,0.1594661625088983,0.0843590436891246,shared_xg_dixon_coles,1.45,2.75,0.6948669598355447,0.3051330401644553,0.6547619047619047,0.3452380952380952,0.04010505507364004,-0.04010505507363987,Over,0.04010505507364004,Over,1.45,0.44999999999999996
ucl-2025-26-028,2025-26,league_phase,Matchday 2,2025-10-01T18:45:00Z,date_only,qaraba-a-dam-fk,fc-k-benhavn,Qarabağ Ağdam FK (AZE),FC København (DEN),2,0,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 18:45:00+00:00,qaraba-a-dam-fk,fc-k-benhavn,2.0,0.0,goals_fallback,0.575204401489571,0.2743126206995854,0.1504829778108435,shared_xg_dixon_coles,1.96,1.9,0.41876316952145154,0.5812368304785485,0.4922279792746114,0.5077720207253886,-0.07346480975315989,0.07346480975315983,Under,0.07346480975315983,Under,1.9,0.8999999999999999
ucl-2025-26-029,2025-26,league_phase,Matchday 2,2025-10-01T18:45:00Z,date_only,royale-union-saint-gilloise,newcastle-united-fc,Royale Union Saint-Gilloise (BEL),Newcastle United FC (ENG),0,4,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 18:45:00+00:00,royale-union-saint-gilloise,newcastle-united-fc,0.0,4.0,goals_fallback,0.4540445717573022,0.3635568220350593,0.1823986062076384,shared_xg_dixon_coles,1.84,2.03,0.22685596564462623,0.7731440343553737,0.524547803617571,0.47545219638242897,-0.2976918379729448,0.29769183797294474,Under,0.29769183797294474,Over,2.03,-1.0
ucl-2025-26-030,2025-26,league_phase,Matchday 2,2025-10-01T21:00:00Z,date_only,borussia-dortmund,athletic-club,Borussia Dortmund (GER),Athletic Club (ESP),4,1,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 21:00:00+00:00,borussia-dortmund,athletic-club,4.0,1.0,goals_fallback,0.7284283397064659,0.1870797566936187,0.0844919035999155,shared_xg_dixon_coles,1.95,1.91,0.5804033194253894,0.41959668057461064,0.49481865284974097,0.5051813471502591,0.0855846665756484,-0.08558466657564845,Over,0.0855846665756484,Over,1.95,0.95
ucl-2025-26-031,2025-26,league_phase,Matchday 2,2025-10-01T21:00:00Z,date_only,fc-barcelona,paris-saint-germain-fc,FC Barcelona (ESP),Paris Saint-Germain FC (FRA),1,2,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 21:00:00+00:00,fc-barcelona,paris-saint-germain-fc,1.0,2.0,goals_fallback,0.3896507369601487,0.1844704444931121,0.4258788185467391,shared_xg_dixon_coles,1.32,3.4,0.9059967288482695,0.09400327115173046,0.7203389830508474,0.2796610169491525,0.1856577457974221,-0.18565774579742206,Over,0.1856577457974221,Over,1.32,0.32000000000000006
ucl-2025-26-032,2025-26,league_phase,Matchday 2,2025-10-01T21:00:00Z,date_only,as-monaco-fc,manchester-city-fc,AS Monaco FC (MCO),Manchester City FC (ENG),2,2,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 21:00:00+00:00,as-monaco-fc,manchester-city-fc,2.0,2.0,goals_fallback,0.3958970551187133,0.1751772812114868,0.4289256636697998,shared_xg_dixon_coles,1.33,3.37,0.9316624713986948,0.06833752860130515,0.7170212765957447,0.2829787234042553,0.21464119480295019,-0.21464119480295013,Over,0.21464119480295019,Over,1.33,0.33000000000000007
ucl-2025-26-033,2025-26,league_phase,Matchday 2,2025-10-01T21:00:00Z,date_only,bayer-04-leverkusen,psv,Bayer 04 Leverkusen (GER),PSV (NED),1,1,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 21:00:00+00:00,bayer-04-leverkusen,psv,1.0,1.0,goals_fallback,0.5994347898643426,0.1949246105133495,0.205640599622308,shared_xg_dixon_coles,1.53,2.5,0.7871433246123375,0.2128566753876625,0.6203473945409429,0.3796526054590571,0.1667959300713946,-0.1667959300713946,Over,0.1667959300713946,Under,1.53,-1.0
ucl-2025-26-034,2025-26,league_phase,Matchday 2,2025-10-01T21:00:00Z,date_only,arsenal-fc,pae-olympiakos-sfp,Arsenal FC (ENG),PAE Olympiakos SFP (GRE),2,0,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 21:00:00+00:00,arsenal-fc,pae-olympiakos-sfp,2.0,0.0,goals_fallback,0.8880816537034728,0.083651468553239,0.0282668777432881,shared_xg_dixon_coles,1.57,2.42,0.784899084915962,0.21510091508403795,0.606516290726817,0.39348370927318294,0.17838279418914504,-0.178382794189145,Over,0.17838279418914504,Under,1.57,-1.0
ucl-2025-26-035,2025-26,league_phase,Matchday 2,2025-10-01T21:00:00Z,date_only,villarreal-cf,juventus-fc,Villarreal CF (ESP),Juventus FC (ITA),2,2,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 21:00:00+00:00,villarreal-cf,juventus-fc,2.0,2.0,goals_fallback,0.457536337880958,0.2995529850281925,0.2429106770908492,shared_xg_dixon_coles,1.95,1.91,0.4350162280064853,0.5649837719935147,0.49481865284974097,0.5051813471502591,-0.05980242484325565,0.0598024248432556,Under,0.0598024248432556,Over,1.91,-1.0
ucl-2025-26-036,2025-26,league_phase,Matchday 2,2025-10-01T21:00:00Z,date_only,ssc-napoli,sporting-clube-de-portugal,SSC Napoli (ITA),Sporting Clube de Portugal (POR),2,1,openfootball,2025-09-16T00:00:00+00:00,2025-10-01 21:00:00+00:00,ssc-napoli,sporting-clube-de-portugal,2.0,1.0,goals_fallback,0.7614052048040394,0.152302423635001,0.0862923715609595,shared_xg_dixon_coles,1.86,2.0,0.731537885514411,0.268462114485589,0.5181347150259067,0.48186528497409326,0.21340317048850432,-0.21340317048850427,Over,0.21340317048850432,Over,1.86,0.8600000000000001
ucl-2025-26-037,2025-26,league_phase,Matchday 3,2025-10-21T18:45:00Z,date_only,fc-barcelona,pae-olympiakos-sfp,FC Barcelona (ESP),PAE Olympiakos SFP (GRE),6,1,openfootball,2025-09-16T00:00:00+00:00,2025-10-21 18:45:00+00:00,fc-barcelona,pae-olympiakos-sfp,6.0,1.0,goals_fallback,0.8823709183291016,0.0729611366621611,0.0446679450087372,shared_xg_dixon_coles,1.36,3.16,0.9225315354755466,0.07746846452445344,0.6991150442477876,0.30088495575221236,0.22341649122775897,-0.22341649122775892,Over,0.22341649122775897,Over,1.36,0.3600000000000001
