date,home_slug,away_slug,score,home_odds,draw_odds,away_odds
11.12.2024,Stuttgart,Young Boys,5:1,1.32,5.89,8.43
10.12.2024,Atalanta,Real Madrid,2:3,2.63,3.56,2.58
10.12.2024,Bayer Leverkusen,Inter,1:0,2.23,3.30,3.36
10.12.2024,Brest,PSV,1:0,4.71,3.97,1.74
10.12.2024,Club Brugge KV,Sporting CP,2:1,2.50,3.43,2.85
10.12.2024,Din. Zagreb,Celtic,0:0,4.19,3.87,1.85
10.12.2024,Girona,Liverpool,0:1,8.00,5.38,1.36
10.12.2024,RB Leipzig,Aston Villa,2:3,2.99,3.34,2.42
10.12.2024,Salzburg,PSG,0:3,10.90,6.38,1.26
10.12.2024,Shakhtar Donetsk,Bayern Munich,1:5,17.16,8.14,1.16
27.11.2024,Aston Villa,Juventus,0:0,2.22,3.19,3.55
27.11.2024,Bologna,Lille,1:2,2.33,3.14,3.33
27.11.2024,Celtic,Club Brugge KV,1:1,2.05,3.56,3.57
27.11.2024,Crvena zvezda,Stuttgart,5:1,4.31,4.03,1.77
27.11.2024,Din. Zagreb,Dortmund,0:3,7.20,4.72,1.44
27.11.2024,Liverpool,Real Madrid,2:0,1.83,4.02,3.95
27.11.2024,Monaco,Benfica,2:3,2.33,3.59,2.93
27.11.2024,PSV,Shakhtar Donetsk,3:2,1.39,5.28,7.32
27.11.2024,Sturm Graz,Girona,1:0,3.75,3.60,1.99
26.11.2024,Barcelona,Brest,3:0,1.23,6.85,11.73
26.11.2024,Bayer Leverkusen,Salzburg,5:0,1.21,7.19,12.85
26.11.2024,Bayern Munich,PSG,1:0,1.57,4.48,5.32
26.11.2024,Inter,RB Leipzig,1:0,1.44,4.75,7.11
26.11.2024,Manchester City,Feyenoord,3:3,1.17,7.82,15.88
26.11.2024,Slovan Bratislava,AC Milan,2:3,11.81,6.59,1.24
26.11.2024,Sparta Prague,Atl. Madrid,0:6,5.27,3.81,1.69
26.11.2024,Sporting CP,Arsenal,1:5,3.65,3.49,2.05
26.11.2024,Young Boys,Atalanta,1:6,5.85,4.30,1.55
06.11.2024,Bayern Munich,Benfica,1:0,1.23,6.77,11.71
06.11.2024,Club Brugge KV,Aston Villa,1:0,3.54,3.57,2.06
06.11.2024,Crvena zvezda,Barcelona,2:5,11.40,6.83,1.23
06.11.2024,Feyenoord,Salzburg,1:3,1.48,4.67,6.44
06.11.2024,Inter,Arsenal,1:0,2.71,3.14,2.81
06.11.2024,PSG,Atl. Madrid,1:2,1.47,4.64,6.67
06.11.2024,Shakhtar Donetsk,Young Boys,2:1,1.77,3.88,4.45
06.11.2024,Sparta Prague,Brest,1:2,2.78,3.11,2.75
06.11.2024,Stuttgart,Atalanta,0:2,2.67,3.54,2.57
05.11.2024,Bologna,Monaco,0:1,2.70,3.28,2.70
05.11.2024,Celtic,RB Leipzig,3:1,2.52,3.61,2.69
05.11.2024,Dortmund,Sturm Graz,1:0,1.21,7.18,12.91
05.11.2024,Lille,Juventus,1:1,3.03,3.18,2.48
05.11.2024,Liverpool,Bayer Leverkusen,4:0,1.75,3.98,4.47
05.11.2024,PSV,Girona,4:0,1.70,4.09,4.60
05.11.2024,Real Madrid,AC Milan,1:3,1.44,4.92,6.57
05.11.2024,Slovan Bratislava,Din. Zagreb,1:4,3.79,3.74,1.94
05.11.2024,Sporting CP,Manchester City,4:1,3.47,3.75,2.03
23.10.2024,Atalanta,Celtic,0:0,1.41,5.21,6.95
23.10.2024,Atl. Madrid,Lille,1:3,1.45,4.63,7.15
