match_id,home,away,bet,edge,odds,actual,win,profit,bookmaker,path
ucl-2024-25-008,AC Sparta Praha (CZE),FC Red Bull Salzburg (AUT),Under,0.137459807073955,2.5,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/sparta-prague-inter/U7MSV2Bd/
ucl-2024-25-008,AC Sparta Praha (CZE),FC Red Bull Salzburg (AUT),Under,0.046463022508038465,2.3,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/sparta-prague-salzburg/bix5TJrS/
ucl-2024-25-075,Sporting Clube de Portugal (POR),Arsenal FC (ENG),Over,0.046430868167202544,1.92,Over,True,0.9199999999999999,bet365,/football/europe/champions-league-2024-2025/sporting-cp-arsenal/tpPI6sJO/
ucl-2024-25-127,Sporting Clube de Portugal (POR),Bologna FC 1909 (ITA),Over,0.14453376205787793,2.1,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/sporting-cp-bologna/6caWquT8/
ucl-2024-25-027,PSV (NED),Sporting Clube de Portugal (POR),Over,0.10638263665594838,2.03,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/sporting-cp-dortmund/QLIILcIO/
ucl-2024-25-003,Sporting Clube de Portugal (POR),Lille OSC (FRA),Under,0.0009646302250805316,2.2,Under,True,1.2000000000000002,bet365,/football/europe/champions-league-2024-2025/sporting-cp-lille/K64H9nUs/
ucl-2024-25-057,Sporting Clube de Portugal (POR),Manchester City FC (ENG),Over,0.03056410256410258,1.57,Over,True,0.5700000000000001,bet365,/football/europe/champions-league-2024-2025/sporting-cp-manchester-city/dK7B6nro/
ucl-2024-25-031,SK Sturm Graz (AUT),Club Brugge KV (BEL),Under,0.12222222222222245,2.5,Under,True,1.5,bwin,/football/europe/champions-league-2024-2025/sturm-graz-club-brugge/pWhvIGL8/
ucl-2024-25-082,SK Sturm Graz (AUT),Girona FC (ESP),Over,0.10638263665594838,2.03,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/sturm-graz-girona/Y5f33QPb/
ucl-2024-25-132,SK Sturm Graz (AUT),RB Leipzig (GER),Under,-0.04166666666666685,2.3,Under,True,1.2999999999999998,bet365,/football/europe/champions-league-2024-2025/sturm-graz-rb-leipzig/vaNQvJBO/
ucl-2024-25-041,SK Sturm Graz (AUT),Sporting Clube de Portugal (POR),Under,0.137459807073955,2.5,Under,True,1.5,bet365,/football/europe/champions-league-2024-2025/sturm-graz-sporting-cp/hEcvrJcL/
ucl-2024-25-067,VfB Stuttgart (GER),Atalanta BC (ITA),Under,0.0009646302250805316,2.2,Under,True,1.2000000000000002,bet365,/football/europe/champions-league-2024-2025/vfb-stuttgart-atalanta/WhAIszpd/
ucl-2024-25-133,VfB Stuttgart (GER),Paris Saint-Germain FC (FRA),Over,0.17148760330578505,1.89,Over,True,0.8899999999999999,bet365,/football/europe/champions-league-2024-2025/vfb-stuttgart-psg/SWkeYAko/
ucl-2024-25-019,VfB Stuttgart (GER),AC Sparta Praha (CZE),Under,0.2512057877813505,2.75,Under,True,1.75,bet365,/football/europe/champions-league-2024-2025/vfb-stuttgart-sparta-prague/jNxDh9Bt/
ucl-2024-25-102,VfB Stuttgart (GER),BSC Young Boys (SUI),Under,0.45594855305466253,3.2,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/vfb-stuttgart-young-boys/WpvoprOp/
ucl-2024-25-001,BSC Young Boys (SUI),Aston Villa FC (ENG),Under,0.0009646302250805316,2.2,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/young-boys-aston-villa/xpMC2jvC/
ucl-2024-25-076,BSC Young Boys (SUI),Atalanta BC (ITA),Under,0.0009646302250805316,2.2,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/young-boys-atalanta/tOVwkIiM/
ucl-2024-25-128,BSC Young Boys (SUI),FK Crvena Zvezda (SRB),Under,0.19660771704180058,2.63,Under,True,1.63,bet365,/football/europe/champions-league-2024-2025/young-boys-crvena-zvezda/GCMkemFl/
ucl-2024-25-076,BSC Young Boys (SUI),Atalanta BC (ITA),Under,0.137459807073955,2.5,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/young-boys-inter/xAslwoJM/
