match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,Date,home_team,away_team,home_xg,away_xg,xg_source,p_home,p_draw,p_away,engine,id,matchDate,Country,League,Season,homeTeam,awayTeam,xbetClose1FT,xbetCloseXFT,xbetClose2FT,xbetCloseOver05,xbetCloseUnder05,xbetCloseOver15,xbetCloseUnder15,xbetCloseOver25,xbetCloseUnder25,xbetCloseOver35,xbetCloseUnder35,xbetCloseOver45,xbetCloseUnder45,xbetCloseBTTSY,xbetCloseBTTSN,sim,qH,qD,qA,edgeH,edgeD,edgeA,bet,max_edge,actual,odds,profit_1
ucl-2025-26-001,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,athletic-club,arsenal-fc,Athletic Club (ESP),Arsenal FC (ENG),0,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,athletic-club,arsenal-fc,0.0,2.0,goals_fallback,0.0429420940865238,0.1552031643058759,0.8018547416076003,shared_xg_dixon_coles,67297,16-09-25 18:45,Europe,Champions League,2025/2026,Ath Bilbao,Arsenal,5.93,3.55,1.69,1.08,8.51,1.42,2.93,2.21,1.69,4.12,1.25,8.32,1.08,2.14,1.71,0.6200980392156863,0.16183067324473263,0.27032560347641255,0.5678437232788548,-0.11888857915820883,-0.11512243917053663,0.2340110183287455,A,0.2340110183287455,A,1.69,0.69
ucl-2025-26-002,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,psv,royale-union-saint-gilloise,PSV (NED),Royale Union Saint-Gilloise (BEL),1,3,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,psv,royale-union-saint-gilloise,1.0,3.0,goals_fallback,0.7692431773498136,0.1200557823057398,0.1107010403444464,shared_xg_dixon_coles,67298,16-09-25 18:45,Europe,Champions League,2025/2026,PSV,Royale Union SG,1.83,3.84,4.26,1.02,15.8,1.17,5.26,1.54,2.5,2.32,1.63,4.16,1.24,1.54,2.49,0.6583333333333333,0.5246204468048259,0.25001443168042486,0.22536512151474916,0.24462273054498773,-0.12995864937468507,-0.11466408117030276,H,0.24462273054498773,A,1.83,-1.0
ucl-2025-26-003,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,juventus-fc,borussia-dortmund,Juventus FC (ITA),Borussia Dortmund (GER),4,4,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,juventus-fc,borussia-dortmund,4.0,4.0,goals_fallback,0.2328138243842514,0.2872066516943622,0.4799795239213865,shared_xg_dixon_coles,67294,16-09-25 21:00,Europe,Champions League,2025/2026,Juventus,Dortmund,2.0,3.5,3.9,1.04,11.6,1.26,3.95,1.88,2.01,3.03,1.39,6.02,1.14,1.68,2.18,0.7173489278752436,0.4797891036906854,0.27416520210896306,0.2460456942003515,-0.24697527930643398,0.013041449585399156,0.233933829721035,A,0.233933829721035,D,3.9,-1.0
ucl-2025-26-004,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,sport-lisboa-e-benfica,qaraba-a-dam-fk,Sport Lisboa e Benfica (POR),Qarabağ Ağdam FK (AZE),2,3,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,sport-lisboa-e-benfica,qaraba-a-dam-fk,2.0,3.0,goals_fallback,0.6088242104828989,0.2018641885555635,0.1893116009615378,shared_xg_dixon_coles,67293,16-09-25 21:00,Europe,Champions League,2025/2026,Benfica,Qarabag,1.21,7.79,11.9,1.02,30.0,1.1,7.0,1.33,3.4,1.89,2.0,3.01,1.4,1.83,1.98,0.5595611285266457,0.79553987568429,0.12356909493940832,0.08089102937630174,-0.18671566520139105,0.07829509361615519,0.10842057158523605,A,0.10842057158523605,A,11.9,10.9
ucl-2025-26-005,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,tottenham-hotspur-fc,villarreal-cf,Tottenham Hotspur FC (ENG),Villarreal CF (ESP),1,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,tottenham-hotspur-fc,villarreal-cf,1.0,0.0,goals_fallback,0.0994895805681743,0.1448446641465036,0.7556657552853221,shared_xg_dixon_coles,67296,16-09-25 21:00,Europe,Champions League,2025/2026,Tottenham,Villarreal,1.86,3.74,4.19,1.03,13.0,1.23,4.33,1.8,2.1,2.82,1.45,5.26,1.17,1.65,2.24,0.7562111801242236,0.5151345807418706,0.25618992518178585,0.2286754940763435,-0.41564500017369627,-0.11134526103528225,0.5269902612089786,A,0.5269902612089786,H,4.19,-1.0
ucl-2025-26-006,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,real-madrid-cf,olympique-de-marseille,Real Madrid CF (ESP),Olympique de Marseille (FRA),2,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,real-madrid-cf,olympique-de-marseille,2.0,1.0,goals_fallback,0.822616084149121,0.1085506087278676,0.0688333071230113,shared_xg_dixon_coles,67295,16-09-25 21:00,Europe,Champions League,2025/2026,Real Madrid,Marseille,1.38,5.33,7.56,1.01,22.0,1.13,6.32,1.43,2.9,2.11,1.8,3.43,1.33,1.67,2.2,0.7160326086956521,0.6937451577914364,0.17961882134187282,0.12663602086669076,0.1288709263576846,-0.07106821261400521,-0.05780271374367946,H,0.1288709263576846,H,1.38,0.3799999999999999
ucl-2025-26-007,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,sk-slavia-praha,fk-bod-glimt,SK Slavia Praha (CZE),FK Bodø/Glimt (NOR),2,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,sk-slavia-praha,fk-bod-glimt,2.0,2.0,goals_fallback,0.4462744572240893,0.2596148388849505,0.2941107038909601,shared_xg_dixon_coles,67292,17-09-25 18:45,Europe,Champions League,2025/2026,Slavia Prague,Bodo/Glimt,1.97,3.94,3.56,1.02,16.0,1.21,4.61,1.62,2.34,2.66,1.49,4.96,1.18,1.6,2.34,0.7571428571428571,0.4870041039671683,0.24350205198358416,0.26949384404924764,-0.040729646743078995,0.01611278690136636,0.02461685984171247,A,0.02461685984171247,D,3.56,-1.0
ucl-2025-26-008,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,pae-olympiakos-sfp,paphos-fc,PAE Olympiakos SFP (GRE),Paphos FC (CYP),0,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,pae-olympiakos-sfp,paphos-fc,0.0,0.0,goals_fallback,0.4462744572240893,0.2596148388849505,0.2941107038909601,shared_xg_dixon_coles,67291,17-09-25 18:45,Europe,Champions League,2025/2026,Olympiacos Piraeus,Pafos,1.41,4.83,8.14,1.03,13.7,1.21,4.56,1.73,2.21,2.69,1.48,5.01,1.18,1.9,1.9,0.5634920634920635,0.6825267039210887,0.19924692598938612,0.11822637008952518,-0.2362522466969994,0.060367912895564396,0.17588433380143492,A,0.17588433380143492,D,8.14,-1.0
ucl-2025-26-009,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,afc-ajax,fc-internazionale-milano,AFC Ajax (NED),FC Internazionale Milano (ITA),0,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,afc-ajax,fc-internazionale-milano,0.0,2.0,goals_fallback,0.3825524895175701,0.2693592458024854,0.3480882646799443,shared_xg_dixon_coles,67287,17-09-25 21:00,Europe,Champions League,2025/2026,Ajax,Inter,5.28,4.14,1.64,1.02,15.0,1.21,4.5,1.63,2.3,2.53,1.54,4.37,1.22,1.6,2.34,0.5119047619047619,0.18198777742039243,0.232100353811515,0.5859118687680926,0.20056471209717766,0.03725889199097038,-0.23782360408814834,H,0.20056471209717766,A,5.28,-1.0
ucl-2025-26-010,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,liverpool-fc,club-atl-tico-de-madrid,Liverpool FC (ENG),Club Atlético de Madrid (ESP),3,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,liverpool-fc,club-atl-tico-de-madrid,3.0,2.0,goals_fallback,0.7478149391368919,0.130301193614393,0.1218838672487152,shared_xg_dixon_coles,67289,17-09-25 21:00,Europe,Champions League,2025/2026,Liverpool,Atl. Madrid,1.47,4.56,7.09,1.02,17.5,1.18,5.0,1.6,2.38,2.44,1.57,4.37,1.22,1.8,2.02,0.7098214285714286,0.6537218006345046,0.21073926467822848,0.13553893468726683,0.09409313850238732,-0.08043807106383549,-0.013655067438551632,H,0.09409313850238732,H,1.47,0.47
ucl-2025-26-011,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,paris-saint-germain-fc,atalanta-bc,Paris Saint-Germain FC (FRA),Atalanta BC (ITA),4,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,paris-saint-germain-fc,atalanta-bc,4.0,0.0,goals_fallback,0.5947235942590022,0.1775737954457742,0.2277026102952234,shared_xg_dixon_coles,74772,26-11-25 21:00,Europe,Champions League,2025/2026,Eintracht Frankfurt,Atalanta,2.83,3.69,2.46,1.03,13.0,1.22,4.33,1.78,2.1,2.78,1.45,5.11,1.17,1.57,2.41,0.5914786967418546,0.34277751973989784,0.26288899210404093,0.3943334881560613,0.2519460745191044,-0.08531519665826673,-0.16663087786083788,H,0.2519460745191044,H,2.83,1.83
ucl-2025-26-012,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,fc-bayern-m-nchen,chelsea-fc,FC Bayern München (GER),Chelsea FC (ENG),3,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,fc-bayern-m-nchen,chelsea-fc,3.0,1.0,goals_fallback,0.3694145925626975,0.2598882230005721,0.3706971844367303,shared_xg_dixon_coles,67288,17-09-25 21:00,Europe,Champions League,2025/2026,Bayern Munich,Chelsea,1.83,4.07,4.03,1.02,17.5,1.17,5.32,1.54,2.53,2.3,1.63,4.12,1.25,1.53,2.53,0.8046218487394958,0.5252857476837545,0.2361849922017864,0.2385292601144592,-0.15587115512105698,0.023703230798785724,0.13216792432227106,A,0.13216792432227106,H,4.03,-1.0
ucl-2025-26-013,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,fc-k-benhavn,bayer-04-leverkusen,FC København (DEN),Bayer 04 Leverkusen (GER),2,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,fc-k-benhavn,bayer-04-leverkusen,2.0,2.0,goals_fallback,0.3180883770013419,0.2822789941774657,0.3996326288211923,shared_xg_dixon_coles,67286,18-09-25 18:45,Europe,Champions League,2025/2026,FC Copenhagen,Bayer Leverkusen,3.33,3.28,2.29,1.06,9.57,1.33,3.41,2.09,1.81,3.5,1.31,7.62,1.09,1.76,2.06,0.7402597402597402,0.2882349103774852,0.2926287352308006,0.41913635439171437,0.029853466623856684,-0.01034974105333486,-0.019503725570522046,H,0.029853466623856684,D,3.33,-1.0
ucl-2025-26-014,2025-26,league_phase,Matchday 1,2025-09-16T00:00:00+00:00,date_only,club-brugge-kv,as-monaco-fc,Club Brugge KV (BEL),AS Monaco FC (MCO),4,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 00:00:00+00:00,club-brugge-kv,as-monaco-fc,4.0,1.0,goals_fallback,0.3433751532454869,0.2407641861559359,0.4158606605985773,shared_xg_dixon_coles,67285,18-09-25 18:45,Europe,Champions League,2025/2026,Club Brugge KV,Monaco,2.23,3.54,3.23,1.02,15.8,1.2,4.74,1.58,2.42,2.41,1.58,4.45,1.22,1.53,2.53,0.7973856209150327,0.4309702125414133,0.27148688530151177,0.29754290215707485,-0.08759505929592643,-0.030722699145575877,0.11831775844150244,A,0.11831775844150244,H,3.23,-1.0
