match_id,matchDate,homeTeam,awayTeam,xbetClose1FT,xbetCloseXFT,xbetClose2FT,xbetCloseOver25,xbetCloseUnder25
ucl-2025-26-058,04-11-25 21:00,Atl. Madrid,Royale Union SG,1.29,6.63,9.67,1.49,2.63
ucl-2025-26-059,04-11-25 21:00,Tottenham,FC Copenhagen,1.55,4.47,6.19,1.78,2.1
ucl-2025-26-060,04-11-25 21:00,Bodo/Glimt,Monaco,2.31,4.1,2.82,1.3,3.5
ucl-2025-26-061,04-11-25 21:00,Olympiacos Piraeus,PSV,2.78,3.76,2.47,1.49,2.63
ucl-2025-26-062,04-11-25 21:00,PSG,Bayern Munich,2.52,3.67,2.77,1.42,2.9
ucl-2025-26-063,04-11-25 21:00,Liverpool,Real Madrid,2.57,3.89,2.61,1.39,3.0
ucl-2025-26-064,05-11-25 18:45,Pafos,Villarreal,9.63,6.18,1.31,1.61,2.32
ucl-2025-26-065,05-11-25 18:45,Qarabag,Chelsea,8.32,5.8,1.35,1.45,2.75
ucl-2025-26-066,05-11-25 21:00,Inter,Kairat Almaty,1.03,24.0,64.0,1.17,5.0
ucl-2025-26-067,05-11-25 21:00,Manchester City,Dortmund,1.4,5.64,7.18,1.45,2.75
ucl-2025-26-068,05-11-25 21:00,Club Brugge KV,Barcelona,5.95,5.08,1.5,1.32,3.4
ucl-2025-26-069,05-11-25 21:00,Benfica,Bayer Leverkusen,1.94,3.78,3.98,1.61,2.32
ucl-2025-26-070,05-11-25 21:00,Marseille,Atalanta,2.22,3.57,3.34,1.78,2.1
ucl-2025-26-071,05-11-25 21:00,Ajax,Galatasaray,3.67,3.9,1.99,1.57,2.42
ucl-2025-26-072,05-11-25 21:00,Newcastle,Ath Bilbao,1.37,5.36,8.66,1.78,2.1
ucl-2025-26-073,25-11-25 18:45,Ajax,Benfica,4.21,3.69,1.91,1.84,2.03
ucl-2025-26-074,25-11-25 18:45,Galatasaray,Royale Union SG,1.74,4.19,4.57,1.49,2.63
