match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,Date,home_team,away_team,home_xg,away_xg,xg_source,p_home,p_draw,p_away,engine,matchDate,homeTeam,awayTeam,xbetClose1FT,xbetCloseXFT,xbetClose2FT,qH,qD,qA,eH,eD,eA,bet,edge,actual,odds,profit
ucl-2025-26-001,2025-26,league_phase,Matchday 1,2025-09-16T18:45:00Z,date_only,athletic-club,arsenal-fc,Athletic Club (ESP),Arsenal FC (ENG),0,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 18:45:00+00:00,athletic-club,arsenal-fc,0.0,2.0,goals_fallback,0.0429392144732593,0.1551901760580794,0.8018706094686611,shared_xg_dixon_coles,16-09-25 18:45,Ath Bilbao,Arsenal,5.93,3.55,1.69,0.16183067324473263,0.27032560347641255,0.5678437232788548,-0.11889145877147334,-0.11513542741833316,0.23402688618980627,A,0.23402688618980627,A,1.69,0.69
ucl-2025-26-002,2025-26,league_phase,Matchday 1,2025-09-16T18:45:00Z,date_only,psv,royale-union-saint-gilloise,PSV (NED),Royale Union Saint-Gilloise (BEL),1,3,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 18:45:00+00:00,psv,royale-union-saint-gilloise,1.0,3.0,goals_fallback,0.7692334434131709,0.1200607414427449,0.110705815144084,shared_xg_dixon_coles,16-09-25 18:45,PSV,Royale Union SG,1.83,3.84,4.26,0.5246204468048259,0.25001443168042486,0.22536512151474916,0.244612996608345,-0.12995369023767997,-0.11465930637066517,H,0.244612996608345,A,1.83,-1.0
ucl-2025-26-003,2025-26,league_phase,Matchday 1,2025-09-16T21:00:00Z,date_only,juventus-fc,borussia-dortmund,Juventus FC (ITA),Borussia Dortmund (GER),4,4,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 21:00:00+00:00,juventus-fc,borussia-dortmund,4.0,4.0,goals_fallback,0.2328238148334507,0.2872121101389676,0.4799640750275816,shared_xg_dixon_coles,16-09-25 21:00,Juventus,Dortmund,2.0,3.5,3.9,0.4797891036906854,0.27416520210896306,0.2460456942003515,-0.2469652888572347,0.013046908030004523,0.2339183808272301,A,0.2339183808272301,D,3.9,-1.0
ucl-2025-26-004,2025-26,league_phase,Matchday 1,2025-09-16T21:00:00Z,date_only,sport-lisboa-e-benfica,qaraba-a-dam-fk,Sport Lisboa e Benfica (POR),Qarabağ Ağdam FK (AZE),2,3,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 21:00:00+00:00,sport-lisboa-e-benfica,qaraba-a-dam-fk,2.0,3.0,goals_fallback,0.6088173775830731,0.2018671083421098,0.189315514074817,shared_xg_dixon_coles,16-09-25 21:00,Benfica,Qarabag,1.21,7.79,11.9,0.79553987568429,0.12356909493940832,0.08089102937630174,-0.18672249810121688,0.07829801340270148,0.10842448469851526,A,0.10842448469851526,A,11.9,10.9
ucl-2025-26-005,2025-26,league_phase,Matchday 1,2025-09-16T21:00:00Z,date_only,tottenham-hotspur-fc,villarreal-cf,Tottenham Hotspur FC (ENG),Villarreal CF (ESP),1,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 21:00:00+00:00,tottenham-hotspur-fc,villarreal-cf,1.0,0.0,goals_fallback,0.0995031257106486,0.1448543626878362,0.7556425116015153,shared_xg_dixon_coles,16-09-25 21:00,Tottenham,Villarreal,1.86,3.74,4.19,0.5151345807418706,0.25618992518178585,0.2286754940763435,-0.415631455031222,-0.11133556249394966,0.5269670175251718,A,0.5269670175251718,H,4.19,-1.0
ucl-2025-26-006,2025-26,league_phase,Matchday 1,2025-09-16T21:00:00Z,date_only,real-madrid-cf,olympique-de-marseille,Real Madrid CF (ESP),Olympique de Marseille (FRA),2,1,openfootball,2025-09-16T00:00:00+00:00,2025-09-16 21:00:00+00:00,real-madrid-cf,olympique-de-marseille,2.0,1.0,goals_fallback,0.8225924771305412,0.1085642697150808,0.068843253154378,shared_xg_dixon_coles,16-09-25 21:00,Real Madrid,Marseille,1.38,5.33,7.56,0.6937451577914364,0.17961882134187282,0.12663602086669076,0.12884731933910476,-0.07105455162679201,-0.05779276771231276,H,0.12884731933910476,H,1.38,0.3799999999999999
ucl-2025-26-007,2025-26,league_phase,Matchday 1,2025-09-17T18:45:00Z,date_only,sk-slavia-praha,fk-bod-glimt,SK Slavia Praha (CZE),FK Bodø/Glimt (NOR),2,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-17 18:45:00+00:00,sk-slavia-praha,fk-bod-glimt,2.0,2.0,goals_fallback,0.4462744572240893,0.2596148388849505,0.2941107038909601,shared_xg_dixon_coles,17-09-25 18:45,Slavia Prague,Bodo/Glimt,1.97,3.94,3.56,0.4870041039671683,0.24350205198358416,0.26949384404924764,-0.040729646743078995,0.01611278690136636,0.02461685984171247,A,0.02461685984171247,D,3.56,-1.0
ucl-2025-26-008,2025-26,league_phase,Matchday 1,2025-09-17T18:45:00Z,date_only,pae-olympiakos-sfp,paphos-fc,PAE Olympiakos SFP (GRE),Paphos FC (CYP),0,0,openfootball,2025-09-16T00:00:00+00:00,2025-09-17 18:45:00+00:00,pae-olympiakos-sfp,paphos-fc,0.0,0.0,goals_fallback,0.4462744572240893,0.2596148388849505,0.2941107038909601,shared_xg_dixon_coles,17-09-25 18:45,Olympiacos Piraeus,Pafos,1.41,4.83,8.14,0.6825267039210887,0.19924692598938612,0.11822637008952518,-0.2362522466969994,0.060367912895564396,0.17588433380143492,A,0.17588433380143492,D,8.14,-1.0
ucl-2025-26-009,2025-26,league_phase,Matchday 1,2025-09-17T21:00:00Z,date_only,afc-ajax,fc-internazionale-milano,AFC Ajax (NED),FC Internazionale Milano (ITA),0,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-17 21:00:00+00:00,afc-ajax,fc-internazionale-milano,0.0,2.0,goals_fallback,0.3825316331345083,0.2693648065972578,0.3481035602682339,shared_xg_dixon_coles,17-09-25 21:00,Ajax,Inter,5.28,4.14,1.64,0.18198777742039243,0.232100353811515,0.5859118687680926,0.20054385571411584,0.03726445278574281,-0.23780830849985873,H,0.20054385571411584,A,5.28,-1.0
ucl-2025-26-010,2025-26,league_phase,Matchday 1,2025-09-17T21:00:00Z,date_only,liverpool-fc,club-atl-tico-de-madrid,Liverpool FC (ENG),Club Atlético de Madrid (ESP),3,2,openfootball,2025-09-16T00:00:00+00:00,2025-09-17 21:00:00+00:00,liverpool-fc,club-atl-tico-de-madrid,3.0,2.0,goals_fallback,0.747816668148292,0.1303020124139635,0.1218813194377444,shared_xg_dixon_coles,17-09-25 21:00,Liverpool,Atl. Madrid,1.47,4.56,7.09,0.6537218006345046,0.21073926467822848,0.13553893468726683,0.09409486751378737,-0.08043725226426499,-0.013657615249522428,H,0.09409486751378737,H,1.47,0.47
