match_id,season,stage,prematch_total_xg,home_att,away_att,knockout,y,p_model,xbetCloseOver25,xbetCloseUnder25,market_over25,market_under25,actual_over25,p_market,p_final,edge_over,edge_under,bet,edge,odds,profit
ucl-2025-26-001,2025-26,league_phase,2.9969227030408168,1.833546764863436,1.9142507171490812,0,0,0.5818747708599535,2.21,1.69,0.4333333333333333,0.5666666666666667,Under,0.4333333333333333,0.4853228364676504,0.051989503134317105,-0.05198950313431705,Over,0.051989503134317105,2.21,-1.0
ucl-2025-26-002,2025-26,league_phase,3.0823579845027615,1.1847665982398392,1.3826471529316844,0,1,0.6449886864891861,1.54,2.5,0.6188118811881189,0.3811881188118812,Over,0.6188118811881189,0.6279737630434924,0.009161881855373477,-0.009161881855373588,Over,0.009161881855373477,1.54,0.54
ucl-2025-26-006,2025-26,league_phase,4.000945760289527,2.8593595104756995,1.3929151501073753,0,1,0.6918363534066785,1.43,2.9,0.6697459584295612,0.3302540415704388,Over,0.6697459584295612,0.6774775966715523,0.007731638241991079,-0.007731638241991079,Over,0.007731638241991079,1.43,0.42999999999999994
ucl-2025-26-005,2025-26,league_phase,3.227079533997693,1.8375101115389885,1.3895694224587043,0,0,0.6443762934216397,1.8,2.1,0.5384615384615385,0.4615384615384615,Under,0.5384615384615385,0.5755317026975739,0.037070164236035374,-0.03707016423603543,Over,0.037070164236035374,1.8,-1.0
ucl-2025-26-004,2025-26,league_phase,3.536278827657667,2.042353419501634,1.3848714960498882,0,1,0.6681776657651092,1.33,3.4,0.7188160676532769,0.281183932346723,Over,0.7188160676532769,0.7010926269924181,-0.017723440660858736,0.017723440660858847,Under,0.017723440660858847,3.4,-1.0
ucl-2025-26-003,2025-26,league_phase,3.402072713023495,1.1514643875882018,1.9476693714192475,0,1,0.6316788631369352,1.88,2.01,0.5167095115681234,0.4832904884318767,Over,0.5167095115681234,0.5569487846172075,0.040239273049084145,-0.040239273049084257,Over,0.040239273049084145,1.88,0.8799999999999999
ucl-2025-26-007,2025-26,league_phase,3.216188850925424,1.8289526864263246,1.3872361644990994,0,1,0.6437405333933341,1.62,2.34,0.5909090909090909,0.4090909090909091,Over,0.5909090909090909,0.6094000957785761,0.018491004869485184,-0.01849100486948524,Over,0.018491004869485184,1.62,0.6200000000000001
ucl-2025-26-008,2025-26,league_phase,3.237767552608461,1.8399636348355697,1.3978039177728914,0,0,0.6446696111685214,1.73,2.21,0.5609137055837563,0.4390862944162436,Under,0.5609137055837563,0.5902282725384241,0.02931456695466783,-0.02931456695466772,Over,0.02931456695466783,1.73,-1.0
ucl-2025-26-009,2025-26,league_phase,3.1248476951087616,1.8383337659995551,1.5180814908894913,0,0,0.6251592089653789,1.63,2.3,0.5852417302798981,0.4147582697201017,Under,0.5852417302798981,0.5992128478198164,0.01397111753991831,-0.013971117539918143,Over,0.01397111753991831,1.63,-1.0
ucl-2025-26-010,2025-26,league_phase,3.8935826233431694,1.8907905606862907,1.5712184517022958,0,1,0.6884173122415692,1.6,2.38,0.5979899497487436,0.4020100502512562,Over,0.5979899497487436,0.6296395266212326,0.03164957687248893,-0.03164957687248876,Over,0.03164957687248893,1.6,0.6000000000000001
ucl-2025-26-011,2025-26,league_phase,4.437634626442192,3.3572651025295266,2.675463191613849,0,1,0.6255654790725108,1.5,2.63,0.6368038740920097,0.3631961259079903,Over,0.6368038740920097,0.6328704358351851,-0.003933438256824573,0.0039334382568246284,Under,0.0039334382568246284,2.63,-1.0
ucl-2025-26-012,2025-26,league_phase,3.490676082666884,2.462243342585859,1.3829576525078473,0,1,0.6560175011969812,1.54,2.53,0.6216216216216216,0.3783783783783784,Over,0.6216216216216216,0.6336601794729975,0.012038557851375864,-0.012038557851375864,Over,0.012038557851375864,1.54,0.54
ucl-2025-26-013,2025-26,league_phase,2.83865454712451,1.849666733906516,1.067023113928737,0,1,0.6333592316410764,2.09,1.81,0.464102564102564,0.5358974358974359,Over,0.464102564102564,0.5233423977410434,0.0592398336384794,-0.05923983363847929,Over,0.0592398336384794,2.09,1.0899999999999999
ucl-2025-26-014,2025-26,league_phase,2.9972771022662563,0.9577852666455549,1.1688002865839011,0,1,0.657954147709962,1.58,2.42,0.605,0.395,Over,0.605,0.6235339516984867,0.018533951698486706,-0.018533951698486706,Over,0.018533951698486706,1.58,0.5800000000000001
ucl-2025-26-017,2025-26,league_phase,3.2359056521445035,1.8562771078439455,1.379628544300558,0,1,0.6455478781703397,1.46,2.77,0.6548463356973996,0.3451536643026005,Over,0.6548463356973996,0.6515918755629286,-0.003254460134470949,0.003254460134470838,Under,0.003254460134470838,2.77,-1.0
ucl-2025-26-018,2025-26,league_phase,2.9101818623767297,0.9585000969469547,1.3782208861826444,0,1,0.6342570733061715,1.28,3.81,0.7485265225933202,0.2514734774066797,Over,0.7485265225933202,0.7085322153428182,-0.039994307250502015,0.039994307250502126,Under,0.039994307250502126,3.81,-1.0
ucl-2025-26-015,2025-26,league_phase,3.840374840983735,1.8626282896032402,2.3073578495687235,0,1,0.6296849081838417,1.54,2.48,0.6169154228855721,0.3830845771144278,Over,0.6169154228855721,0.6213847427399665,0.00446931985439436,-0.004469319854394249,Over,0.00446931985439436,1.54,0.54
ucl-2025-26-016,2025-26,league_phase,3.530792709339755,1.9685297029247888,1.3735270980300165,0,0,0.6699685750132607,1.64,2.29,0.5826972010178116,0.4173027989821883,Under,0.5826972010178116,0.6132421819162188,0.03054498089840718,-0.030544980898407126,Over,0.03054498089840718,1.64,-1.0
ucl-2025-26-020,2025-26,league_phase,4.8556065850657255,0.655097464099524,3.509962740043703,0,1,0.6548446436390774,1.23,4.21,0.7738970588235294,0.2261029411764706,Over,0.7738970588235294,0.7322287135089712,-0.04166834531455821,0.04166834531455818,Under,0.04166834531455818,4.21,-1.0
ucl-2025-26-019,2025-26,league_phase,3.508243848123403,2.304372252531646,1.3157255776304022,0,1,0.6656695572858166,1.42,2.9,0.6712962962962963,0.3287037037037036,Over,0.6712962962962963,0.6693269376426284,-0.001969358653667874,0.0019693586536679852,Under,0.0019693586536679852,2.9,-1.0
ucl-2025-26-021,2025-26,league_phase,3.242816304539599,1.0924662882462242,2.1913915936213755,0,0,0.5989757720360305,1.35,3.19,0.7026431718061673,0.2973568281938326,Under,0.7026431718061673,0.6663595818866194,-0.03628358991954794,0.036283589919548054,Under,0.036283589919548054,3.19,2.19
ucl-2025-26-022,2025-26,league_phase,2.9528556091167086,1.633627069586217,1.205874467268587,0,1,0.6375767301840459,1.35,3.2,0.7032967032967032,0.2967032967032967,Over,0.7032967032967032,0.6802947127072732,-0.023001990589430088,0.023001990589430144,Under,0.023001990589430144,3.2,-1.0
ucl-2025-26-023,2025-26,league_phase,3.4976804783023843,0.750535441562536,1.255331936292347,0,1,0.6987491220966628,1.58,2.38,0.601010101010101,0.398989898989899,Over,0.601010101010101,0.6352187583903977,0.03420865738029666,-0.03420865738029666,Over,0.03420865738029666,1.58,0.5800000000000001
ucl-2025-26-024,2025-26,league_phase,4.232965672175213,3.458515806162358,0.537447337992493,0,1,0.7558946429379553,1.71,2.21,0.5637755102040817,0.4362244897959184,Over,0.5637755102040817,0.6310172066609374,0.06724169645685574,-0.06724169645685579,Over,0.06724169645685574,1.71,0.71
