match_id,season,stage,y,total_xg,home_att,away_att,home_corners_for,home_corners_against,away_corners_for,away_corners_against,knockout,p_model,xbetCloseOver25,xbetCloseUnder25,market_over25,market_under25,actual_over25,p_market,p_final,edge_over,edge_under,bet,edge,odds,profit
ucl-2025-26-001,2025-26,league_phase,0,3.119089036264124,1.55,2.24646106867582,5.0,5.0,7.8,4.2,0,0.6222425418487937,2.21,1.69,0.4333333333333333,0.5666666666666667,Under,0.4333333333333333,0.4994515563137445,0.0661182229804112,-0.06611822298041115,Over,0.0661182229804112,2.21,-1.0
ucl-2025-26-002,2025-26,league_phase,1,3.412806524150069,0.9353374629281466,1.55,5.5,4.5,5.0,5.0,0,0.674068403728458,1.54,2.5,0.6188118811881189,0.3811881188118812,Over,0.6188118811881189,0.6381516640772376,0.01933978288911864,-0.01933978288911875,Over,0.01933978288911864,1.54,0.54
ucl-2025-26-006,2025-26,league_phase,1,3.9407499196434057,2.859359510475699,1.55,6.2,5.6,5.0,5.0,0,0.7279437422362792,1.43,2.9,0.6697459584295612,0.3302540415704388,Over,0.6697459584295612,0.6901151827619125,0.020369224332351332,-0.020369224332351332,Over,0.020369224332351332,1.43,0.42999999999999994
ucl-2025-26-003,2025-26,league_phase,1,3.052343604542907,1.0412533888593312,1.64292523005664,3.0,5.6,5.0,3.2,0,0.671247059217428,1.88,2.01,0.5167095115681234,0.4832904884318767,Over,0.5167095115681234,0.57079765324538,0.05408814167725662,-0.05408814167725673,Over,0.05408814167725662,1.88,0.8799999999999999
ucl-2025-26-005,2025-26,league_phase,0,3.1,1.55,1.55,5.0,5.0,5.0,5.0,0,0.6521865902893333,1.8,2.1,0.5384615384615385,0.4615384615384615,Under,0.5384615384615385,0.5782653066012667,0.03980376813972819,-0.039803768139728246,Over,0.03980376813972819,1.8,-1.0
ucl-2025-26-007,2025-26,league_phase,1,3.1,1.55,1.55,5.0,5.0,5.0,5.0,0,0.6521865902893333,1.62,2.34,0.5909090909090909,0.4090909090909091,Over,0.5909090909090909,0.6123562156921758,0.02144712478308486,-0.021447124783084914,Over,0.02144712478308486,1.62,0.6200000000000001
ucl-2025-26-008,2025-26,league_phase,0,3.1,1.55,1.55,5.0,5.0,5.0,5.0,0,0.6521865902893333,1.73,2.21,0.5609137055837563,0.4390862944162436,Under,0.5609137055837563,0.5928592152307083,0.031945509646951975,-0.031945509646951864,Over,0.031945509646951975,1.73,-1.0
ucl-2025-26-009,2025-26,league_phase,0,3.0567240888369094,1.55,1.8375354973754288,5.0,5.0,3.6,3.6,0,0.6849482215260453,1.63,2.3,0.5852417302798981,0.4147582697201017,Under,0.5852417302798981,0.6201390022160496,0.03489727193615144,-0.034897271936151275,Over,0.03489727193615144,1.63,-1.0
ucl-2025-26-010,2025-26,league_phase,1,3.7038395986619608,2.0433141922810685,1.8721196219635021,5.8,6.2,5.8,5.2,0,0.694706367428694,1.6,2.38,0.5979899497487436,0.4020100502512562,Over,0.5979899497487436,0.6318406959367262,0.03385074618798256,-0.033850746187982395,Over,0.03385074618798256,1.6,0.6000000000000001
ucl-2025-26-011,2025-26,league_phase,1,3.773000765696616,2.270397961147431,2.715068239353893,7.2,4.0,7.4,3.0,0,0.6983856486636904,1.5,2.63,0.6368038740920097,0.3631961259079903,Over,0.6368038740920097,0.6583574951920979,0.021553621100088183,-0.021553621100088127,Over,0.021553621100088183,1.5,0.5
ucl-2025-26-012,2025-26,league_phase,1,3.4251918738746614,2.462243342585859,1.55,7.8,4.6,5.0,5.0,0,0.7187230523459651,1.54,2.53,0.6216216216216216,0.3783783783783784,Over,0.6216216216216216,0.6556071223751418,0.03398550075352025,-0.03398550075352025,Over,0.03398550075352025,1.54,0.54
ucl-2025-26-013,2025-26,league_phase,1,2.928205492165088,1.55,1.2629944622516642,5.0,5.0,6.8,4.0,0,0.6823535174471397,2.09,1.81,0.464102564102564,0.5358974358974359,Over,0.464102564102564,0.5404903977731655,0.07638783367060153,-0.07638783367060142,Over,0.07638783367060153,2.09,1.0899999999999999
ucl-2025-26-014,2025-26,league_phase,1,2.9992675521604752,0.9577852666455549,1.7136807890686376,1.8,5.6,5.2,3.4,0,0.6291533232776537,1.58,2.42,0.605,0.395,Over,0.605,0.6134536631471788,0.00845366314717877,-0.00845366314717877,Over,0.00845366314717877,1.58,0.5800000000000001
ucl-2025-26-018,2025-26,league_phase,1,2.924341824557631,1.271127933636303,1.55,6.0,1.0,5.0,5.0,0,0.5841484000673104,1.28,3.81,0.7485265225933202,0.2514734774066797,Over,0.7485265225933202,0.6909941797092167,-0.05753234288410347,0.05753234288410358,Under,0.05753234288410358,3.81,-1.0
ucl-2025-26-017,2025-26,league_phase,1,3.1,1.55,1.55,5.0,5.0,5.0,5.0,0,0.6521865902893333,1.46,2.77,0.6548463356973996,0.3451536643026005,Over,0.6548463356973996,0.6539154248045764,-0.0009309108928231558,0.0009309108928230447,Under,0.0009309108928230447,2.77,-1.0
ucl-2025-26-016,2025-26,league_phase,0,3.53019831059888,2.127233683884439,1.55,7.4,4.8,5.0,5.0,0,0.7208627826278244,1.64,2.29,0.5826972010178116,0.4173027989821883,Under,0.5826972010178116,0.6310551545813161,0.048357953563504474,-0.04835795356350442,Over,0.048357953563504474,1.64,-1.0
ucl-2025-26-015,2025-26,league_phase,1,3.847888081908822,1.55,2.7739517210206395,5.0,5.0,6.2,3.8,0,0.6538544341421624,1.54,2.48,0.6169154228855721,0.3830845771144278,Over,0.6169154228855721,0.6298440768253787,0.012928653939806578,-0.012928653939806467,Over,0.012928653939806578,1.54,0.54
ucl-2025-26-019,2025-26,league_phase,1,3.508243848123403,2.304372252531646,1.3157255776304022,6.6,3.6,2.6,3.8,0,0.7396789829269148,1.42,2.9,0.6712962962962963,0.3287037037037036,Over,0.6712962962962963,0.6952302366170128,0.023933940320716496,-0.023933940320716385,Over,0.023933940320716496,1.42,0.41999999999999993
ucl-2025-26-020,2025-26,league_phase,1,4.587937032776628,0.655097464099524,2.9490426120036872,3.0,8.0,7.0,5.2,0,0.653482424346543,1.23,4.21,0.7738970588235294,0.2261029411764706,Over,0.7738970588235294,0.7317519367565841,-0.04214512206694532,0.04214512206694529,Under,0.04214512206694529,4.21,-1.0
ucl-2025-26-026,2025-26,league_phase,0,3.771649668041613,0.7316614557057647,2.305971311424677,2.0,6.0,1.5,6.5,0,0.5652503657013982,1.78,2.1,0.5412371134020618,0.458762886597938,Under,0.5412371134020618,0.5496417517068295,0.008404638304767675,-0.008404638304767509,Over,0.008404638304767675,1.78,-1.0
ucl-2025-26-025,2025-26,league_phase,1,2.69010710474878,0.272198724560442,2.4440432425665826,0.0,9.0,7.8,2.2,0,0.6231156294986301,1.27,3.75,0.7470119521912351,0.252988047808765,Over,0.7470119521912351,0.7036482392488234,-0.0433637129424117,0.04336371294241165,Under,0.04336371294241165,3.75,-1.0
