match_id,date,home_slug,away_slug,home_odds,draw_odds,away_odds
ucl-2024-25-079,26.11.2024,Inter,RB Leipzig,1.44,4.75,7.11
ucl-2024-25-080,26.11.2024,Manchester City,Feyenoord,1.17,7.82,15.88
ucl-2024-25-081,26.11.2024,Bayer Leverkusen,Salzburg,1.21,7.19,12.85
ucl-2024-25-082,27.11.2024,Sturm Graz,Girona,3.75,3.6,1.99
ucl-2024-25-083,,,,,,
ucl-2024-25-084,12.02.2025,Monaco,Benfica,2.5,3.53,2.76
ucl-2024-25-085,27.11.2024,Aston Villa,Juventus,2.22,3.19,3.55
ucl-2024-25-086,27.11.2024,Bologna,Lille,2.33,3.14,3.33
ucl-2024-25-087,27.11.2024,Liverpool,Real Madrid,1.83,4.02,3.95
ucl-2024-25-088,27.11.2024,Celtic,Club Brugge KV,2.05,3.56,3.57
ucl-2024-25-089,27.11.2024,Din. Zagreb,Dortmund,7.2,4.72,1.44
ucl-2024-25-090,27.11.2024,PSV,Shakhtar Donetsk,1.39,5.28,7.32
ucl-2024-25-091,10.12.2024,Girona,Liverpool,8.0,5.38,1.36
ucl-2024-25-092,10.12.2024,Din. Zagreb,Celtic,4.19,3.87,1.85
ucl-2024-25-093,,,,,,
ucl-2024-25-094,10.12.2024,RB Leipzig,Aston Villa,2.99,3.34,2.42
ucl-2024-25-095,10.12.2024,Atalanta,Real Madrid,2.63,3.56,2.58
ucl-2024-25-096,10.12.2024,Bayer Leverkusen,Inter,2.23,3.3,3.36
ucl-2024-25-097,10.12.2024,Club Brugge KV,Sporting CP,2.5,3.43,2.85
ucl-2024-25-098,10.12.2024,Shakhtar Donetsk,Bayern Munich,17.16,8.14,1.16
ucl-2024-25-099,10.12.2024,Salzburg,PSG,10.9,6.38,1.26
ucl-2024-25-100,11.12.2024,Atl. Madrid,Slovan Bratislava,1.05,16.64,40.09
ucl-2024-25-101,11.12.2024,Lille,Sturm Graz,1.5,4.41,6.66
ucl-2024-25-102,11.12.2024,Stuttgart,Young Boys,1.32,5.89,8.43
ucl-2024-25-103,15.04.2025,Dortmund,Barcelona,3.4,4.13,1.98
ucl-2024-25-104,,,,,,
ucl-2024-25-105,11.12.2024,Benfica,Bologna,1.41,4.82,8.05
ucl-2024-25-106,11.12.2024,Arsenal,Monaco,1.33,5.61,8.56
ucl-2024-25-107,11.12.2024,Juventus,Manchester City,4.04,3.64,1.92
ucl-2024-25-108,11.12.2024,Feyenoord,Sparta Prague,1.36,5.27,7.99
ucl-2024-25-109,21.01.2025,Monaco,Aston Villa,2.61,3.46,2.65
ucl-2024-25-110,21.01.2025,Atalanta,Sturm Graz,1.24,6.28,12.52
ucl-2024-25-111,21.01.2025,Bologna,Dortmund,2.65,3.26,2.72
ucl-2024-25-112,21.01.2025,Slovan Bratislava,Stuttgart,11.15,6.95,1.23
ucl-2024-25-113,21.01.2025,Liverpool,Lille,1.29,5.74,9.93
ucl-2024-25-114,21.01.2025,Atl. Madrid,Bayer Leverkusen,2.44,3.15,3.08
ucl-2024-25-115,05.03.2025,Benfica,Barcelona,3.87,4.2,1.81
ucl-2024-25-116,21.01.2025,Club Brugge KV,Juventus,3.27,3.15,2.33
