event_id,kickoff,home_team,away_team,home_goals,away_goals,team,side,player_id,player_name,position_raw,position_group,starter,subbed_in,subbed_out,minutes,goals,assists,shots,shots_on_target,saves,fouls_committed,fouls_suffered,yellow_cards,red_cards,own_goals
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,93197,Yann Sommer,G,GK,1,0,0,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,148842,Francesco Acerbi,CD,DEF,1,0,0,90.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,249280,Alessandro Bastoni,CD-L,DEF,1,0,0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,215378,Benjamin Pavard,CD-R,DEF,1,0,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,147625,Henrikh Mkhitaryan,CM-L,MID,1,0,1,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,204441,Nicolò Barella,CM-R,MID,1,0,0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,170785,Hakan Çalhanoglu,AM,ATT,1,0,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,194748,Federico Dimarco,LM,MID,1,0,1,54.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,213248,Denzel Dumfries,RM,MID,1,0,0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,219713,Lautaro Martínez,CF-L,ATT,1,0,0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,217331,Marcus Thuram,CF-R,ATT,1,0,0,90.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0
733620,2025-05-31T19:00Z,Paris Saint-Germain,Internazionale,5,0,Internazionale,away,141443,Stefan de Vrij,SUB,SUB,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
