home_team,away_team,venue,date
Brisbane Lions,Sydney Swans,The Gabba,2026-06-26
Hawthorn Hawks,Greater Western Sydney Giants,MCG,2026-06-27
Carlton Blues,West Coast Eagles,Marvel Stadium,2026-06-27
Collingwood Magpies,Richmond Tigers,MCG,2026-06-28
Port Adelaide Power,Adelaide Crows,Adelaide Oval,2026-06-28
North Melbourne Kangaroos,Essendon Bombers,Marvel Stadium,2026-06-29
Fremantle Dockers,Gold Coast Suns,Optus Stadium,2026-06-29
