date,home,away,venue,is_final,ml_home_prob,ml_margin,ml_total,ml_confidence,ml_home_odds,ml_away_odds,mkt_home_open,mkt_away_open,mkt_home_prob,home_line_open,total_line_open,ev_home,ev_away,handicap_edge,total_edge,actual_home_score,actual_away_score,actual_margin,actual_total,actual_home_win,home_covers,over_hit
2025-08-16,Gold Coast Suns,Greater Western Sydney Giants,People First Stadium,0,0.6341,10.0,156.6,0.6341,1.577,2.733,1.5,2.6,0.6341,-12.5,174.5,-0.0488,-0.0487,-2.5,-17.9,76.0,111.0,-35.0,187.0,0,0,1
2025-08-16,Carlton Blues,Port Adelaide Power,Marvel Stadium,0,0.6341,11.9,158.0,0.6341,1.577,2.733,1.47,2.7,0.6475,-13.5,172.5,-0.0679,-0.0121,-1.6,-14.5,118.0,64.0,54.0,182.0,1,1,1
2025-08-16,Hawthorn Hawks,Melbourne Demons,MCG,0,0.5599,8.9,150.0,0.5599,1.786,2.272,1.38,3.1,0.692,-17.5,165.5,-0.2274,0.3643,-8.6,-15.5,92.0,56.0,36.0,148.0,1,1,0
2025-08-16,Adelaide Crows,Collingwood Magpies,Adelaide Oval,0,0.6961,21.2,171.8,0.6961,1.436,3.291,1.52,2.55,0.6265,-11.5,164.5,0.0581,-0.2252,9.7,7.3,59.0,56.0,3.0,115.0,1,0,0
2025-08-17,North Melbourne Kangaroos,Richmond Tigers,Ninja Stadium,0,0.669,0.2,174.1,0.669,1.495,3.021,1.54,2.5,0.6188,-10.5,165.5,0.0302,-0.1724,-10.3,8.6,135.0,87.0,48.0,222.0,1,1,1
2025-08-17,Sydney Swans,Geelong Cats,SCG,0,0.5865,1.1,178.6,0.5865,1.705,2.418,3.35,1.333,0.2846,19.5,170.5,0.9647,-0.4488,20.6,8.1,68.0,111.0,-43.0,179.0,0,0,1
2025-08-17,Western Bulldogs,West Coast Eagles,Marvel Stadium,0,0.8565,79.6,174.8,0.8565,1.168,6.967,1.006,23.0,0.9581,-70.5,180.5,-0.1384,2.3013,9.1,-5.7,126.0,32.0,94.0,158.0,1,1,0
2025-08-21,Essendon Bombers,Carlton Blues,MCG,0,0.2995,-32.9,161.3,0.7005,3.338,1.428,3.5,1.31,0.2723,20.5,166.5,0.0484,-0.0824,-12.4,-5.2,56.0,90.0,-34.0,146.0,0,0,0
2025-08-22,Collingwood Magpies,Melbourne Demons,MCG,0,0.6078,-23.6,172.7,0.6078,1.645,2.55,1.38,3.1,0.692,-17.5,165.5,-0.1612,0.2158,-41.1,7.2,82.0,76.0,6.0,158.0,1,0,0
2025-08-22,Port Adelaide Power,Gold Coast Suns,Adelaide Oval,0,0.438,-11.4,168.6,0.562,2.283,1.779,3.75,1.28,0.2545,22.5,171.5,0.6424,-0.2806,11.1,-2.9,71.0,67.0,4.0,138.0,1,1,0
2025-08-23,North Melbourne Kangaroos,Adelaide Crows,Marvel Stadium,0,0.1498,-14.5,187.8,0.8502,6.674,1.176,7.5,1.09,0.1269,41.5,178.5,0.1237,-0.0733,27.0,9.3,100.0,113.0,-13.0,213.0,0,1,1
2025-08-23,Richmond Tigers,Geelong Cats,MCG,0,0.0736,-37.3,172.8,0.9264,13.579,1.079,11.0,1.04,0.0864,51.5,174.5,-0.1899,-0.0366,14.2,-1.7,64.0,103.0,-39.0,167.0,0,1,0
2025-08-23,West Coast Eagles,Sydney Swans,Optus Stadium,0,0.2816,-29.1,165.6,0.7184,3.551,1.392,4.6,1.2,0.2069,28.5,165.5,0.2953,-0.1379,-0.6,0.1,51.0,118.0,-67.0,169.0,0,0,1
2025-08-24,Greater Western Sydney Giants,St Kilda Saints,ENGIE Stadium,0,0.7477,38.0,183.4,0.7477,1.337,3.964,1.25,4.0,0.7619,-24.5,173.5,-0.0653,0.009,13.5,9.9,104.0,93.0,11.0,197.0,1,0,1
2025-08-24,Western Bulldogs,Fremantle Dockers,Marvel Stadium,0,0.4702,17.3,161.0,0.5298,2.127,1.888,1.42,2.9,0.6713,-15.5,172.5,-0.3323,0.5364,1.8,-11.5,97.0,112.0,-15.0,209.0,0,0,1
2025-08-24,Brisbane Lions,Hawthorn Hawks,Gabba,0,0.5884,-15.3,161.6,0.5884,1.699,2.43,1.52,2.55,0.6265,-11.5,165.5,-0.1056,0.0495,-26.8,-3.9,89.0,79.0,10.0,168.0,1,0,1
2025-08-27,Gold Coast Suns,Essendon Bombers,People First Stadium,0,0.9022,53.8,191.7,0.9022,1.108,10.221,1.03,12.0,0.921,-55.5,168.5,-0.0708,0.174,-1.7,23.2,153.0,58.0,95.0,211.0,1,1,1
2025-09-04,Adelaide Crows,Collingwood Magpies,Adelaide Oval,1,0.5927,11.2,182.6,0.5927,1.687,2.455,1.54,2.5,0.6188,-10.5,160.5,-0.0872,0.0182,0.7,22.1,55.0,79.0,-24.0,134.0,0,0,0
2025-09-05,Geelong Cats,Brisbane Lions,MCG,1,0.5967,9.6,182.7,0.5967,1.676,2.479,1.68,2.2,0.567,-6.5,170.5,0.0024,-0.1127,3.1,12.2,112.0,74.0,38.0,186.0,1,1,1
2025-09-06,Greater Western Sydney Giants,Hawthorn Hawks,ENGIE Stadium,1,0.6141,0.6,187.4,0.6141,1.628,2.591,1.75,2.1,0.5455,-4.5,169.5,0.0747,-0.1896,-3.9,17.9,88.0,107.0,-19.0,195.0,0,0,1
2025-09-06,Fremantle Dockers,Gold Coast Suns,Optus Stadium,1,0.6183,16.9,174.2,0.6183,1.617,2.62,1.52,2.55,0.6265,-11.5,168.5,-0.0602,-0.0266,5.4,5.7,79.0,80.0,-1.0,159.0,0,0,0
2025-09-12,Adelaide Crows,Hawthorn Hawks,Adelaide Oval,1,0.4726,-11.5,185.6,0.5274,2.116,1.896,1.8,2.02,0.5288,-2.5,169.5,-0.1493,0.0654,-14.0,16.1,67.0,101.0,-34.0,168.0,0,0,0
2025-09-13,Brisbane Lions,Gold Coast Suns,Gabba,1,0.6228,14.6,183.8,0.6228,1.606,2.651,1.48,2.65,0.6416,-13.5,169.5,-0.0783,-0.0003,1.1,14.3,100.0,47.0,53.0,147.0,1,1,0
2025-09-19,Geelong Cats,Hawthorn Hawks,MCG,1,0.5938,18.8,180.8,0.5938,1.684,2.462,1.56,2.45,0.611,-10.5,168.5,-0.0737,-0.0048,8.3,12.3,115.0,85.0,30.0,200.0,1,1,1
2025-09-20,Collingwood Magpies,Brisbane Lions,MCG,1,0.4229,-5.7,156.0,0.5771,2.365,1.733,1.7,2.18,0.5619,-5.5,161.5,-0.2811,0.2581,-11.2,-5.5,71.0,100.0,-29.0,171.0,0,0,1
2025-09-27,Geelong Cats,Brisbane Lions,MCG,1,0.5243,1.8,173.6,0.5243,1.907,2.102,1.54,2.5,0.6188,-11.5,171.5,-0.1925,0.1892,-9.7,2.1,75.0,122.0,-47.0,197.0,0,0,1
