id,date,match,market,team,line,odds,stake,result,support_10,support_20,support_30,conflict_10,conflict_20,conflict_30,support_rows,conflict_rows
420,2026-06-20,Adelaide Crows vs Melbourne Demons,Adelaide -4.5 PYL,Adelaide Crows,-4.5,1.82,22.0,win,1,0,0,2,1,1,2.0% Cover Rate — Home; 16.0% Saturday Games,14.2% Night Games (kick-off ≥ 18:00); 2.2% After a Win; 7.6% June; 50.0% vs Melbourne; 3.8% Adelaide Oval; 4.6% As Favourite (line < 0)
421,2026-06-20,Collingwood Magpies vs Port Adelaide Power,Collingwood -13.5,Collingwood Magpies,-13.5,1.9,25.0,win,1,1,1,4,1,1,5.8% Saturday Games; 100.0% vs Port Adelaide,11.6% Cover Rate — Home; 13.8% Day Games (kick-off < 18:00); 3.2% After a Loss; 33.4% June; 8.0% MCG; 18.8% As Favourite (line < 0)
436,2026-06-26,Hawthorn Hawks vs GWS Giants,Hawthorn -19.5,Hawthorn Hawks,-19.5,1.9,25.0,loss,6,5,3,0,0,0,22.8% Cover Rate — Home; 22.2% Day Games (kick-off < 18:00); 6.6% Thursday / Friday Games; 19.2% After a Win; 38.4% June; 42.8% vs GWS Giants; 7.6% MCG; 39.4% As Favourite (line < 0),
439,2026-06-27,Carlton Blues vs West Coast Eagles,Carlton -32.5,Carlton Blues,-32.5,1.9,20.23,win,2,1,1,1,0,0,4.2% After a Win; 7.6% June; 100.0% vs West Coast; 10.4% Marvel Stadium,4.4% Cover Rate — Home; 14.2% Night Games (kick-off ≥ 18:00); 5.6% As Favourite (line < 0)
440,2026-06-28,North Melbourne Kangaroos vs Essendon Bombers,North Melbourne -15.5,North Melbourne Kangaroos,-15.5,1.9,15.82,loss,3,2,1,1,1,0,28.6% June; 60.0% vs Essendon; 17.0% Marvel Stadium,2.2% Cover Rate — Home; 2.6% Day Games (kick-off < 18:00); 5.8% Sunday Games; 7.6% After a Win; 25.0% As Favourite (line < 0)
446,2026-07-03,West Coast Eagles vs Adelaide Crows,Adelaide -28.5,Adelaide Crows,-28.5,1.9,25.0,loss,5,3,2,2,2,0,13.6% Cover Rate — Away; 20.6% Day Games (kick-off < 18:00); 19.2% After a Loss; 33.4% July; 42.8% vs West Coast,25.0% Thursday / Friday Games; 20.0% Optus Stadium; 4.6% As Favourite (line < 0)
454,2026-07-05,Port Adelaide Power vs North Melbourne Kangaroos,North Melbourne +15.5,North Melbourne Kangaroos,15.5,1.9,30.0,loss,1,1,1,3,2,1,50.0% Adelaide Oval,13.0% Cover Rate — Away; 2.6% Day Games (kick-off < 18:00); 5.8% Sunday Games; 7.6% After a Win; 22.2% July; 50.0% vs Port Adelaide; 6.0% As Underdog  (line > 0)
464,2026-07-11,Adelaide Crows vs Gold Coast Suns,Adelaide -17.5,Adelaide Crows,-17.5,1.9,50.0,win,4,3,2,0,0,0,2.0% Cover Rate — Home; 20.6% Day Games (kick-off < 18:00); 16.0% Saturday Games; 33.4% July; 33.4% vs Gold Coast,2.2% After a Win; 3.8% Adelaide Oval; 4.6% As Favourite (line < 0)
470,2026-07-16,Geelong Cats vs St Kilda,Geelong -11.5,Geelong Cats,-11.5,1.9,19.25,win,5,1,1,1,1,1,19.2% Cover Rate — Home; 13.8% Day Games (kick-off < 18:00); 4.0% Thursday / Friday Games; 13.4% Short Rest (≤ 6 days); 6.2% After a Loss; 53.0% July; 13.6% GMHBA Stadium; 5.2% As Favourite (line < 0),71.4% vs St Kilda
473,2026-07-18,Port Adelaide vs Fremantle,Port Adelaide +10.5,Port Adelaide Power,10.5,1.89,30.0,loss,1,1,1,2,1,1,4.0% Cover Rate — Home; 4.0% Night Games (kick-off ≥ 18:00); 33.4% vs Fremantle; 2.2% As Underdog  (line > 0),11.6% Saturday Games; 2.4% After a Loss; 44.4% July; 3.8% Adelaide Oval
474,2026-07-18,Port Adelaide vs Fremantle,Port Adelaide +47.5,Port Adelaide Power,47.5,1.9,25.0,win,1,1,1,2,1,1,4.0% Cover Rate — Home; 4.0% Night Games (kick-off ≥ 18:00); 33.4% vs Fremantle; 2.2% As Underdog  (line > 0),11.6% Saturday Games; 2.4% After a Loss; 44.4% July; 3.8% Adelaide Oval
477,2026-07-18,Collingwood vs Carlton,Collingwood -15.5,Collingwood Magpies,-15.5,1.89,20.0,win,1,1,1,4,0,0,5.8% Saturday Games; 50.0% vs Carlton,11.6% Cover Rate — Home; 13.8% Day Games (kick-off < 18:00); 1.4% After a Win; 11.2% July; 8.0% MCG; 18.8% As Favourite (line < 0)
492,2026-07-30,Collingwood Magpies vs Geelong Cats,Geelong -2.5 PYL,Geelong Cats,-2.5,1.77,50.0,win,5,1,1,1,0,0,6.4% Cover Rate — Away; 13.8% Day Games (kick-off < 18:00); 4.0% Thursday / Friday Games; 13.4% Short Rest (≤ 6 days); 15.2% After a Win; 53.0% July; 17.2% MCG; 5.2% As Favourite (line < 0),11.2% Full Moon (±1 day)
507,2026-08-07,Brisbane Lions vs Hawthorn,Lions -2.5,Brisbane Lions,-2.5,1.91,25.0,win,0,0,0,4,1,0,5.8% Thursday / Friday Games; 7.2% Short Rest (≤ 6 days); 6.2% After a Loss,5.8% Cover Rate — Home; 13.8% Day Games (kick-off < 18:00); 6.6% August; 20.0% vs Hawthorn; 10.2% Gabba; 13.6% As Favourite (line < 0)
