week,league,home,away,market,selection,side,model_prob,reference_price,price_status,match_date,opening_odds,closing_odds,opening_no_vig_prob,closing_no_vig_prob,model_edge_open_pp,model_edge_close_pp,market_move_clv_pct,reference_price_clv_pct,beat_close,shortened
1,EPL,Arsenal,Coventry,1X2,Draw,D,0.191,7.5,prior report closing quote; no placement ledger,2026-08-21,6.77,6.72,0.13954451208880023,0.14124293785310735,5.145548791119977,4.975706214689265,0.7440476190476275,11.607142857142861,True,True
1,EPL,Arsenal,Coventry,1X2,Coventry win,A,0.111,13.0,prior report closing quote; no placement ledger,2026-08-21,14.19,14.0,0.06657620485138671,0.06779661016949153,4.442379514861329,4.320338983050847,1.3571428571428568,-7.14285714285714,False,True
1,EPL,Brentford,Tottenham,O/U 2.5,Over 2.5,Over,0.673,1.67,prior report closing quote; no placement ledger,2026-08-22,1.69,1.65,0.5587467362924282,0.5691906005221932,11.425326370757183,10.380939947780687,2.4242424242424176,1.21212121212122,True,True
1,EPL,Hull,Man United,1X2,Hull win,H,0.325,9.0,prior report closing quote; no placement ledger,2026-08-22,8.37,8.49,0.1129665167702575,0.11114483694461262,21.203348322974254,21.385516305538737,-1.4134275618374659,6.0070671378091856,True,False
1,EPL,Hull,Man United,1X2,Draw,D,0.255,5.0,prior report closing quote; no placement ledger,2026-08-22,4.93,5.11,0.1917910234010254,0.18466138271228205,6.320897659897459,7.033861728771795,-3.522504892367917,-2.1526418786692814,False,False
1,EPL,Nott'm Forest,Leeds,O/U 2.5,Over 2.5,Over,0.505,2.2,prior report closing quote; no placement ledger,2026-08-22,1.91,2.12,0.48930481283422456,0.44356955380577423,1.5695187165775448,6.143044619422577,-9.905660377358494,3.7735849056603765,True,False
1,EPL,Newcastle,Liverpool,1X2,Newcastle win,H,0.342,3.9,prior report closing quote; no placement ledger,2026-08-23,3.57,3.66,0.26408582789406554,0.25877471527160334,7.7914172105934485,8.322528472839668,-2.4590163934426257,6.557377049180313,True,False
1,EPL,Newcastle,Liverpool,O/U 2.5,Over 2.5,Over,0.778,1.44,prior report closing quote; no placement ledger,2026-08-23,1.51,1.49,0.6262376237623761,0.6339066339066339,15.17623762376239,14.40933660933661,1.342281879194629,-3.3557046979865834,False,True
1,EPL,Fulham,Chelsea,1X2,Fulham win,H,0.337,3.6,prior report closing quote; no placement ledger,2026-08-24,3.66,3.57,0.25576021939579774,0.2640384816480184,8.123978060420228,7.296151835198161,2.521008403361358,0.8403361344537785,True,True
2,EPL,Bournemouth,Everton,1X2,Everton win,A,0.36168,3.85,saved_week2_selection,2026-08-29,3.41,3.24,0.27792482795129697,0.29217086813033577,8.375517204870302,6.950913186966423,5.246913580246915,18.827160493827154,True,True
2,EPL,Tottenham,Newcastle,1X2,Newcastle win,A,0.408053,3.32,saved_week2_selection,2026-08-29,2.88,3.06,0.32583467237993213,0.30702693027545064,8.221832762006787,10.102606972454936,-5.882352941176472,8.496732026143782,True,False
2,EPL,Tottenham,Newcastle,O/U 2.5,Over 2.5,Over,0.7044,1.769,matrix_verification_required,2026-08-29,1.64,1.6,0.5718015665796344,0.5854922279792746,13.25984334203656,11.890777202072545,2.499999999999991,10.562499999999986,True,True
2,EPL,Leeds,Brentford,1X2,Brentford win,A,0.507138,2.94,saved_week2_selection,2026-08-30,2.67,2.48,0.35341601232846553,0.37957560546302027,15.372198767153444,12.75623945369797,7.6612903225806495,18.5483870967742,True,True
2,EPL,Sunderland,Fulham,1X2,Fulham win,A,0.453853,3.46,saved_week2_selection,2026-08-30,2.96,3.28,0.3172514380295308,0.28781633473357343,13.660156197046918,16.60366652664266,-9.756097560975608,5.487804878048785,True,False
2,EPL,Aston Villa,Arsenal,1X2,Aston Villa win,H,0.280852,6.5,price_verification_required,2026-08-31,5.99,6.54,0.1562937036694195,0.14425907752698724,12.45582963305805,13.659292247301275,-8.409785932721714,-0.6116207951070374,False,False
