sport,home,away,date,model_margin,model_hcap_line,open_line,close_line,actual_margin,hcap_model_err,hcap_close_err,hcap_clv_pts,model_total,open_total,close_total,actual_total,total_model_err,total_close_err,total_clv_pts,model_home_odds,model_away_odds,close_h2h_home,close_h2h_away,actual_home_win,model_fav_correct,close_fav_correct
AFL,Adelaide Crows,Collingwood Magpies,2026-07-23,14.7,-14.7,-14.5,-17.5,-34,48.7,51.5,+2.8,179.0,163.5,165.5,182,3.0,16.5,+13.5,1.52,2.93,1.36,3.2,0,0,0
AFL,Melbourne Demons,Geelong Cats,2026-07-24,-8.2,8.2,-1.5,1.5,-20,11.8,18.5,+6.7,176.8,176.5,177.5,214,37.2,36.5,-0.7,2.44,1.69,1.95,1.85,0,1,1
AFL,Fremantle Dockers,West Coast Eagles,2026-07-24,62.0,-62.0,-42.5,-49.5,70,8.0,20.5,+12.5,177.2,171.5,172.5,154,23.2,18.5,-4.7,1.04,23.53,1.04,11,1,1,1
AFL,Carlton Blues,Gold Coast Suns,2026-07-25,4.2,-4.2,-6.5,-6.5,13,8.8,6.5,-2.3,158.6,170.5,172.5,207,48.4,34.5,-13.9,1.83,2.21,1.65,2.25,1,1,1
AFL,Hawthorn Hawks,Essendon Bombers,2026-07-25,53.0,-53.0,-53.5,-60.5,93,40.0,32.5,-7.5,155.2,169.5,178.5,171,15.8,7.5,-8.3,1.08,14.22,1.02,14,1,1,1
AFL,Greater Western Sydney Giants,Sydney Swans,2026-07-25,-14.2,14.2,9.5,10.5,-51,36.8,40.5,+3.7,181.8,184.5,185.5,227,45.2,41.5,-3.7,2.89,1.53,2.65,1.48,0,1,1
AFL,Western Bulldogs,Richmond Tigers,2026-07-25,47.7,-47.7,-41.5,-39.5,57,9.3,17.5,+8.2,151.7,172.5,177.5,153,1.3,24.5,+23.2,1.1,10.8,1.09,7.5,1,1,1
AFL,Brisbane Lions,Port Adelaide Power,2026-07-26,37.5,-37.5,-38.5,-46.5,59,21.5,12.5,-9.0,179.4,188.5,190.5,193,13.6,2.5,-11.1,1.18,6.71,1.07,8.5,1,1,1
AFL,North Melbourne Kangaroos,St Kilda Saints,2026-07-26,-6.7,6.7,12.5,14.5,-31,24.3,16.5,-7.8,162.0,176.5,178.5,155,7.0,23.5,+16.5,2.35,1.74,2.75,1.45,0,1,1
