home_team,away_team,venue,date
Adelaide Crows,Geelong Cats,Adelaide Oval,2026-06-04
Hawthorn Hawks,Western Bulldogs,MCG,2026-06-05
North Melbourne Kangaroos,Fremantle Dockers,Marvel Stadium,2026-06-06
Gold Coast Suns,Brisbane Lions,People First Stadium,2026-06-06
West Coast Eagles,Port Adelaide Power,Optus Stadium,2026-06-06
Sydney Swans,St Kilda Saints,SCG,2026-06-07
Essendon Bombers,Carlton Blues,Marvel Stadium,2026-06-07
Collingwood Magpies,Melbourne Demons,MCG,2026-06-08
