rules_weight,games,brier,log_loss,threshold,bets,profit,roi
0.0,108,0.19633038583333332,0.5678302160847069,0.05,92,4.490000000000001,0.04880434782608698
0.0,108,0.19633038583333332,0.5678302160847069,0.07,81,5.710000000000001,0.07049382716049388
0.0,108,0.19633038583333332,0.5678302160847069,0.1,70,9.080000000000002,0.12971428571428573
0.25,108,0.1859207921064815,0.5422598324627123,0.05,86,12.830000000000002,0.14918604651162792
0.25,108,0.1859207921064815,0.5422598324627123,0.07,69,3.6800000000000006,0.05333333333333334
0.25,108,0.1859207921064815,0.5422598324627123,0.1,58,5.440000000000001,0.09379310344827586
0.5,108,0.18245135999999998,0.5342547120347662,0.05,78,8.91,0.11423076923076923
0.5,108,0.18245135999999998,0.5342547120347662,0.07,60,17.03,0.2838333333333333
0.5,108,0.18245135999999998,0.5342547120347662,0.1,45,8.07,0.17933333333333334
0.6,108,0.18300683241111113,0.5352031456186069,0.05,70,14.14,0.202
0.6,108,0.18300683241111113,0.5352031456186069,0.07,58,12.96,0.22344827586206897
0.6,108,0.18300683241111113,0.5352031456186069,0.1,38,1.9600000000000006,0.05157894736842108
0.7,108,0.18467273068148146,0.5386390401284191,0.05,68,8.66,0.1273529411764706
0.7,108,0.18467273068148146,0.5386390401284191,0.07,52,6.07,0.11673076923076924
0.7,108,0.18467273068148146,0.5386390401284191,0.1,33,0.0800000000000003,0.0024242424242424264
0.75,108,0.18592208951388892,0.5413829223900211,0.05,71,5.62,0.0791549295774648
0.75,108,0.18592208951388892,0.5413829223900211,0.07,46,1.6200000000000003,0.03521739130434784
0.75,108,0.18592208951388892,0.5413829223900211,0.1,32,5.180000000000001,0.161875
0.8,108,0.18744905481111118,0.5448951619510571,0.05,68,1.6600000000000004,0.02441176470588235
0.8,108,0.18744905481111118,0.5448951619510571,0.07,55,0.4300000000000004,0.007818181818181821
0.8,108,0.18744905481111118,0.5448951619510571,0.1,31,-1.1199999999999999,-0.03612903225806452
0.9,108,0.19133580480000004,0.5546622759285528,0.05,64,-2.1099999999999994,-0.032968750000000005
0.9,108,0.19133580480000004,0.5546622759285528,0.07,54,-4.07,-0.07537037037037038
0.9,108,0.19133580480000004,0.5546622759285528,0.1,38,-0.5199999999999998,-0.013684210526315802
1.0,108,0.19633298064814816,0.5695053633773789,0.05,72,-7.71,-0.10708333333333332
1.0,108,0.19633298064814816,0.5695053633773789,0.07,61,-5.51,-0.09032786885245901
1.0,108,0.19633298064814816,0.5695053633773789,0.1,41,-3.66,-0.08926829268292684
