round_number,home_team,away_team,rules_margin,ml_margin,rules_home_prob,ml_h2h,game_date,date,home_win,home_margin,mkt_home_prob_open,h2h_home_close,h2h_away_close,home_line_close,date_gap,combined_h2h_home_prob,combined_h2h_home_odds,combined_h2h_away_odds,closing_no_vig_home_prob,h2h_home_edge,h2h_selection,h2h_edge,h2h_qualifies_7pp,h2h_odds,h2h_won,h2h_profit,combined_margin,handicap_edge_home,handicap_selection,handicap_edge,handicap_qualifies_6pt,handicap_won,handicap_push,handicap_profit_at_1_90
8,Collingwood Magpies,Hawthorn Hawks,-5.4,5.3,0.44,0.875,2026-04-30,2026-04-30,0.0,0.0,0.3333,4.2,1.23,27.5,0.0,0.6140000000000001,1.6286644951140063,2.5906735751295344,0.22651933701657456,0.38748066298342554,Collingwood Magpies,0.38748066298342554,True,4.2,False,-1.0,2.6249999999999996,30.125,Collingwood Magpies,30.125,True,True,False,0.9
8,Western Bulldogs,Fremantle Dockers,9.1,-5.8,0.6,0.687,2026-05-01,2026-05-01,0.0,-12.0,0.3224,3.15,1.36,19.5,0.0,0.6348,1.575299306868305,2.738225629791895,0.30155210643015523,0.3332478935698448,Western Bulldogs,0.3332478935698448,True,3.15,False,-1.0,-2.0749999999999997,17.425,Western Bulldogs,17.425,True,True,False,0.9
8,Adelaide Crows,Port Adelaide Power,55.7,47.3,0.9390000000000001,0.85,2026-05-01,2026-05-01,1.0,1.0,0.6881,1.58,2.4,-8.5,0.0,0.9034,1.1069293779056897,10.351966873706003,0.6030150753768844,0.3003849246231156,Adelaide Crows,0.3003849246231156,True,1.58,True,0.5800000000000001,49.39999999999999,40.89999999999999,Adelaide Crows,40.89999999999999,True,False,False,-1.0
8,Essendon Bombers,Brisbane Lions,-44.1,-14.5,0.11,0.517,2026-05-02,2026-05-02,0.0,-64.0,0.2077,8.5,1.07,47.5,0.0,0.27280000000000004,3.6656891495601167,1.3751375137513753,0.11180773249738768,0.16099226750261236,Essendon Bombers,0.16099226750261236,True,8.5,False,-1.0,-21.9,25.6,Essendon Bombers,25.6,True,False,False,-1.0
8,West Coast Eagles,Richmond Tigers,19.9,22.0,0.7090000000000001,0.777,2026-05-02,2026-05-02,0.0,-11.0,0.6744,1.37,3.05,-19.5,0.0,0.7362000000000001,1.3583265417006247,3.7907505686125864,0.6900452488687784,0.046154751131221694,West Coast Eagles,0.046154751131221694,False,1.37,False,,21.475,1.9750000000000014,West Coast Eagles,1.9750000000000014,False,False,False,
8,Geelong Cats,North Melbourne Kangaroos,62.3,41.5,0.958,0.8170000000000001,2026-05-02,2026-05-02,1.0,49.0,0.777,1.23,4.2,-27.5,0.0,0.9016,1.109139307897072,10.162601626016256,0.7734806629834253,0.12811933701657463,Geelong Cats,0.12811933701657463,True,1.23,True,0.22999999999999998,46.7,19.200000000000003,Geelong Cats,19.200000000000003,True,True,False,0.9
8,Carlton Blues,St Kilda Saints,6.4,0.9,0.57,0.757,2026-05-02,2026-05-02,0.0,-39.0,0.3781,2.45,1.54,10.5,0.0,0.6448,1.5508684863523572,2.8153153153153156,0.38596491228070173,0.2588350877192983,Carlton Blues,0.2588350877192983,True,2.45,False,-1.0,2.2750000000000004,12.775,Carlton Blues,12.775,True,False,False,-1.0
8,Sydney Swans,Melbourne Demons,56.8,38.8,0.943,0.8809999999999999,2026-05-03,2026-05-03,1.0,17.0,0.8104,1.12,6.25,-37.5,0.0,0.9181999999999999,1.0890873448050535,12.22493887530561,0.8480325644504749,0.07016743554952498,Sydney Swans,0.07016743554952498,True,1.12,True,0.1200000000000001,43.3,5.799999999999997,Sydney Swans,5.799999999999997,False,False,False,
8,Gold Coast Suns,Greater Western Sydney Giants,18.6,26.5,0.698,0.78,2026-05-03,2026-05-03,1.0,20.0,0.7081,1.57,2.4,-9.5,0.0,0.7308,1.3683634373289546,3.7147102526002973,0.6045340050377834,0.12626599496221658,Gold Coast Suns,0.12626599496221658,True,1.57,True,0.5700000000000001,24.525,15.024999999999999,Gold Coast Suns,15.024999999999999,True,True,False,0.9
9,Fremantle Dockers,Hawthorn Hawks,4.6,3.9,0.5513,0.7597,2026-05-07,2026-05-07,1.0,15.0,0.5134,1.7,2.15,-4.5,0.0,0.63466,1.5756468030126367,2.737176328899108,0.5584415584415584,0.0762184415584416,Fremantle Dockers,0.0762184415584416,True,1.7,True,0.7,4.074999999999999,-0.4250000000000007,Hawthorn Hawks,0.4250000000000007,False,False,False,
9,Brisbane Lions,Carlton Blues,60.8,65.6,0.9543,0.9834,2026-05-08,2026-05-08,1.0,11.0,0.8216,1.1,7.0,-41.5,0.0,0.96594,1.0352609892954014,29.35995302407518,0.8641975308641975,0.10174246913580254,Brisbane Lions,0.10174246913580254,True,1.1,True,0.10000000000000009,64.39999999999999,22.89999999999999,Brisbane Lions,22.89999999999999,True,False,False,-1.0
9,Port Adelaide Power,Western Bulldogs,-14.8,18.1,0.3401,0.6482,2026-05-08,2026-05-08,0.0,-2.0,0.4759,2.0,1.8,2.5,0.0,0.46334,2.158242327448526,1.8633771848097491,0.47368421052631576,-0.010344210526315789,Western Bulldogs,0.010344210526315789,False,1.8,True,,9.875,12.375,Port Adelaide Power,12.375,True,True,False,0.9
9,North Melbourne Kangaroos,Sydney Swans,-21.6,-4.2,0.2747,0.2916,2026-05-09,2026-05-09,0.0,-8.0,0.2525,3.35,1.32,22.5,0.0,0.28146000000000004,3.552902721523484,1.3917109694658614,0.28265524625267663,-0.001195246252676585,Sydney Swans,0.001195246252676585,False,1.32,True,,-8.55,13.95,North Melbourne Kangaroos,13.95,True,True,False,0.9
9,Greater Western Sydney Giants,Essendon Bombers,45.2,42.7,0.8956,0.9443,2026-05-09,2026-05-09,1.0,14.0,0.8663,1.1,7.0,-43.5,0.0,0.91508,1.0928006294531625,11.775788977861517,0.8641975308641975,0.05088246913580252,Greater Western Sydney Giants,0.05088246913580252,False,1.1,True,,43.325,-0.17499999999999716,Essendon Bombers,0.17499999999999716,False,True,False,
9,Gold Coast Suns,St Kilda Saints,48.9,50.8,0.913,0.9123,2026-05-09,2026-05-09,1.0,29.0,0.6611,1.34,3.2,-20.5,0.0,0.91272,1.095626259970199,11.457378551787349,0.7048458149779735,0.20787418502202648,Gold Coast Suns,0.20787418502202648,True,1.34,True,0.3400000000000001,50.324999999999996,29.824999999999996,Gold Coast Suns,29.824999999999996,True,True,False,0.9
9,Geelong Cats,Collingwood Magpies,23.2,8.4,0.7403,0.6377,2026-05-09,2026-05-09,1.0,54.0,0.6266,1.48,2.65,-13.5,0.0,0.69926,1.4300832308440352,3.325131342688036,0.6416464891041161,0.057613510895883846,Geelong Cats,0.057613510895883846,False,1.48,True,,12.100000000000001,-1.3999999999999986,Collingwood Magpies,1.3999999999999986,False,False,False,
9,Melbourne Demons,West Coast Eagles,45.2,41.9,0.8953,0.966,2026-05-10,2026-05-10,1.0,32.0,0.837,1.1,7.0,-41.5,0.0,0.9235800000000001,1.082743238268477,13.085579691180332,0.8641975308641975,0.059382469135802585,Melbourne Demons,0.059382469135802585,False,1.1,True,,42.724999999999994,1.2249999999999943,Melbourne Demons,1.2249999999999943,False,False,False,
9,Richmond Tigers,Adelaide Crows,-52.9,-22.6,0.0708,0.0954,2026-05-10,2026-05-10,0.0,-37.0,0.1784,6.0,1.13,38.5,0.0,0.08063999999999999,12.400793650793652,1.08771319178559,0.15848527349228608,-0.0778452734922861,Adelaide Crows,0.0778452734922861,True,1.13,True,0.1299999999999999,-30.175000000000004,8.324999999999996,Richmond Tigers,8.324999999999996,True,True,False,0.9
10,Brisbane Lions,Geelong Cats,24.0,17.6,0.748,0.889,2026-05-14,2026-05-14,0.0,-41.0,0.6579,1.47,2.7,-14.5,0.0,0.8044,1.2431626056688214,5.112474437627812,0.6474820143884892,0.15691798561151082,Brisbane Lions,0.15691798561151082,True,1.47,False,-1.0,19.200000000000003,4.700000000000003,Brisbane Lions,4.700000000000003,False,False,False,
10,Sydney Swans,Collingwood Magpies,27.2,14.9,0.775,0.851,2026-05-15,2026-05-15,1.0,6.0,0.7749,1.13,6.0,-35.5,0.0,0.8054,1.2416190712689348,5.138746145940391,0.8415147265077139,-0.03611472650771386,Collingwood Magpies,0.03611472650771386,False,6.0,False,,17.975,-17.525,Collingwood Magpies,17.525,True,True,False,0.9
10,Gold Coast Suns,Port Adelaide Power,29.7,34.5,0.795,0.85,2026-05-15,2026-05-15,1.0,25.0,0.7549,1.21,4.4,-25.5,0.0,0.817,1.2239902080783354,5.464480874316938,0.7843137254901962,0.03268627450980377,Gold Coast Suns,0.03268627450980377,False,1.21,True,,33.3,7.799999999999997,Gold Coast Suns,7.799999999999997,True,False,False,-1.0
10,Adelaide Crows,North Melbourne Kangaroos,45.4,46.9,0.8959999999999999,0.86,2026-05-16,2026-05-16,1.0,68.0,0.6865,1.48,2.65,-12.5,0.0,0.8815999999999999,1.134301270417423,8.445945945945942,0.6416464891041161,0.2399535108958838,Adelaide Crows,0.2399535108958838,True,1.48,True,0.48,46.525,34.025,Adelaide Crows,34.025,True,True,False,0.9
10,Melbourne Demons,Hawthorn Hawks,-43.4,-1.5,0.114,0.741,2026-05-16,2026-05-16,1.0,39.0,0.2952,2.8,1.44,15.5,0.0,0.3648,2.7412280701754383,1.5743073047858942,0.33962264150943394,0.02517735849056607,Melbourne Demons,0.02517735849056607,False,2.8,True,,-11.975,3.5250000000000004,Melbourne Demons,3.5250000000000004,False,True,False,
10,Carlton Blues,Western Bulldogs,-13.6,7.6,0.35200000000000004,0.614,2026-05-16,2026-05-16,1.0,12.0,0.3494,2.35,1.6,8.5,0.0,0.45680000000000004,2.189141856392294,1.8409425625920475,0.40506329113924056,0.051736708860759484,Carlton Blues,0.051736708860759484,False,2.35,True,,2.2999999999999994,10.799999999999999,Carlton Blues,10.799999999999999,True,True,False,0.9
10,Essendon Bombers,Fremantle Dockers,-42.9,-11.8,0.11699999999999999,0.695,2026-05-17,2026-05-17,0.0,-43.0,0.1797,4.8,1.19,76.5,0.0,0.34819999999999995,2.871912693854107,1.5342129487572873,0.1986644407345576,0.14953555926544235,Essendon Bombers,0.14953555926544235,True,4.8,False,-1.0,-19.575000000000003,56.925,Essendon Bombers,56.925,True,True,False,0.9
10,St Kilda Saints,Richmond Tigers,55.3,35.2,0.938,0.907,2026-05-17,2026-05-17,1.0,36.0,0.8653,1.09,7.5,-40.5,0.0,0.9256,1.08038029386344,13.44086021505376,0.8731082654249126,0.05249173457508738,St Kilda Saints,0.05249173457508738,False,1.09,True,,40.225,-0.2749999999999986,Richmond Tigers,0.2749999999999986,False,True,False,
10,West Coast Eagles,Greater Western Sydney Giants,-42.1,-29.0,0.121,0.21899999999999997,2026-05-17,2026-05-17,1.0,17.0,0.196,4.3,1.22,29.5,0.0,0.1602,6.242197253433208,1.1907597046915932,0.2210144927536232,-0.06081449275362319,Greater Western Sydney Giants,0.06081449275362319,False,1.22,False,,-32.275,-2.7749999999999986,Greater Western Sydney Giants,2.7749999999999986,False,False,False,
11,Hawthorn Hawks,Adelaide Crows,27.4,0.4,0.777,0.6943,2026-05-21,2026-05-21,1.0,9.0,0.6951,1.55,2.45,-10.5,0.0,0.74392,1.3442305624260673,3.9050296782255547,0.6125,0.13141999999999998,Hawthorn Hawks,0.13141999999999998,True,1.55,True,0.55,7.1499999999999995,-3.3500000000000005,Adelaide Crows,3.3500000000000005,False,True,False,
11,Fremantle Dockers,St Kilda Saints,47.3,18.1,0.9055,0.8951,2026-05-22,2026-05-22,1.0,30.0,0.7377,1.27,3.75,-23.5,0.0,0.90134,1.1094592495617634,10.135819987837019,0.7470119521912351,0.15432804780876497,Fremantle Dockers,0.15432804780876497,True,1.27,True,0.27,25.4,1.8999999999999986,Fremantle Dockers,1.8999999999999986,False,True,False,
11,Richmond Tigers,Essendon Bombers,-14.8,-13.1,0.3405,0.6135,2026-05-22,2026-05-22,1.0,18.0,0.3627,2.8,1.44,13.5,0.0,0.44970000000000004,2.2237046920169,1.8171906232963837,0.33962264150943394,0.1100773584905661,Richmond Tigers,0.1100773584905661,True,2.8,True,1.7999999999999998,-13.524999999999999,-0.02499999999999858,Essendon Bombers,0.02499999999999858,False,False,False,
11,Collingwood Magpies,West Coast Eagles,84.4,45.2,0.9905,0.9508,2026-05-23,2026-05-23,1.0,10.0,0.882,1.06,9.5,-47.5,0.0,0.97462,1.0260409185118302,39.40110323089053,0.8996212121212122,0.07499878787878789,Collingwood Magpies,0.07499878787878789,True,1.06,True,0.06000000000000005,55.00000000000001,7.500000000000007,Collingwood Magpies,7.500000000000007,True,False,False,-1.0
11,Geelong Cats,Sydney Swans,5.8,3.5,0.564,0.5587,2026-05-23,2026-05-23,1.0,27.0,0.6076,1.5,2.6,-10.5,0.0,0.5618799999999999,1.7797394461450846,2.2824796859307948,0.6341463414634148,-0.07226634146341482,Sydney Swans,0.07226634146341482,True,2.6,False,-1.0,4.075,-6.425,Sydney Swans,6.425,True,False,False,-1.0
11,North Melbourne Kangaroos,Gold Coast Suns,-18.9,-3.6,0.3,0.5229,2026-05-23,2026-05-23,1.0,6.0,0.3844,2.4,1.58,10.5,0.0,0.38916,2.5696371672319867,1.6370899089778008,0.39698492462311563,-0.007824924623115626,Gold Coast Suns,0.007824924623115626,False,1.58,False,,-7.425,3.075,North Melbourne Kangaroos,3.075,False,True,False,
11,Port Adelaide Power,Carlton Blues,29.3,23.8,0.7922,0.7333,2026-05-23,2026-05-23,0.0,-34.0,0.6373,1.44,2.8,-11.5,0.0,0.76864,1.300999167360533,4.322268326417704,0.660377358490566,0.10826264150943399,Port Adelaide Power,0.10826264150943399,True,1.44,False,-1.0,25.175,13.675,Port Adelaide Power,13.675,True,False,False,-1.0
11,Greater Western Sydney Giants,Brisbane Lions,-22.3,-3.6,0.2674,0.4891,2026-05-24,2026-05-24,1.0,78.0,0.3627,2.45,1.55,11.5,0.0,0.35608,2.808357672433161,1.552987948813517,0.3875,-0.031420000000000003,Brisbane Lions,0.031420000000000003,False,1.55,False,,-8.275,3.2249999999999996,Greater Western Sydney Giants,3.2249999999999996,False,True,False,
