Date,Season,HomeTeam,AwayTeam,total,over25,mkt_open,mkt_close,resid,xi_shots90_sum,xi_sot90_sum,xi_goals90_sum,xi_minshare_sum,xi_minshare_min
2023-09-16,2023/24,Watford,Birmingham,2.0,0,0.46272493573264784,0.45897435897435895,-0.45897435897435895,34.38511884860566,10.010281090768997,4.724864352453686,1.3526778669241044,0.6289166496006553
2023-09-16,2023/24,Bristol City,West Brom,0.0,0,0.4910025706940874,0.4376590330788804,-0.4376590330788804,21.85776041622509,5.544937872964255,3.295106460186564,1.619769668189896,0.8088436705145764
2023-09-16,2023/24,Blackburn,Middlesbrough,3.0,1,0.5572519083969466,0.5829145728643217,0.4170854271356783,33.86081559158346,11.610928823446404,2.4113941543352717,1.3533669285464165,0.573982125124131
2023-09-16,2023/24,Norwich,Stoke,1.0,0,0.5283505154639175,0.5256410256410255,-0.5256410256410255,33.75714880458987,6.756092203222272,3.375821110158685,1.3359375819908696,0.5040877367896311
2023-09-16,2023/24,Cardiff,Swansea,2.0,0,0.493573264781491,0.4564102564102564,-0.4564102564102564,17.200699754679754,6.038689822398375,2.5372443961523556,1.323550968629006,0.6259361450532125
2023-09-19,2023/24,QPR,Swansea,2.0,0,0.4717948717948718,0.46923076923076923,-0.46923076923076923,19.5154442331364,6.2125950904338945,1.3100055843641356,1.4080237660351769,0.5841357923943202
2023-09-19,2023/24,Bristol City,Plymouth,5.0,1,0.5910224438902744,0.5935162094763092,0.40648379052369077,22.566880790820022,5.346422839763848,1.478698578175085,1.3341295700224838,0.5085990338164251
2023-09-19,2023/24,Preston,Birmingham,3.0,1,0.40648379052369077,0.3686746987951807,0.6313253012048192,21.746737256061202,7.912199363204136,3.1387360055227957,1.3282861221493438,0.6362457448532988
2023-09-20,2023/24,Watford,West Brom,4.0,1,0.4730077120822623,0.46803069053708446,0.5319693094629155,26.82602585458027,7.789534487237359,3.62457357400299,1.457665256478054,0.6352459016393442
2023-09-22,2023/24,Birmingham,QPR,0.0,0,0.4376590330788804,0.43511450381679384,-0.43511450381679384,24.874854221462943,7.690575501814095,2.4939450907865868,1.5939499512580935,0.7501734906315058
