season,n,actual,ll_close,ll_mkt,ll_lin,ll_treeA,ll_treeB,ll_bare,rounds_A,rounds_B
2021/22,544,0.4650735294117647,0.6833470478606491,0.6847914764232077,0.6882360109963467,0.6854287385940552,0.6835678219795227,0.6896452903747559,25,37
2022/23,545,0.44220183486238535,0.6841149072800442,0.6837494667523408,0.6834317549941252,0.6838551759719849,0.6844614744186401,0.6879730820655823,4,20
2023/24,529,0.5141776937618148,0.6737390601663784,0.6763779839400458,0.6754992877244831,0.6724247932434082,0.6733089089393616,0.7000609636306763,13,14
2024/25,535,0.4392523364485981,0.6834655480598171,0.6826908842147267,0.6824561630888474,0.6847575306892395,0.6832243800163269,0.6910717487335205,269,33
