home_team,away_team,referee
Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,Ashley Klein
South Sydney Rabbitohs,Dolphins,Adam Gee
Wests Tigers,Manly-Warringah Sea Eagles,Todd Smith
Sydney Roosters,North Queensland Cowboys,Adam Gee
Parramatta Eels,Melbourne Storm,Wyatt Raymond
Gold Coast Titans,Newcastle Knights,Gerard Sutton
New Zealand Warriors,Brisbane Broncos,Grant Atkins
